0,1,2,3,4,5,6,7,8,9
1,Erode,Chithode,Gur(Jaggery),NO 1,FAQ,3400,4380,3890,07 Nov 2017
2,Erode,Chithode,Gur(Jaggery),NO 1,FAQ,3666,4578,4122,05 Sep 2017
3,Vellore,Gudiyatham,Gur(Jaggery),Other,FAQ,2350,2400,2400,27 Nov 2017
4,Vellore,Gudiyatham,Gur(Jaggery),Other,FAQ,2650,2750,2750,19 Dec 2017
5,Erode,Kavunthapadi,Gur(Jaggery),NO 1,FAQ,4000,4000,4000,30 Jan 2018
6,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3667,3667,3667,06 Apr 2018
7,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4011,4090,4043,09 Sep 2017
8,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4083,4417,4333,19 Dec 2017
9,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4167,4333,4250,26 Dec 2017
10,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4167,4417,4333,27 Nov 2017
11,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4417,4500,4435,20 Nov 2017
12,Salem,Salem,Gur(Jaggery),Other,FAQ,4650,4800,4700,30 Oct 2017
13,Salem,Salem,Gur(Jaggery),Other,FAQ,4700,4900,4800,07 Sep 2017
14,Salem,Salem,Gur(Jaggery),Other,FAQ,4900,5100,5050,25 Oct 2017
15,Erode,Chithode,Gur(Jaggery),NO 1,FAQ,3666,4866,4266,12 Sep 2017
16,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3333,3917,3750,02 Jun 2018
17,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3417,3667,3500,02 May 2018
18,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3500,3833,3750,10 Oct 2017
19,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3682,3708,3708,14 Apr 2018
20,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3725,3752,3752,10 Mar 2018
21,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3867,3867,3867,18 Jul 2018
22,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3917,4167,4083,16 Oct 2017
23,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4100,4420,4100,11 Nov 2017
24,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,4167,4417,4333,10 Dec 2017
25,Erode,Kavunthapadi,Gur(Jaggery),Other,FAQ,3583,3750,3633,14 Sep 2017
26,Salem,Salem,Gur(Jaggery),Other,FAQ,4900,5200,5100,19 Sep 2017
27,Vellore,Vaniyambadi,Gur(Jaggery),Achhu,FAQ,300,322,315,24 May 2018
28,Erode,Chithode,Gur(Jaggery),NO 1,FAQ,3333,3766,3550,10 Jul 2018
29,Erode,Chithode,Gur(Jaggery),NO 1,FAQ,3343,4622,3983,27 Jan 2018
30,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3333,3400,3350,16 May 2018
31,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3417,3500,3450,28 Mar 2018
32,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3431,3431,3431,24 Feb 2018
33,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3433,3533,3500,27 Mar 2018
34,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3667,3733,3700,29 May 2018
35,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3803,4103,4100,14 Oct 2017
36,Erode,Kavunthapadi,Gur(Jaggery),NO 2,FAQ,3833,3833,3833,23 Aug 2018
37,Erode,Kavunthapadi,Gur(Jaggery),Other,FAQ,2506,3000,3000,23 Jun 2018
38,Erode,Kavunthapadi,Gur(Jaggery),Other,FAQ,3917,3917,3917,09 Nov 2017
