0,1,2,3,4,5,6,7,8,9
1,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5025,02 Dec 2017
2,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5030,06 Dec 2017
3,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5050,02 Sep 2017
4,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5050,13 Sep 2017
5,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5050,15 Nov 2017
6,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4850,5200,5050,30 Sep 2017
7,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5000,06 Sep 2017
8,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5020,09 Sep 2017
9,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5025,20 Sep 2017
10,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5025,22 Nov 2017
11,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5025,25 Nov 2017
12,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,01 Nov 2017
13,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,04 Nov 2017
14,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,04 Oct 2017
15,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,07 Oct 2017
16,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,08 Nov 2017
17,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,11 Nov 2017
18,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,11 Oct 2017
19,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,13 Dec 2017
20,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,16 Dec 2017
21,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,18 Nov 2017
22,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,18 Oct 2017
23,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,20 Dec 2017
24,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,21 Oct 2017
25,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,23 Dec 2017
26,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,23 Sep 2017
27,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,25 Oct 2017
28,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,27 Dec 2017
29,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,27 Sep 2017
30,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,28 Oct 2017
31,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5050,29 Nov 2017
32,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4860,5200,5060,09 Dec 2017
33,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4875,5200,5050,02 May 2018
34,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4875,5200,5050,14 Oct 2017
35,Unokoti,Pabiacherra,Gur(Jaggery),Other,FAQ,4875,5200,5050,16 Sep 2017
36,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,4880,4875,07 Mar 2018
37,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5020,27 Jan 2018
38,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5050,03 Jan 2018
39,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5050,10 Mar 2018
40,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5050,21 Mar 2018
41,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5050,30 Dec 2017
42,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5200,5050,31 Jan 2018
43,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4860,5250,5050,14 Mar 2018
44,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4870,5200,5020,21 Feb 2018
45,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5020,21 Apr 2018
46,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5020,24 Mar 2018
47,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,06 Jun 2018
48,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,07 Apr 2018
49,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,13 Apr 2018
50,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,18 Apr 2018
51,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,18 Jul 2018
52,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,19 May 2018
53,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5025,28 Jul 2018
54,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,01 Aug 2018
55,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,01 Sep 2018
56,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,02 Jun 2018
57,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,03 Feb 2018
58,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,04 Jul 2018
59,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,06 Jan 2018
60,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,07 Feb 2018
61,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,09 Jun 2018
62,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,10 Jan 2018
63,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,11 Aug 2018
64,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,11 Jul 2018
65,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,14 Feb 2018
66,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,16 May 2018
67,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,17 Feb 2018
68,Unokoti,Pabiacherra,Gur(Jaggery),Yellow,FAQ,4875,5200,5050,17 Jan 2018
