0,1,2,3,4,5,6,7,8,9
1,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2200,2200,07 May 2018
2,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2200,2200,22 May 2018
3,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2200,2200,25 Apr 2018
4,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2200,2200,29 May 2018
5,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2200,2200,31 May 2018
6,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2300,2250,18 Apr 2018
7,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2300,2250,24 Apr 2018
8,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2200,2400,2300,20 Mar 2018
9,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2250,2250,2250,14 May 2018
10,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2300,2400,2350,22 Feb 2018
11,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2300,2400,2350,22 Mar 2018
12,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2300,2500,2400,28 Feb 2018
13,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2300,2500,2400,29 Jan 2018
14,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,11 Jan 2018
15,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,16 Feb 2018
16,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,19 Feb 2018
17,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,19 Jan 2018
18,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,21 Feb 2018
19,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,23 Feb 2018
20,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,24 Jan 2018
21,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2500,2450,27 Jan 2018
22,Nanital,Haldwani,Gur(Jaggery),Other,FAQ,2400,2600,2500,03 Jan 2018
