0,1,2,3,4,5,6,7,8,9
1,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3700,4200,4000,26 Nov 2024
2,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4100,4000,09 Jul 2024
3,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,01 Jul 2024
4,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,02 Jul 2024
5,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,03 Jul 2024
6,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,04 Jul 2024
7,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,05 Jul 2024
8,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,08 Jul 2024
9,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,10 Jul 2024
10,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,11 Jul 2024
11,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,12 Jul 2024
12,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,13 Jul 2024
13,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,14 Jul 2024
14,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,15 Jul 2024
15,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,17 Jul 2024
16,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,18 Aug 2024
17,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,19 Aug 2024
18,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,22 Aug 2024
19,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4200,4000,29 Aug 2024
20,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4300,4100,06 Aug 2024
21,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3800,4300,4100,19 Jul 2024
22,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,3900,4200,4100,24 Jul 2024
23,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4200,4000,02 Sep 2024
24,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,01 Aug 2024
25,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,07 Aug 2024
26,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,20 Jul 2024
27,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,21 Jul 2024
28,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,22 Jul 2024
29,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,29 Jul 2024
30,Purba Bardhaman,Burdwan,Gur(Jaggery),Other,FAQ,4000,4300,4100,30 Jul 2024
