0,1,2,3,4,5,6,7,8,9
1,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7000,6800,04 Nov 2022
2,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7000,6800,12 Nov 2022
3,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7000,6800,15 Nov 2022
4,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7100,6800,20 Nov 2022
5,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7500,7000,14 Oct 2022
6,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6500,7500,7000,18 Oct 2022
7,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7000,6900,13 Nov 2022
8,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7100,7000,30 Oct 2022
9,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7200,7000,02 Dec 2022
10,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7200,7000,03 Nov 2022
11,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7200,7000,06 Dec 2022
12,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7400,7000,01 Nov 2022
13,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6800,7500,7000,30 Dec 2022
14,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6850,6950,6900,02 Apr 2023
15,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6850,7000,6950,23 Jan 2023
16,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6950,7050,7000,17 Jan 2023
17,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,6950,7050,7000,18 Apr 2023
18,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7100,7050,01 Feb 2023
19,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7100,7050,05 Jan 2023
20,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7100,7050,09 Apr 2023
21,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7100,7050,10 Feb 2023
22,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7100,7050,24 Mar 2023
23,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7200,7050,12 Jan 2023
24,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7200,7050,20 Jan 2023
25,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7500,7200,15 Oct 2022
26,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7500,7200,20 Oct 2022
27,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7500,7200,26 Oct 2022
28,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7500,7250,27 Dec 2022
29,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,7800,7400,17 Oct 2022
30,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,8000,7500,16 Oct 2022
31,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7000,8000,7500,19 Oct 2022
32,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7050,7150,7100,03 May 2023
33,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7250,7350,7300,05 Apr 2023
34,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7250,7350,7300,07 Feb 2023
35,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7250,7350,7300,13 Apr 2023
36,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7350,7450,7400,16 May 2023
37,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7450,7550,7500,24 Apr 2023
38,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7500,7600,7550,02 Mar 2023
39,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7500,7600,7550,17 Mar 2023
40,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7500,7609,7550,21 May 2023
41,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7550,7650,7600,07 May 2023
42,Aurangabad,Aurangabad,Masur Dal,Kala Masoor New,FAQ,7550,7650,7600,29 Apr 2023
43,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6600,6800,6700,08 Nov 2022
44,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,05 Nov 2022
45,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,06 Nov 2022
46,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,07 Nov 2022
47,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,10 Nov 2022
48,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,13 Nov 2022
49,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,6900,6800,18 Oct 2022
50,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6800,15 Oct 2022
51,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,09 Nov 2022
52,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,11 Nov 2022
53,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,13 Oct 2022
54,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,14 Nov 2022
55,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,15 Nov 2022
56,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,16 Nov 2022
57,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,17 Oct 2022
58,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,18 Nov 2022
59,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,19 Nov 2022
60,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,19 Oct 2022
61,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,20 Oct 2022
62,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,21 Nov 2022
63,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,22 Nov 2022
64,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,22 Oct 2022
65,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,24 Oct 2022
66,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,26 Oct 2022
67,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,27 Oct 2022
68,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6700,7000,6850,29 Oct 2022
69,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6800,7000,6900,05 Dec 2022
70,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6800,7000,6900,10 Dec 2022
71,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6800,7000,6900,23 Oct 2022
72,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6800,7200,7000,11 Oct 2022
73,Patna,Patna City,Masur Dal,Kala Masoor New,FAQ,6800,7200,7000,12 Oct 2022
