0,1,2,3,4,5,6,7,8,9
1,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4000,4000,4000,25 Oct 2024
2,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4350,4701,4701,22 Nov 2024
3,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4501,4901,4901,26 Oct 2024
4,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4501,5301,5001,28 Oct 2024
5,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4800,5200,5000,24 Oct 2024
6,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4801,5202,5202,16 Nov 2024
7,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,4851,4951,4951,11 Nov 2024
8,Balodabazar,Bhatapara,Masur Dal,Masoor Gola,Local,5151,5151,5151,08 Nov 2024
9,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,4500,4500,4500,08 Nov 2024
10,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5250,5400,5325,20 Nov 2024
11,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5400,5500,5450,24 Oct 2024
12,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5501,5501,5501,30 Nov 2024
13,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5560,5650,5605,25 Oct 2024
14,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5600,5600,5600,25 Nov 2024
15,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5600,5600,5600,26 Nov 2024
16,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5600,5650,5625,19 Nov 2024
17,Rajnandgaon,Rajnandgaon,Masur Dal,Masoor Gola,Local,5601,5601,5601,02 Dec 2024
