0,1,2,3,4,5,6,7,8,9
1,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4005,4050,4027,21 May 2018
2,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4100,4300,4200,14 Apr 2018
3,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4105,4105,4105,16 Apr 2018
4,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4175,4195,4185,01 May 2018
5,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4175,4525,4350,21 Mar 2018
6,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4200,4200,4200,10 Apr 2018
7,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4200,4475,4337,07 Apr 2018
8,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4205,4205,4205,20 Apr 2018
9,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4205,4205,4205,22 Mar 2018
10,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4205,4575,4390,24 Mar 2018
11,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4225,4225,4225,18 Apr 2018
12,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4225,4225,4225,21 Apr 2018
13,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4250,4250,4250,15 May 2018
14,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4250,4250,4250,28 Mar 2018
15,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4255,4255,4255,27 Mar 2018
16,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4325,4325,4325,13 Mar 2018
17,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4500,4600,4550,26 Mar 2018
18,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4505,4505,4505,17 Mar 2018
19,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4525,4525,4525,15 Mar 2018
20,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4530,4530,4530,19 Mar 2018
21,Surat,Songadh,Masur Dal,Kala Masoor New,FAQ,4855,4855,4855,05 Apr 2018
22,Surat,Songadh,Masur Dal,Masoor Gola,FAQ,4250,4400,4325,20 Mar 2018
23,Surat,Songadh,Masur Dal,Masoor Gola,FAQ,4505,4505,4505,16 Mar 2018
