0,1,2,3,4,5,6,7,8,9
1,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,01 Aug 2024
2,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,01 Jul 2024
3,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,01 Oct 2024
4,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,02 Aug 2024
5,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,02 Sep 2024
6,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,03 Sep 2024
7,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,04 Nov 2024
8,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,04 Oct 2024
9,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,05 Nov 2024
10,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,05 Sep 2024
11,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,06 Aug 2024
12,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,06 Nov 2024
13,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,06 Sep 2024
14,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,07 Aug 2024
15,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,07 Nov 2024
16,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,08 Aug 2024
17,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,08 Nov 2024
18,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,08 Oct 2024
19,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,09 Aug 2024
20,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,09 Jul 2024
21,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,09 Oct 2024
22,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,10 Jul 2024
23,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,10 Oct 2024
24,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,11 Jul 2024
25,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,11 Nov 2024
26,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,12 Aug 2024
27,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,12 Jul 2024
28,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,12 Nov 2024
29,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,14 Aug 2024
30,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,14 Nov 2024
31,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,14 Oct 2024
32,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,16 Jul 2024
33,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,16 Oct 2024
34,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,17 Sep 2024
35,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,18 Jul 2024
36,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,18 Sep 2024
37,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,19 Aug 2024
38,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,19 Jul 2024
39,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,19 Sep 2024
40,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,20 Aug 2024
41,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,21 Aug 2024
42,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,21 Oct 2024
43,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,22 Aug 2024
44,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,22 Jul 2024
45,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,22 Oct 2024
46,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,23 Aug 2024
47,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,23 Jul 2024
48,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,23 Oct 2024
49,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,23 Sep 2024
50,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,24 Oct 2024
51,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,24 Sep 2024
52,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,25 Jul 2024
53,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,25 Oct 2024
54,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,25 Sep 2024
55,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,26 Jul 2024
56,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,26 Sep 2024
57,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,27 Aug 2024
58,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,27 Sep 2024
59,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,28 Aug 2024
60,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,28 Oct 2024
61,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,29 Aug 2024
62,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,29 Jul 2024
63,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,29 Oct 2024
64,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,30 Aug 2024
65,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,30 Oct 2024
66,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,31 Jul 2024
67,Bishnupur,Bishenpur,Masur Dal,Masur Dal,FAQ,9500,10000,9750,31 Oct 2024
68,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,01 Aug 2024
69,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,01 Jul 2024
70,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,01 Oct 2024
71,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,02 Aug 2024
72,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,02 Jul 2024
73,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,02 Sep 2024
74,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,03 Sep 2024
75,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,04 Nov 2024
76,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,04 Oct 2024
77,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,05 Nov 2024
78,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,05 Sep 2024
79,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,06 Aug 2024
80,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,06 Nov 2024
81,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,06 Sep 2024
82,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,07 Aug 2024
83,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,07 Nov 2024
84,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,07 Oct 2024
85,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,08 Aug 2024
86,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,08 Nov 2024
87,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,08 Oct 2024
88,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,09 Aug 2024
89,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,09 Jul 2024
90,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,09 Oct 2024
91,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,09 Sep 2024
92,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,10 Jul 2024
93,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,10 Oct 2024
94,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,11 Jul 2024
95,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,11 Nov 2024
96,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,12 Aug 2024
97,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,12 Jul 2024
98,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,12 Nov 2024
99,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,14 Aug 2024
100,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,14 Nov 2024
101,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,14 Oct 2024
102,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,15 Jul 2024
103,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,16 Aug 2024
104,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,16 Jul 2024
105,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,16 Oct 2024
106,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,17 Jul 2024
107,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,17 Sep 2024
108,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,18 Jul 2024
109,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,18 Oct 2024
110,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,18 Sep 2024
111,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,19 Aug 2024
112,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,19 Jul 2024
113,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,19 Sep 2024
114,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,20 Aug 2024
115,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,20 Sep 2024
116,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,21 Aug 2024
117,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,21 Oct 2024
118,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,22 Aug 2024
119,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,22 Oct 2024
120,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,23 Aug 2024
121,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,23 Oct 2024
122,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,23 Sep 2024
123,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,24 Oct 2024
124,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,24 Sep 2024
125,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,25 Jul 2024
126,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,25 Oct 2024
127,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,25 Sep 2024
128,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,26 Jul 2024
129,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,26 Sep 2024
130,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,27 Aug 2024
131,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,28 Aug 2024
132,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,28 Oct 2024
133,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,29 Aug 2024
134,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,29 Jul 2024
135,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,29 Oct 2024
136,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,30 Aug 2024
137,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,30 Jul 2024
138,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,30 Oct 2024
139,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,31 Jul 2024
140,Imphal West,Imphal,Masur Dal,Masur Dal,FAQ,10000,11000,10500,31 Oct 2024
141,Kakching,Kakching Market,Masur Dal,Masur Dal,FAQ,9500,10000,9750,11 Nov 2024
142,Kakching,Kakching Market,Masur Dal,Masur Dal,FAQ,10500,11000,10750,01 Aug 2024
143,Kakching,Kakching Market,Masur Dal,Masur Dal,FAQ,10500,11000,10750,01 Oct 2024
144,Kakching,Kakching Market,Masur Dal,Masur Dal,FAQ,10500,11000,10750,02 Aug 2024
145,Kakching,Kakching Market,Masur Dal,Masur Dal,FAQ,10500,11000,10750,02 Sep 2024
