0,1,2,3,4,5,6,7,8,9
1,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,7500,8500,8000,11 Jul 2017
2,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,7500,8500,8000,15 Jul 2017
3,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,7500,8500,8000,18 Jul 2017
4,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,7500,8500,8000,22 Jul 2017
5,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,01 Jul 2017
6,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,04 Jul 2017
7,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,08 Aug 2017
8,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,08 Jul 2017
9,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,19 Aug 2017
10,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,20 Jun 2017
11,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,24 Jun 2017
12,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,8500,8200,27 Jun 2017
13,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,9000,8500,01 Aug 2017
14,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8000,9000,8500,22 Aug 2017
15,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8200,9000,8500,05 Aug 2017
16,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8500,9000,8700,13 Jun 2017
17,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8500,9000,8800,25 Jul 2017
18,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8500,9000,8800,29 Jul 2017
19,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8500,9500,9000,29 Aug 2017
20,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,8700,9500,9000,17 Jun 2017
21,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,9500,9200,06 Jun 2017
22,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,9500,9200,10 Jun 2017
23,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,9500,9200,23 May 2017
24,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,9500,9200,27 May 2017
25,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,9500,9200,30 May 2017
26,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,01 Apr 2017
27,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,02 May 2017
28,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,03 Jun 2017
29,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,04 Apr 2017
30,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,06 May 2017
31,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,08 Apr 2017
32,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,09 May 2017
33,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,11 Apr 2017
34,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,13 May 2017
35,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,14 Mar 2017
36,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,15 Apr 2017
37,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,16 May 2017
38,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,18 Apr 2017
39,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,18 Mar 2017
40,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,20 May 2017
41,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,21 Mar 2017
42,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,25 Apr 2017
43,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,25 Mar 2017
44,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9000,10000,9500,29 Apr 2017
45,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9500,10000,9800,22 Apr 2017
46,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,9600,10500,10000,28 Mar 2017
47,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10000,10500,10300,29 Oct 2016
48,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10000,11000,10300,17 Dec 2016
49,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10500,10300,10 Jan 2017
50,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,04 Mar 2017
51,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,05 Nov 2016
52,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,07 Jan 2017
53,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,07 Mar 2017
54,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,14 Feb 2017
55,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,17 Jan 2017
56,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,24 Jan 2017
57,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,25 Feb 2017
58,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,27 Dec 2016
59,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,28 Feb 2017
60,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,10800,10500,31 Dec 2016
61,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10200,11000,10500,04 Feb 2017
62,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10700,10500,28 Jan 2017
63,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10400,31 Jan 2017
64,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,01 Nov 2016
65,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,03 Dec 2016
66,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,06 Dec 2016
67,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,07 Feb 2017
68,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,13 Dec 2016
69,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10300,10800,10500,29 Nov 2016
70,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10400,11000,10800,22 Nov 2016
71,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,10800,10700,03 Jan 2017
72,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,10800,10700,20 Dec 2016
73,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,10800,10700,21 Feb 2017
74,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,10800,10700,21 Jan 2017
75,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,11000,10800,11 Feb 2017
76,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,11000,10800,12 Nov 2016
77,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,11000,10800,15 Nov 2016
78,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,11000,10800,18 Feb 2017
79,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10500,11000,10800,19 Nov 2016
80,Sepahijala,Bishalgarh,Masur Dal,Masur Dal,FAQ,10800,11200,11000,08 Nov 2016
81,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8000,9000,8500,18 Aug 2017
82,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8500,9000,8800,01 Sep 2017
83,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8600,9000,8800,25 Aug 2017
84,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8600,9000,8800,28 Jul 2017
85,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8800,9000,8900,04 Aug 2017
86,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,8850,9500,9230,30 Jun 2017
87,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,9030,10000,9515,23 Jun 2017
88,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,9200,10000,9600,14 Jul 2017
89,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,9300,10000,9650,07 Jul 2017
90,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,9600,10000,9800,21 Jul 2017
91,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,05 May 2017
92,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,09 Jun 2017
93,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,12 May 2017
94,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,16 Jun 2017
95,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,19 May 2017
96,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,26 May 2017
97,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10000,12000,11000,28 Apr 2017
98,North Tripura,Dasda,Masur Dal,Kala Masoor New,FAQ,10500,12000,11250,02 Jun 2017
99,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7600,13 Jul 2017
100,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7600,16 Jul 2017
101,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,03 Aug 2017
102,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,06 Aug 2017
103,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,10 Aug 2017
104,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,23 Jul 2017
105,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,27 Jul 2017
106,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6300,8800,7700,30 Jul 2017
107,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6350,8800,7700,20 Jul 2017
108,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7700,7200,24 Aug 2017
109,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7700,7200,27 Aug 2017
110,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7700,7200,31 Aug 2017
111,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7800,7000,13 Aug 2017
112,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7800,7000,17 Aug 2017
113,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,6500,7800,7000,20 Aug 2017
114,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,7600,7800,7650,02 Jul 2017
115,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,7700,7800,7750,29 Jun 2017
116,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,7700,8000,7800,09 Jul 2017
117,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,7800,8000,7850,06 Jul 2017
118,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,8000,8400,8200,22 Jun 2017
119,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,8000,8400,8200,25 Jun 2017
120,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,8000,8500,8200,08 Jun 2017
121,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,8000,8500,8200,15 Jun 2017
122,Khowai,Kalyanpur,Masur Dal,Masur Dal,FAQ,8000,8500,8200,18 Jun 2017
