0,1,2,3,4,5,6,7,8,9
1,Agra,Agra,Masur Dal,Masur Dal,FAQ,4800,5000,4880,18 Sep 2019
2,Agra,Agra,Masur Dal,Masur Dal,FAQ,5350,6550,5470,30 Oct 2019
3,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6500,6400,01 Nov 2019
4,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6550,6400,23 Oct 2019
5,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6550,6450,02 Oct 2019
6,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6550,6450,09 Oct 2019
7,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6550,6450,11 Oct 2019
8,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6600,6450,02 Nov 2019
9,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6600,6450,04 Oct 2019
10,Agra,Agra,Masur Dal,Masur Dal,FAQ,6300,6600,6450,31 Oct 2019
11,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6550,6450,26 Oct 2019
12,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6470,05 Oct 2019
13,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6470,14 Oct 2019
14,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6470,25 Oct 2019
15,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6480,03 Oct 2019
16,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6480,12 Oct 2019
17,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6480,24 Oct 2019
18,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6600,6500,27 Sep 2019
19,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6680,6500,30 Sep 2019
20,Agra,Agra,Masur Dal,Masur Dal,FAQ,6350,6850,6470,10 Oct 2019
21,Agra,Agra,Masur Dal,Masur Dal,FAQ,6400,6600,6500,17 Oct 2019
22,Agra,Agra,Masur Dal,Masur Dal,FAQ,6400,6600,6500,19 Oct 2019
23,Agra,Agra,Masur Dal,Masur Dal,FAQ,6400,6650,6520,04 Nov 2019
24,Agra,Agra,Masur Dal,Masur Dal,FAQ,6400,6650,6520,16 Oct 2019
