0,1,2,3,4,5,6,7,8,9
1,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6000,7000,6500,23 Nov 2017
2,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7000,6600,07 Dec 2017
3,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7000,6800,05 Oct 2017
4,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7200,7000,01 Feb 2018
5,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7250,7000,07 Jun 2018
6,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7250,7000,18 Sep 2017
7,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7250,7000,24 May 2018
8,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7250,7000,31 May 2018
9,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,03 Oct 2017
10,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,04 Oct 2017
11,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,11 Jun 2018
12,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,12 Sep 2017
13,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,17 May 2018
14,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,20 Feb 2018
15,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,20 Sep 2017
16,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,21 Sep 2017
17,Barpeta,Bohorihat,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,7500,7000,24 Sep 2017
