0,1,2,3,4,5,6,7,8,9
1,Anand,Anand,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4100,4500,4250,29 Oct 2018
2,Anand,Anand,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4300,4395,4350,15 Oct 2018
3,Anand,Anand,Green Gram Dal (Moong Dal),Other,FAQ,4300,4395,4350,15 Oct 2018
4,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2950,3745,3347,06 Mar 2019
5,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2950,3985,3467,07 Jan 2019
6,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,3250,3125,24 Oct 2018
7,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,3700,3350,18 Oct 2018
8,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,3935,3467,05 Jan 2019
9,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,4060,3530,28 Dec 2018
10,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3005,3445,3225,08 Oct 2018
11,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3055,3905,3480,08 Jan 2019
12,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3055,4050,3552,31 Dec 2018
13,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3120,3780,3450,19 Oct 2018
14,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3145,3990,3567,24 Dec 2018
15,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3170,3865,3517,11 Jan 2019
16,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3200,4015,3607,01 Jan 2019
17,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3350,3965,3657,23 Nov 2018
18,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3400,4105,3725,06 Dec 2018
19,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3455,4130,3792,18 Dec 2018
20,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,3750,3625,09 Jan 2019
21,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,3780,3640,20 Dec 2018
22,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,4025,3762,11 Dec 2018
23,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3540,4295,3917,11 Feb 2019
24,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3555,4000,3777,07 Feb 2019
25,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3625,3940,3782,29 Jan 2019
26,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3705,3905,3805,10 Jan 2019
27,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3715,4225,3970,05 Dec 2018
28,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3770,4000,3880,19 Dec 2018
29,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3775,3955,3865,10 Dec 2018
30,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3850,4000,3925,29 Dec 2018
31,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3910,4115,4012,08 Dec 2018
32,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3925,4355,4140,28 Nov 2018
33,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4005,4195,4100,29 Nov 2018
34,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6150,6450,6300,25 May 2019
35,Amreli,Bagasara,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6255,6465,6360,15 May 2019
36,Junagarh,Junagadh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4000,5000,4750,03 Apr 2019
37,Junagarh,Junagadh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4500,5350,5000,02 Apr 2019
38,Junagarh,Junagadh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5810,5250,04 Apr 2019
39,Junagarh,Junagadh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,7130,6500,01 Jun 2019
40,Junagarh,Junagadh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7000,7220,7050,30 May 2019
41,Vadodara(Baroda),Savli,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5625,5750,5700,18 Jun 2019
