0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5300,7600,5815,20 Jul 2020
2,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500,6900,5600,23 Jul 2020
3,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5680,5680,5680,14 Aug 2020
4,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5900,8520,8100,15 Jul 2020
5,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5910,7710,7665,21 Jul 2020
6,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6400,7640,7640,17 Aug 2020
7,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9500,9500,9500,12 Mar 2020
8,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,9800,9800,9800,13 May 2020
9,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,04 Sep 2019
10,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,05 Sep 2019
11,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,06 Sep 2019
12,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,07 Sep 2019
13,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,09 Sep 2019
14,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,11 Sep 2019
15,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,12 Sep 2019
16,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7600,8400,8000,13 Sep 2019
17,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8400,8200,03 Sep 2019
18,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,02 Dec 2019
19,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,03 Dec 2019
20,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,04 Dec 2019
21,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,06 Dec 2019
22,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,07 Dec 2019
23,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,09 Dec 2019
24,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,10 Dec 2019
25,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,11 Dec 2019
26,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,12 Dec 2019
27,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,13 Dec 2019
28,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,16 Dec 2019
29,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,26 Nov 2019
30,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,27 Nov 2019
31,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,28 Nov 2019
32,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,29 Nov 2019
33,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8500,8250,30 Nov 2019
34,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,05 Nov 2019
35,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,06 Nov 2019
36,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,07 Nov 2019
37,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,08 Nov 2019
38,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,11 Nov 2019
39,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,12 Nov 2019
40,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,13 Nov 2019
41,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8600,8300,14 Nov 2019
42,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,01 Oct 2019
43,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,03 Oct 2019
44,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,04 Oct 2019
45,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,05 Oct 2019
46,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,09 Oct 2019
47,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,10 Oct 2019
48,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,16 Sep 2019
49,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,8800,8400,17 Sep 2019
