0,1,2,3,4,5,6,7,8,9
1,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6000,9000,7600,02 May 2019
2,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,01 Sep 2018
3,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,04 Sep 2018
4,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,05 Sep 2018
5,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,06 Sep 2018
6,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,07 Sep 2018
7,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,08 Sep 2018
8,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,10 Sep 2018
9,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6200,7000,6600,11 Sep 2018
10,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,12 Sep 2018
11,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,14 Sep 2018
12,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,15 Sep 2018
13,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,17 Sep 2018
14,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,18 Sep 2018
15,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,19 Sep 2018
16,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,20 Sep 2018
17,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6400,7400,6700,21 Sep 2018
18,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,01 Oct 2018
19,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,02 Oct 2018
20,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,03 Oct 2018
21,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,04 Oct 2018
22,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,05 Oct 2018
23,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,06 Oct 2018
24,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,08 Oct 2018
25,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,09 Oct 2018
26,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,22 Sep 2018
27,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,24 Sep 2018
28,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,26 Sep 2018
29,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,27 Sep 2018
30,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,28 Sep 2018
31,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,7500,6800,29 Sep 2018
32,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8200,7500,16 Mar 2019
33,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8200,7500,18 Mar 2019
34,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,01 Jan 2019
35,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,02 Jan 2019
36,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,03 Jan 2019
37,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,04 Jan 2019
38,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,05 Jan 2019
39,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,07 Jan 2019
40,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,08 Jan 2019
41,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,09 Jan 2019
42,Mumbai,Mumbai,Green Gram Dal (Moong Dal),Other,FAQ,6600,8400,7600,10 Dec 2018
