0,1,2,3,4,5,6,7,8,9
1,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,5111,5111,5111,12 Sep 2024
2,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,5201,5201,5201,08 Aug 2024
3,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,5301,5301,5301,25 Sep 2024
4,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,5550,7200,7200,23 Aug 2024
5,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,7625,7625,14 Aug 2024
6,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6001,7100,7100,03 Sep 2024
7,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6400,6400,6400,29 Aug 2024
8,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6501,7650,7650,30 Aug 2024
9,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6891,6891,6891,18 Oct 2024
10,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,6941,6941,6941,27 Sep 2024
11,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,7396,7396,7396,21 Aug 2024
12,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,7499,7499,7499,17 Aug 2024
13,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,7524,7524,7524,16 Aug 2024
14,Shajapur,Agar,Green Gram Dal (Moong Dal),Green gram,FAQ,7700,7700,7700,27 Aug 2024
15,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4000,4000,4000,02 Dec 2024
16,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4000,4000,4000,18 Nov 2024
17,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4200,4200,4200,26 Oct 2024
18,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4200,5000,5000,04 Nov 2024
19,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4400,4700,4700,06 Nov 2024
20,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4500,4500,4500,03 Dec 2024
21,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,4500,4500,4500,27 Nov 2024
22,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,5000,5000,5000,15 Sep 2024
23,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,5000,5000,5000,17 Oct 2024
24,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,5200,5700,5700,02 Oct 2024
25,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,5400,5400,5400,11 Aug 2024
26,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,5500,5500,5500,09 Oct 2024
27,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,07 Aug 2024
28,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,09 Sep 2024
29,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,10 Sep 2024
30,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,16 Sep 2024
31,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,17 Sep 2024
32,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6000,6000,6000,23 Sep 2024
33,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,6200,6200,6200,02 Sep 2024
34,Alirajpur,Alirajpur,Green Gram Dal (Moong Dal),Green gram,FAQ,7000,7000,7000,05 Aug 2024
35,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,5000,5000,5000,04 Oct 2024
36,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,5600,5600,5600,30 Sep 2024
37,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,6200,6200,6200,24 Sep 2024
38,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,7000,7000,7000,05 Nov 2024
39,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,7200,7200,7200,17 Sep 2024
40,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,7400,7500,7500,09 Aug 2024
41,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,7500,7500,7500,08 Sep 2024
42,Badwani,Anjad,Green Gram Dal (Moong Dal),Green gram,FAQ,8050,8100,8100,06 Aug 2024
43,Badwani,Anjad(F&V),Green Gram Dal (Moong Dal),Green gram,FAQ,7000,8500,8500,05 Nov 2024
44,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,5970,7175,7175,23 Sep 2024
45,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,6701,7451,7451,06 Aug 2024
46,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,6815,6815,6815,07 Nov 2024
47,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7001,7200,7200,28 Aug 2024
48,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7005,7171,7171,23 Aug 2024
49,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7325,7325,7325,31 Aug 2024
50,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7355,7355,7355,13 Aug 2024
51,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7385,7385,7385,12 Aug 2024
52,Ashoknagar,Ashoknagar,Green Gram Dal (Moong Dal),Green gram,FAQ,7581,7581,7581,29 Aug 2024
53,Sehore,Ashta,Green Gram Dal (Moong Dal),Green gram,FAQ,2500,2902,2902,08 Aug 2024
54,Sehore,Ashta,Green Gram Dal (Moong Dal),Green gram,FAQ,3000,7910,7910,13 Sep 2024
