0,1,2,3,4,5,6,7,8,9
1,Panna,Ajaygarh,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5050,5040,08 Dec 2022
2,Chhindwara,Amarwda,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3900,4100,4000,16 Sep 2022
3,Badwani,Badwani,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5340,5500,5500,01 Jun 2023
4,Badwani,Badwani,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5350,5350,5350,31 May 2023
5,Badwani,Badwani,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5500,7300,6000,28 May 2023
6,Badwani,Badwani,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7000,7000,7000,29 May 2023
7,Badwani,Badwani,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7750,7750,7750,17 May 2023
8,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,1300,8545,8545,22 Aug 2023
9,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,1800,6485,6485,30 Sep 2022
10,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,1805,7630,7630,13 Jul 2023
11,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2000,6055,6055,03 Oct 2022
12,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2000,7930,7930,15 Jul 2023
13,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2300,7060,7060,01 Jul 2023
14,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2590,7980,6000,31 May 2023
15,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2630,7250,5520,24 Apr 2023
16,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2695,7935,7935,20 Jul 2023
17,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2700,7515,7515,25 Apr 2023
18,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2730,8080,8080,14 Jul 2023
19,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,2805,6105,6105,05 Sep 2022
20,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,6500,6500,06 Sep 2022
21,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,6660,6615,21 Feb 2023
22,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,7140,7000,24 May 2023
23,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,7575,7575,03 Aug 2023
24,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3000,7800,7800,02 May 2023
25,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3010,7215,7215,16 Nov 2022
26,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3030,7435,7400,12 Jul 2023
27,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3200,8055,7075,07 Jun 2023
28,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3250,7800,7800,12 May 2023
29,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3300,8370,8370,09 May 2023
30,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3350,7530,7530,04 Jul 2023
31,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,6475,6400,10 Jan 2023
32,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,7340,7340,02 Aug 2023
33,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3500,7985,7985,11 May 2023
34,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3595,7660,7660,23 Jun 2023
35,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3600,3600,3600,16 Feb 2023
36,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3600,6590,6590,13 Oct 2022
37,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3600,7000,7000,21 Sep 2022
38,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3645,6705,6705,04 Nov 2022
39,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3650,6500,6000,27 Sep 2022
40,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3670,6230,6230,26 Nov 2022
41,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3675,6840,6840,08 Nov 2022
42,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3700,7600,7600,21 Aug 2023
43,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3705,7655,7655,09 Jun 2023
44,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3740,7505,7275,12 Jun 2023
45,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3800,6295,6295,07 Sep 2022
46,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3800,7800,7430,15 May 2023
47,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3900,6345,6125,01 Sep 2022
48,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3910,6500,6500,14 Dec 2022
49,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3950,6650,6650,02 Sep 2022
50,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3990,7375,7375,26 Jul 2023
51,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,3990,8105,8105,01 Mar 2023
52,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4000,6435,6435,17 Dec 2022
53,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4000,7325,7325,08 Jun 2023
54,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4000,7625,7100,22 May 2023
55,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4005,6320,5700,12 Sep 2022
56,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4050,7050,7050,21 Apr 2023
57,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4100,7810,7410,10 Jun 2023
58,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4100,8111,7100,20 May 2023
59,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4150,6595,6595,09 Jan 2023
60,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4150,7505,6875,24 Jan 2023
61,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4200,6500,6500,17 Sep 2022
62,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4200,7825,7000,25 May 2023
63,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4250,7400,7400,16 Jun 2023
64,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4295,6910,6910,26 Jun 2023
65,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4350,6305,6305,03 Nov 2022
66,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4350,7100,7100,16 May 2023
67,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4350,7280,7280,11 Jul 2023
68,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4400,7450,7450,07 Jul 2023
69,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4405,8035,8035,05 Jun 2023
70,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4430,4430,4430,10 Dec 2022
71,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4450,4450,4450,03 Dec 2022
72,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4450,8260,8260,08 May 2023
73,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4450,8320,8320,10 Aug 2023
74,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4490,4490,4490,29 Nov 2022
75,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4500,8395,8395,24 Aug 2023
76,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4550,6560,6560,19 Sep 2022
77,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4550,8000,8000,22 Jun 2023
78,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4600,6400,6400,11 Apr 2023
79,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4605,7185,7050,06 Jun 2023
80,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4605,7400,7400,27 Jul 2023
81,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4655,4655,4655,27 Mar 2023
82,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4655,7505,6995,14 Jun 2023
83,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4670,6905,6905,07 Dec 2022
84,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4700,7605,7605,18 May 2023
85,Indore,Indore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4790,6500,6500,31 Oct 2022
