0,1,2,3,4,5,6,7,8,9
1,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6800,28 Mar 2017
2,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6825,27 Mar 2017
3,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6850,24 Mar 2017
4,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6850,25 Mar 2017
5,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6875,22 Mar 2017
6,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6900,23 Mar 2017
7,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,6980,28 Feb 2017
8,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7050,03 Apr 2017
9,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7050,25 Apr 2017
10,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7080,22 Apr 2017
11,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7100,07 Apr 2017
12,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7125,12 Apr 2017
13,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7350,20 Feb 2017
14,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7400,08 Feb 2017
15,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7400,18 Feb 2017
16,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7450,09 Feb 2017
17,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7625,03 Feb 2017
18,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7680,25 Jan 2017
19,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7700,20 Jan 2017
20,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7750,18 Jan 2017
21,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7800,22 Dec 2016
22,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7800,27 Dec 2016
23,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7825,21 Dec 2016
24,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7825,26 Dec 2016
25,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7850,24 Dec 2016
26,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7900,06 Jan 2017
27,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,7960,09 Jan 2017
28,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8080,25 Nov 2016
29,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8100,21 Nov 2016
30,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8100,24 Nov 2016
31,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8120,22 Nov 2016
32,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8125,23 Nov 2016
33,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8175,19 Nov 2016
34,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8200,18 Nov 2016
35,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8250,17 Nov 2016
36,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8260,16 Nov 2016
37,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,0,0,8320,07 Nov 2016
38,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5080,6025,6000,16 Aug 2017
39,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5850,6150,6000,04 Aug 2017
40,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6070,6140,6100,08 Aug 2017
41,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6100,6200,6150,31 Aug 2017
42,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6800,7100,6925,18 Mar 2017
43,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6850,7200,7000,01 Apr 2017
44,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6900,7150,7025,31 May 2017
45,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6900,7200,7025,26 May 2017
46,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7000,7200,7075,01 May 2017
47,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7000,7300,7175,06 May 2017
48,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7800,7900,7820,03 Jan 2017
49,Bareilly,Bareilly,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,7900,8100,8000,08 Dec 2016
