0,1,2,3,4,5,6,7,8,9
1,Madhepura,Bihariganj,Mustard Oil,Other,FAQ,1400,2000,1700,18 Jun 2016
2,Madhepura,Bihariganj,Mustard Oil,Other,FAQ,13000,15000,14000,27 Jun 2016
3,Madhepura,Bihariganj,Mustard Oil,Other,FAQ,13000,15000,14000,30 Jun 2016
4,Madhepura,Bihariganj,Mustard Oil,Other,FAQ,14000,16000,15000,19 May 2016
5,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,01 Dec 2015
6,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,01 Nov 2015
7,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,02 Dec 2015
8,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,02 Nov 2015
9,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,03 Nov 2015
10,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,04 Nov 2015
11,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,05 Nov 2015
12,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,06 Nov 2015
13,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,07 Nov 2015
14,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,09 Nov 2015
15,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,10 Nov 2015
16,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,11 Nov 2015
17,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,12 Nov 2015
18,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,13 Nov 2015
19,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,14 Nov 2015
20,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,15 Nov 2015
21,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,16 Nov 2015
22,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,17 Nov 2015
23,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,18 Nov 2015
24,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,19 Nov 2015
25,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,20 Nov 2015
26,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,21 Nov 2015
27,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,22 Nov 2015
28,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,23 Nov 2015
29,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,24 Nov 2015
30,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,25 Nov 2015
31,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,26 Nov 2015
32,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,27 Nov 2015
33,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,28 Nov 2015
34,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,28 Oct 2015
35,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,29 Nov 2015
36,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,29 Oct 2015
37,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,30 Nov 2015
38,Chhapra,Chhapra,Mustard Oil,Other,FAQ,8000,8500,8250,30 Oct 2015
39,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9050,13 Oct 2015
40,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9050,14 Oct 2015
41,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9050,15 Oct 2015
42,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9050,16 Oct 2015
43,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,01 Oct 2015
44,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,02 Oct 2015
45,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,03 Oct 2015
46,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,04 Oct 2015
47,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,05 Oct 2015
48,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,06 Oct 2015
49,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,07 Oct 2015
50,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,08 Oct 2015
51,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,09 Oct 2015
52,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,10 Oct 2015
53,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,11 Oct 2015
54,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,12 Oct 2015
55,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,24 Sep 2015
56,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,26 Sep 2015
57,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,29 Sep 2015
58,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9000,10000,9500,30 Sep 2015
59,Chhapra,Chhapra,Mustard Oil,Other,FAQ,9500,10000,9750,23 Sep 2015
60,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,01 Jan 2016
61,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,02 Jan 2016
62,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,03 Dec 2015
63,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,03 Jan 2016
64,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,04 Dec 2015
65,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,04 Jan 2016
66,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,05 Dec 2015
67,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,05 Jan 2016
68,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,06 Dec 2015
69,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,06 Jan 2016
70,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,07 Dec 2015
71,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,07 Jan 2016
72,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,08 Dec 2015
73,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,08 Jan 2016
74,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,09 Dec 2015
75,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,09 Jan 2016
76,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,10 Dec 2015
77,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,10 Jan 2016
78,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,11 Dec 2015
79,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,12 Dec 2015
80,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,13 Dec 2015
81,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,14 Dec 2015
82,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,14 Jan 2016
83,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,15 Dec 2015
84,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,16 Dec 2015
85,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,17 Dec 2015
86,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,18 Dec 2015
87,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,19 Dec 2015
88,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,20 Jan 2016
89,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,21 Jan 2016
90,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,22 Jan 2016
91,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,23 Jan 2016
92,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,24 Dec 2015
93,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,24 Jan 2016
94,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,25 Dec 2015
95,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,25 Jan 2016
96,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,27 Jan 2016
97,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,30 Jan 2016
98,Chhapra,Chhapra,Mustard Oil,Other,FAQ,12000,14000,13000,31 Jan 2016
