0,1,2,3,4,5,6,7,8,9
1,Giridih,Giridih,Mustard Oil,Other,FAQ,3900,4100,4100,09 Dec 2016
2,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9080,9060,20 Aug 2017
3,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9150,9100,03 Aug 2017
4,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9200,9100,27 Jul 2017
5,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9230,9200,02 Aug 2017
6,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9230,9200,13 Aug 2017
7,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9230,9200,18 Aug 2017
8,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9230,9200,21 Jul 2017
9,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9240,9200,24 Aug 2017
10,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9250,9200,09 Aug 2017
11,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9250,9200,10 Aug 2017
12,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9250,9200,22 Aug 2017
13,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9250,9200,30 Jul 2017
14,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9250,9200,31 Jul 2017
15,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9260,9200,14 Aug 2017
16,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9260,9200,25 Jul 2017
17,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9300,9200,01 Aug 2017
18,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9300,9200,05 Aug 2017
19,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9300,9200,19 Jul 2017
20,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9300,9200,20 Jul 2017
21,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9300,9200,28 Jul 2017
22,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9380,9300,16 Jul 2017
23,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9550,9500,07 Aug 2017
24,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,04 Jul 2017
25,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,05 Jul 2017
26,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,07 Jul 2017
27,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,08 Aug 2017
28,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,11 Jul 2017
29,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,13 Jul 2017
30,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,17 Jul 2017
31,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,18 Jul 2017
32,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,22 Jul 2017
33,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9560,9500,24 Jul 2017
34,Giridih,Giridih,Mustard Oil,Other,FAQ,9000,9600,9500,01 Jul 2017
35,Giridih,Giridih,Mustard Oil,Other,FAQ,9100,9240,9200,26 Jul 2017
36,Giridih,Giridih,Mustard Oil,Other,FAQ,9200,9340,9300,01 Sep 2017
37,Giridih,Giridih,Mustard Oil,Other,FAQ,9200,9340,9300,29 Aug 2017
38,Giridih,Giridih,Mustard Oil,Other,FAQ,9200,9340,9300,30 Aug 2017
39,Giridih,Giridih,Mustard Oil,Other,FAQ,9200,9350,9300,25 Aug 2017
40,Giridih,Giridih,Mustard Oil,Other,FAQ,9200,9560,9500,23 Aug 2017
41,Giridih,Giridih,Mustard Oil,Other,FAQ,9300,9420,9400,15 Aug 2017
42,Giridih,Giridih,Mustard Oil,Other,FAQ,9300,9450,9400,16 Aug 2017
43,Giridih,Giridih,Mustard Oil,Other,FAQ,9500,9650,9600,11 Aug 2017
44,Giridih,Giridih,Mustard Oil,Other,FAQ,9500,9650,9600,12 Jul 2017
45,Giridih,Giridih,Mustard Oil,Other,FAQ,9500,9650,9600,27 Aug 2017
46,Giridih,Giridih,Mustard Oil,Other,FAQ,9500,10500,10000,03 Jul 2017
47,Giridih,Giridih,Mustard Oil,Other,FAQ,9600,9800,9800,30 Jun 2017
48,Giridih,Giridih,Mustard Oil,Other,FAQ,10000,10500,10500,14 Apr 2017
49,Giridih,Giridih,Mustard Oil,Other,FAQ,11500,12000,12000,24 May 2017
50,Giridih,Giridih,Mustard Oil,Other,FAQ,11500,12000,12000,31 Dec 2016
51,Giridih,Giridih,Mustard Oil,Other,FAQ,12000,12500,12500,01 Feb 2017
52,Giridih,Giridih,Mustard Oil,Other,FAQ,12000,12500,12500,01 Jan 2017
53,Giridih,Giridih,Mustard Oil,Other,FAQ,12000,12500,12500,01 Jun 2017
54,Giridih,Giridih,Mustard Oil,Other,FAQ,12000,12500,12500,01 Mar 2017
55,Giridih,Giridih,Mustard Oil,Other,FAQ,12000,12500,12500,01 May 2017
