0,1,2,3,4,5,6,7,8,9
1,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3301,3300,02 Apr 2016
2,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3500,3400,04 Apr 2016
3,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3300,3700,3600,05 Apr 2016
4,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3300,3885,3800,09 Apr 2016
5,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3500,3950,3800,10 Apr 2016
6,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3600,3700,3650,11 Apr 2016
7,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3600,3800,3700,12 Apr 2016
8,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3600,3801,3800,16 Apr 2016
9,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3600,3850,3800,17 Apr 2016
10,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3800,3900,3850,18 Apr 2016
11,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3800,4040,4000,25 Apr 2016
12,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3800,4050,4000,26 Apr 2016
13,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3900,4080,4000,24 Apr 2016
