0,1,2,3,4,5,6,7,8,9
1,Puruliya,Balarampur,Mustard Oil,Other,FAQ,16850,17000,16900,05 Dec 2024
2,Puruliya,Balarampur,Mustard Oil,Other,FAQ,16850,17000,16900,06 Dec 2024
3,Paschim Bardhaman,Durgapur,Mustard Oil,Other,FAQ,14000,14500,14200,04 Dec 2024
4,Paschim Bardhaman,Durgapur,Mustard Oil,Other,FAQ,14000,14500,14200,05 Dec 2024
5,Paschim Bardhaman,Durgapur,Mustard Oil,Other,FAQ,14200,14500,14300,06 Dec 2024
6,Jhargram,Jhargram,Mustard Oil,Mustard Oil,FAQ,14500,15500,15000,04 Dec 2024
7,Jhargram,Jhargram,Mustard Oil,Mustard Oil,FAQ,14500,15500,15000,05 Dec 2024
8,Puruliya,Purulia,Mustard Oil,Mustard Oil,FAQ,15580,15660,15660,08 Dec 2024
9,Puruliya,Purulia,Mustard Oil,Mustard Oil,FAQ,15580,15730,15660,05 Dec 2024
10,Puruliya,Purulia,Mustard Oil,Mustard Oil,FAQ,15580,15730,15660,06 Dec 2024
11,Puruliya,Purulia,Mustard Oil,Mustard Oil,FAQ,15600,15700,15600,04 Dec 2024
12,Puruliya,Purulia,Mustard Oil,Mustard Oil,FAQ,15600,15750,15680,07 Dec 2024
