0,1,2,3,4,5,6,7,8,9
1,Bhojpur,Aarah,Onion,Onion,FAQ,1200,1400,1300,30 Mar 2022
2,Bhojpur,Aarah,Onion,Onion,FAQ,1200,1600,1400,28 Mar 2022
3,Aurangabad,Amba,Onion,1st Sort,FAQ,1200,1400,1300,01 Jun 2022
4,Aurangabad,Amba,Onion,1st Sort,FAQ,1400,1600,1500,13 May 2022
5,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1600,1550,23 Apr 2022
6,Aurangabad,Amba,Onion,Nasik,FAQ,1500,1600,1550,16 Apr 2022
7,Araria,Arreria,Onion,1st Sort,FAQ,1200,1300,1250,03 Jun 2022
8,Araria,Arreria,Onion,1st Sort,FAQ,1200,1400,1300,14 Apr 2022
9,Araria,Arreria,Onion,1st Sort,FAQ,1200,1400,1300,18 Apr 2022
10,Araria,Arreria,Onion,1st Sort,FAQ,1200,1500,1350,12 Jun 2022
11,Araria,Arreria,Onion,1st Sort,FAQ,1400,1700,1600,22 Jul 2022
12,Araria,Arreria,Onion,1st Sort,FAQ,1500,1600,1550,22 Jun 2022
13,Araria,Arreria,Onion,1st Sort,FAQ,1500,1800,1700,08 Feb 2022
14,Araria,Arreria,Onion,1st Sort,FAQ,1500,1800,1700,29 Mar 2022
15,Araria,Arreria,Onion,1st Sort,FAQ,1600,2100,1900,10 Feb 2022
16,Araria,Arreria,Onion,1st Sort,FAQ,1700,1800,1750,07 Jul 2022
17,Araria,Arreria,Onion,1st Sort,FAQ,2200,2600,2500,08 Mar 2022
18,Araria,Arreria,Onion,1st Sort,FAQ,2500,3000,2800,15 Feb 2022
19,Arwal,Arwal,Onion,Local,FAQ,1500,1750,1600,02 Aug 2022
20,Arwal,Arwal,Onion,Local,FAQ,1600,1800,1700,16 Aug 2022
21,Aurangabad,Aurangabad,Onion,Other,FAQ,1300,1400,1350,18 May 2022
22,Aurangabad,Aurangabad,Onion,Other,FAQ,1300,1500,1400,30 Apr 2022
23,Aurangabad,Aurangabad,Onion,Other,FAQ,1400,1500,1450,27 May 2022
24,Aurangabad,Aurangabad,Onion,Other,FAQ,1600,1800,1700,01 Apr 2022
25,Aurangabad,Aurangabad,Onion,Other,FAQ,2000,2100,2050,30 May 2022
26,Aurangabad,Aurangabad,Onion,Other,FAQ,2000,2200,2100,07 Jun 2022
27,Aurangabad,Aurangabad,Onion,Other,FAQ,2400,2600,2500,15 Mar 2022
28,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1200,1400,1300,14 May 2022
29,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1200,1500,1400,21 May 2022
30,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1300,1500,1400,13 May 2022
31,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1300,1500,1400,20 Jun 2022
32,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1400,1600,1500,27 Jun 2022
33,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,2800,3100,2900,06 Mar 2022
34,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,3000,3500,3200,24 Feb 2022
35,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,3200,3500,3300,03 Mar 2022
36,Begusarai,Balliah,Onion,1st Sort,FAQ,1400,1600,1500,24 May 2022
37,Begusarai,Balliah,Onion,1st Sort,FAQ,1500,1550,1525,28 Apr 2022
38,Begusarai,Balliah,Onion,1st Sort,FAQ,1500,2200,1900,29 Jun 2022
39,Begusarai,Balliah,Onion,1st Sort,FAQ,1600,1800,1700,04 Aug 2022
40,Begusarai,Balliah,Onion,1st Sort,FAQ,1600,1800,1700,09 Jul 2022
41,Banka,Barahat,Onion,1st Sort,FAQ,900,1100,1000,26 Apr 2022
42,Banka,Barahat,Onion,1st Sort,FAQ,1000,1200,1130,13 Apr 2022
43,Banka,Barahat,Onion,1st Sort,FAQ,1300,1500,1400,11 Jun 2022
44,Banka,Barahat,Onion,1st Sort,FAQ,1300,1500,1400,16 Jun 2022
45,Banka,Barahat,Onion,1st Sort,FAQ,1400,1600,1500,30 Mar 2022
46,Banka,Barahat,Onion,1st Sort,FAQ,3000,3500,3200,02 Mar 2022
47,Banka,Barahat,Onion,Big,FAQ,1350,1400,1350,10 Apr 2022
48,Banka,Barahat,Onion,Big,FAQ,1350,1500,1450,17 May 2022
49,Banka,Barahat,Onion,Big,FAQ,1350,1550,1450,11 Jun 2022
50,Banka,Barahat,Onion,Big,FAQ,1350,1600,1450,30 May 2022
51,Banka,Barahat,Onion,Big,FAQ,3100,3450,3300,12 Mar 2022
52,Banka,Barahat,Onion,Big,FAQ,3100,3550,3300,05 Mar 2022
53,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,850,1050,950,27 May 2022
54,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,950,1050,1000,26 May 2022
55,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,1000,1100,1050,14 Jun 2022
56,Bhojpur,Aarah,Onion,Onion,FAQ,1000,1200,1100,26 Apr 2022
57,Bhojpur,Aarah,Onion,Onion,FAQ,2000,2500,2200,13 Mar 2022
58,Bhojpur,Aarah,Onion,Onion,FAQ,2400,2600,2500,28 Feb 2022
59,Bhojpur,Aarah,Onion,Onion,FAQ,2500,2700,2600,12 Feb 2022
60,Bhojpur,Aarah,Onion,Onion,FAQ,2800,3000,2900,01 Feb 2022
61,Bhojpur,Aarah,Onion,Onion,FAQ,2900,3000,3000,14 Jan 2022
62,Banka,Amarpur,Onion,1st Sort,FAQ,1000,1400,1200,24 May 2022
63,Banka,Amarpur,Onion,1st Sort,FAQ,1200,1500,1300,20 May 2022
64,Banka,Amarpur,Onion,1st Sort,FAQ,1300,1500,1400,07 Jun 2022
65,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,06 Jun 2022
66,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,10 Jun 2022
67,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,10 May 2022
68,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1600,1550,19 Apr 2022
69,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1700,1600,28 Jun 2022
