0,1,2,3,4,5,6,7,8,9
1,Durg,Durg,Onion,Nasik,FAQ,1500,2000,1500,14 Apr 2024
2,Durg,Durg,Onion,Nasik,FAQ,1600,1800,1600,03 May 2024
3,Durg,Durg,Onion,Nasik,FAQ,1700,1900,1900,14 Sep 2023
4,Durg,Durg,Onion,Nasik,FAQ,1800,2000,1800,22 Sep 2023
5,Durg,Durg,Onion,Nasik,FAQ,1800,2000,2000,29 Aug 2024
6,Durg,Durg,Onion,Nasik,FAQ,2000,2200,2000,19 Sep 2023
7,Durg,Durg,Onion,Nasik,FAQ,2000,2400,2400,29 Dec 2023
8,Durg,Durg,Onion,Nasik,FAQ,2000,2500,2000,07 Apr 2024
9,Durg,Durg,Onion,Nasik,FAQ,2000,2500,2500,01 Mar 2024
10,Durg,Durg,Onion,Nasik,FAQ,2000,2500,2500,03 Apr 2024
11,Durg,Durg,Onion,Nasik,FAQ,2000,2500,2500,28 Dec 2023
12,Durg,Durg,Onion,Nasik,FAQ,2000,3000,3000,07 Feb 2024
13,Durg,Durg,Onion,Nasik,FAQ,2000,3000,3000,07 Jan 2024
14,Durg,Durg,Onion,Nasik,FAQ,2500,2600,2600,05 Jun 2024
15,Durg,Durg,Onion,Nasik,FAQ,2600,2700,2700,12 Jun 2024
16,Durg,Durg,Onion,Nasik,FAQ,3000,3500,3500,19 Jan 2024
17,Durg,Durg,Onion,Nasik,FAQ,3500,4000,3500,30 Jul 2024
18,Durg,Durg,Onion,Nasik,FAQ,3700,3900,3700,03 Aug 2024
19,Durg,Durg,Onion,Nasik,FAQ,4000,4200,4000,13 Aug 2024
20,Durg,Durg,Onion,Nasik,FAQ,4000,5000,4000,07 Nov 2023
21,Raigarh,Raigarh,Onion,Other,FAQ,1800,2200,1800,15 Apr 2024
22,Raigarh,Raigarh,Onion,Other,FAQ,1800,2200,2000,13 Oct 2023
23,Raigarh,Raigarh,Onion,Other,FAQ,2000,2300,2000,28 Mar 2024
24,Raigarh,Raigarh,Onion,Other,FAQ,2000,2500,2000,26 Feb 2024
25,Raigarh,Raigarh,Onion,Other,FAQ,2200,2500,2200,11 Mar 2024
26,Raigarh,Raigarh,Onion,Other,FAQ,2200,2500,2300,05 Sep 2023
27,Raigarh,Raigarh,Onion,Other,FAQ,2200,2500,2300,28 Sep 2023
28,Raigarh,Raigarh,Onion,Other,FAQ,2300,2600,2400,07 Oct 2023
29,Raigarh,Raigarh,Onion,Other,FAQ,2300,2600,2400,09 Oct 2023
30,Raigarh,Raigarh,Onion,Other,FAQ,2500,2800,2500,29 Apr 2024
31,Raigarh,Raigarh,Onion,Other,FAQ,2500,3000,2900,23 Aug 2024
32,Raigarh,Raigarh,Onion,Other,FAQ,3000,3500,3250,17 Aug 2024
33,Raigarh,Raigarh,Onion,Other,FAQ,3000,4000,3500,28 Dec 2023
34,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,600,1200,800,18 Feb 2024
35,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,600,1200,900,04 May 2024
36,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,800,1200,1000,09 Feb 2024
37,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,800,1200,1000,10 Feb 2024
38,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,800,1200,1000,14 Feb 2024
39,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,800,1200,1000,15 Feb 2024
40,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,1400,1800,1600,23 May 2024
41,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,1400,2000,1700,29 Dec 2023
42,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,1400,2000,1700,30 Mar 2024
43,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,1900,2500,2200,16 Sep 2023
44,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2000,3000,2500,01 Sep 2023
45,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2200,2600,2400,27 Sep 2023
46,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2500,3500,3000,02 Aug 2024
47,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2500,3500,3000,12 Jun 2024
48,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2500,3500,3000,14 Jun 2024
49,Rajnandgaon,Rajnandgaon,Onion,Onion,FAQ,2500,3500,3000,28 Jul 2024
