0,1,2,3,4,5,6,7,8,9
1,Ambala,Ambala Cantt.,Onion,Other,FAQ,800,1400,1200,25 May 2015
2,Ambala,Ambala Cantt.,Onion,Other,FAQ,900,1200,1000,15 Jan 2015
3,Ambala,Ambala Cantt.,Onion,Other,FAQ,1000,1400,1200,08 Feb 2015
4,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,1500,1300,07 Sep 2014
5,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,1500,1400,04 Sep 2014
6,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,1500,1400,19 Feb 2015
7,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,1600,1500,22 Nov 2014
8,Ambala,Ambala Cantt.,Onion,Other,FAQ,1200,2000,1500,07 Oct 2014
9,Ambala,Ambala Cantt.,Onion,Other,FAQ,1400,1700,1500,03 Apr 2015
10,Ambala,Ambala Cantt.,Onion,Other,FAQ,1600,1800,1700,21 Mar 2015
11,Ambala,Ambala Cantt.,Onion,Other,FAQ,1700,1900,1800,05 Mar 2015
12,Ambala,Ambala City,Onion,Other,FAQ,675,735,680,08 Dec 2014
13,Ambala,Ambala City,Onion,Other,FAQ,1000,2200,1800,11 Sep 2014
14,Ambala,Ambala City,Onion,Other,FAQ,1500,2000,1800,15 Sep 2014
15,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,300,1200,1000,04 Jan 2015
16,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,500,1200,600,03 Jun 2015
17,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,500,1540,1200,04 May 2015
18,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,600,1350,1000,02 Jun 2015
19,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,700,1400,1000,03 Feb 2015
20,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,800,1900,1000,24 Feb 2015
21,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,900,1200,1000,20 Jul 2015
22,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,900,1800,1000,13 Mar 2015
23,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,900,2000,1500,27 Feb 2015
24,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,900,2150,1900,06 Jul 2015
25,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1000,2000,1500,14 Mar 2015
26,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1200,1650,1540,23 Apr 2015
27,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1300,1650,1500,07 Feb 2015
28,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1300,2000,1500,16 Mar 2015
29,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1300,3100,2500,18 Aug 2015
30,Ambala,Ambala City(Subji Mandi),Onion,Other,FAQ,1400,1620,1500,02 Feb 2015
31,Karnal,Asandh,Onion,Other,FAQ,1000,1200,1150,26 May 2015
32,Karnal,Asandh,Onion,Other,FAQ,1000,1200,1150,29 May 2015
33,Karnal,Asandh,Onion,Other,FAQ,1000,1500,1250,06 Jun 2015
34,Karnal,Asandh,Onion,Other,FAQ,1250,1800,1650,02 Jun 2015
35,Karnal,Asandh,Onion,Other,FAQ,1500,1800,1650,04 Apr 2015
36,Karnal,Asandh,Onion,Other,FAQ,1600,1900,1850,29 Dec 2014
37,Karnal,Asandh,Onion,Other,FAQ,1700,1800,1750,08 Nov 2014
38,Karnal,Asandh,Onion,Other,FAQ,1700,1800,1750,17 Apr 2015
39,Karnal,Asandh,Onion,Other,FAQ,1800,2000,1950,25 Feb 2015
