0,1,2,3,4,5,6,7,8,9
1,Jammu,Akhnoor,Onion,Other,FAQ,1200,1400,1300,01 Jun 2023
2,Jammu,Akhnoor,Onion,Other,FAQ,1200,1400,1300,02 May 2023
3,Jammu,Akhnoor,Onion,Other,FAQ,1200,1400,1300,15 May 2023
4,Jammu,Akhnoor,Onion,Other,FAQ,1200,1400,1300,24 May 2023
5,Jammu,Akhnoor,Onion,Other,FAQ,1200,1400,1300,25 May 2023
6,Jammu,Akhnoor,Onion,Other,FAQ,1400,1600,1500,04 Jul 2023
7,Jammu,Akhnoor,Onion,Other,FAQ,1400,1600,1500,17 Apr 2023
8,Jammu,Akhnoor,Onion,Other,FAQ,1400,1600,1500,19 Apr 2023
9,Jammu,Akhnoor,Onion,Other,FAQ,1400,1600,1500,26 Apr 2023
10,Jammu,Akhnoor,Onion,Other,FAQ,1800,2000,1900,26 Jul 2023
11,Jammu,Akhnoor,Onion,Other,FAQ,1900,2100,2000,21 Jan 2023
12,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1500,1700,1600,06 Apr 2023
13,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1500,1700,1600,10 Mar 2023
14,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1500,1700,1600,26 May 2023
15,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1600,1700,1650,03 Apr 2023
16,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1700,1900,1800,02 Sep 2022
17,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1800,2000,1900,15 Jun 2023
18,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,1800,2100,1950,21 Dec 2022
19,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,2100,2200,2150,01 Feb 2023
20,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,2100,2200,2150,24 Jul 2023
21,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,2100,2300,2200,11 Jan 2023
22,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,2200,2400,2300,07 Dec 2022
23,Anantnag,Ashahipora (Anantnagh),Onion,Other,FAQ,2200,2400,2300,25 Nov 2022
24,Jammu,Batote,Onion,Other,FAQ,1700,1900,1800,05 Jun 2023
25,Jammu,Batote,Onion,Other,FAQ,1800,2000,1900,08 Jul 2023
26,Jammu,Batote,Onion,Other,FAQ,1800,2000,1900,16 Sep 2022
27,Jammu,Batote,Onion,Other,FAQ,2000,2200,2100,20 Jun 2023
28,Jammu,Batote,Onion,Other,FAQ,2000,2400,2200,13 Feb 2023
29,Jammu,Batote,Onion,Other,FAQ,2100,2300,2200,17 Feb 2023
30,Jammu,Batote,Onion,Other,FAQ,2400,2600,2500,21 Oct 2022
31,Jammu,Batote,Onion,Other,FAQ,2600,2800,2700,16 Nov 2022
32,Kathua,Kathua,Onion,Other,FAQ,1000,1200,1100,04 May 2023
33,Kathua,Kathua,Onion,Other,FAQ,1000,1200,1100,05 Apr 2023
34,Kathua,Kathua,Onion,Other,FAQ,1000,1200,1100,20 Apr 2023
35,Kathua,Kathua,Onion,Other,FAQ,1000,1200,1100,28 Apr 2023
36,Kathua,Kathua,Onion,Other,FAQ,1200,1700,1500,17 Dec 2022
37,Kathua,Kathua,Onion,Other,FAQ,1300,1400,1350,07 Jun 2023
38,Kathua,Kathua,Onion,Other,FAQ,1300,1400,1350,08 Jun 2023
39,Kathua,Kathua,Onion,Other,FAQ,1300,1500,1400,24 May 2023
40,Kathua,Kathua,Onion,Other,FAQ,1400,1800,1600,21 Dec 2022
41,Kathua,Kathua,Onion,Other,FAQ,1500,1700,1600,12 Jun 2023
42,Kathua,Kathua,Onion,Other,FAQ,1500,2000,1800,06 Jan 2023
43,Kathua,Kathua,Onion,Other,FAQ,1500,2200,2000,10 Dec 2022
44,Kathua,Kathua,Onion,Other,FAQ,1800,2000,1900,03 Aug 2023
45,Kathua,Kathua,Onion,Other,FAQ,2000,2300,2200,06 Dec 2022
46,Kathua,Kathua,Onion,Other,FAQ,2000,2400,2200,10 Jul 2023
47,Kathua,Kathua,Onion,Other,FAQ,2400,2700,2500,09 Nov 2022
48,Anantnag,Kulgam,Onion,Red,FAQ,1900,2100,2000,04 Jul 2023
