0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Onion,Onion,FAQ,4000,4000,4000,26 Aug 2024
2,Hassan,Arasikere,Onion,Onion,FAQ,7000,7000,7000,16 Nov 2024
3,Bagalkot,Bagalakot,Onion,Onion,FAQ,800,6500,4000,30 Nov 2024
4,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,1500,1300,18 Sep 2024
5,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2000,1500,01 Oct 2024
6,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,1000,2500,2000,24 Sep 2024
7,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2400,2200,03 Jul 2024
8,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2500,2200,03 Aug 2024
9,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2500,2200,11 Jul 2024
10,Bangalore,Bangalore,Onion,Bangalore-Samall,FAQ,2000,2500,2200,19 Jul 2024
11,Bangalore,Bangalore,Onion,Local,FAQ,2000,4000,3500,18 Oct 2024
12,Bangalore,Bangalore,Onion,Local,FAQ,2500,2800,2600,05 Aug 2024
13,Bangalore,Bangalore,Onion,Local,FAQ,2500,3000,2800,19 Sep 2024
14,Bangalore,Bangalore,Onion,Local,FAQ,2600,3200,3000,09 Sep 2024
15,Bangalore,Bangalore,Onion,Local,FAQ,3000,5000,4000,02 Dec 2024
16,Bangalore,Bangalore,Onion,Onion,FAQ,2800,3300,3000,20 Jul 2024
17,Bangalore,Bangalore,Onion,Onion,FAQ,3000,3500,3200,03 Oct 2024
18,Bangalore,Bangalore,Onion,Onion,FAQ,3000,3800,3600,17 Aug 2024
19,Bangalore,Bangalore,Onion,Onion,FAQ,3500,4800,4400,19 Oct 2024
20,Bangalore,Bangalore,Onion,Onion,FAQ,3800,4200,4000,27 Aug 2024
21,Bangalore,Bangalore,Onion,Puna,FAQ,2500,3300,3000,07 Aug 2024
22,Bangalore,Bangalore,Onion,Puna,FAQ,2500,3500,3200,19 Jul 2024
23,Bangalore,Bangalore,Onion,Puna,FAQ,3500,4500,4000,29 Aug 2024
24,Bangalore,Bangalore,Onion,Puna,FAQ,4000,4800,4500,19 Sep 2024
25,Bangalore,Bangalore,Onion,Puna,FAQ,4000,5200,4600,10 Oct 2024
