0,1,2,3,4,5,6,7,8,9
1,Sholapur,Akluj,Onion,Red,FAQ,100,400,300,05 May 2017
2,Sholapur,Akluj,Onion,Red,FAQ,200,500,350,20 May 2017
3,Sholapur,Akluj,Onion,Red,FAQ,200,600,400,11 Sep 2016
4,Sholapur,Akluj,Onion,Red,FAQ,200,800,600,16 Dec 2016
5,Sholapur,Akluj,Onion,Red,FAQ,250,700,500,13 Feb 2017
6,Sholapur,Akluj,Onion,Red,FAQ,300,600,400,24 Apr 2017
7,Sholapur,Akluj,Onion,Red,FAQ,300,600,500,22 Dec 2016
8,Sholapur,Akluj,Onion,Red,FAQ,300,650,400,24 May 2017
9,Sholapur,Akluj,Onion,Red,FAQ,300,700,500,08 Dec 2016
10,Sholapur,Akluj,Onion,Red,FAQ,300,700,500,10 Sep 2016
11,Sholapur,Akluj,Onion,Red,FAQ,300,700,500,26 Jul 2017
12,Sholapur,Akluj,Onion,Red,FAQ,300,800,500,22 Apr 2017
13,Sholapur,Akluj,Onion,Red,FAQ,300,800,550,23 Apr 2017
14,Sholapur,Akluj,Onion,Red,FAQ,300,800,600,02 Feb 2017
15,Sholapur,Akluj,Onion,Red,FAQ,300,800,600,23 Oct 2016
16,Sholapur,Akluj,Onion,Red,FAQ,400,700,600,05 Feb 2017
17,Sholapur,Akluj,Onion,Red,FAQ,500,700,600,28 Jul 2017
18,Sholapur,Akluj,Onion,Red,FAQ,500,800,600,09 Dec 2016
19,Sholapur,Akluj,Onion,Red,FAQ,500,800,700,09 Sep 2016
20,Sholapur,Akluj,Onion,Red,FAQ,500,1000,600,01 Dec 2016
21,Sholapur,Akluj,Onion,Red,FAQ,500,1100,900,29 Jul 2017
22,Sholapur,Akluj,Onion,Red,FAQ,1500,2500,2300,23 Aug 2017
23,Ahmednagar,Akole,Onion,Other,FAQ,100,551,474,05 Feb 2017
24,Ahmednagar,Akole,Onion,Other,FAQ,150,631,440,18 Apr 2017
25,Ahmednagar,Akole,Onion,Other,FAQ,500,3200,2360,03 Aug 2017
26,Ahmednagar,Akole,Onion,Red,FAQ,150,1411,688,27 Nov 2016
27,Ahmednagar,Akole,Onion,Red,FAQ,151,825,554,05 Jan 2017
28,Amarawati,Amarawati,Onion,Red,FAQ,300,1300,800,18 Oct 2016
29,Amarawati,Amarawati,Onion,White,FAQ,700,1300,1000,08 Oct 2016
30,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,300,1050,625,04 Oct 2016
31,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,300,1200,750,24 Oct 2016
32,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,700,550,17 Jul 2017
33,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,1300,850,21 Oct 2016
34,Amarawati,Amrawati(Frui & Veg. Market),Onion,Local,FAQ,400,1300,850,25 Oct 2016
