0,1,2,3,4,5,6,7,8,9
1,Khurda,Aiginia Mandi,Onion,Other,FAQ,950,1050,1000,02 May 2016
2,Khurda,Aiginia Mandi,Onion,Other,FAQ,950,1050,1000,15 May 2016
3,Khurda,Aiginia Mandi,Onion,Other,FAQ,950,1050,1000,16 May 2016
4,Khurda,Aiginia Mandi,Onion,Other,FAQ,1050,1150,1100,28 Feb 2016
5,Khurda,Aiginia Mandi,Onion,Other,FAQ,1100,1200,1150,19 Mar 2016
6,Khurda,Aiginia Mandi,Onion,Other,FAQ,1100,1200,1150,29 Mar 2016
7,Khurda,Aiginia Mandi,Onion,Other,FAQ,1250,1350,1300,17 Feb 2016
8,Khurda,Aiginia Mandi,Onion,Other,FAQ,1250,1450,1350,22 Jan 2016
9,Khurda,Aiginia Mandi,Onion,Other,FAQ,1300,1400,1350,05 Feb 2016
10,Khurda,Aiginia Mandi,Onion,Other,FAQ,1300,1500,1400,03 Aug 2016
11,Khurda,Aiginia Mandi,Onion,Other,FAQ,1300,1500,1400,31 Jul 2016
12,Khurda,Aiginia Mandi,Onion,Other,FAQ,1400,1600,1500,18 Jan 2016
13,Khurda,Aiginia Mandi,Onion,Other,FAQ,4400,4800,4600,09 Sep 2015
14,Khurda,Aiginia Mandi,Onion,Other,FAQ,4500,5000,4750,21 Sep 2015
15,Khurda,Aiginia Mandi,Onion,Other,FAQ,4750,5000,4900,08 Oct 2015
16,Khurda,Aiginia Mandi,Onion,Other,FAQ,4800,5200,5000,01 Sep 2015
17,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,02 May 2016
18,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,27 Aug 2016
19,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,04 Feb 2016
20,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,07 Jan 2016
21,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,13 Mar 2016
22,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,27 Dec 2015
23,Angul,Angul,Onion,Other,FAQ,2000,2400,2200,11 Dec 2015
24,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,03 Nov 2015
25,Angul,Angul(Atthamallick),Onion,Onion,FAQ,1800,2200,2000,20 Mar 2016
26,Angul,Angul(Atthamallick),Onion,Onion,FAQ,1800,2200,2000,24 Feb 2016
27,Angul,Angul(Atthamallick),Onion,Onion,FAQ,1800,2200,2000,30 Jan 2016
28,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,06 Jun 2016
29,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,19 Apr 2016
30,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,26 Jun 2016
31,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,31 May 2016
32,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1800,1600,04 Aug 2016
33,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,03 Feb 2016
34,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,17 Mar 2016
35,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,18 Jan 2016
36,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,21 Jan 2016
37,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,30 Mar 2016
38,Angul,Angul(Jarapada),Onion,Other,FAQ,2000,4000,3000,08 Oct 2015
39,Angul,Angul(Jarapada),Onion,Other,FAQ,2500,3200,3000,18 Oct 2015
40,Angul,Angul(Jarapada),Onion,Other,FAQ,4000,5000,4500,01 Oct 2015
41,Cuttack,Athagarh,Onion,Onion,FAQ,1600,1800,1700,18 Apr 2016
42,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,13 Mar 2016
43,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,29 Feb 2016
44,Cuttack,Athagarh,Onion,Onion,FAQ,2000,2300,2200,24 Jan 2016
45,Cuttack,Athagarh,Onion,Onion,FAQ,2200,2400,2300,02 Feb 2016
46,Cuttack,Athagarh,Onion,Onion,FAQ,2200,2400,2300,13 Jan 2016
47,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,02 Dec 2015
48,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,18 Dec 2015
49,Cuttack,Athagarh,Onion,Onion,FAQ,2800,3000,2900,11 Dec 2015
50,Cuttack,Athagarh,Onion,Onion,FAQ,2800,3000,2900,13 Dec 2015
51,Cuttack,Athagarh,Onion,Onion,FAQ,3300,3500,3400,03 Nov 2015
52,Cuttack,Athagarh,Onion,Onion,FAQ,4300,4500,4400,11 Oct 2015
53,Cuttack,Athagarh,Onion,Onion,FAQ,4800,5000,4900,08 Oct 2015
54,Bargarh,Attabira,Onion,Other,FAQ,1400,1600,1600,28 Mar 2016
55,Bargarh,Attabira,Onion,Other,FAQ,1500,1600,1600,20 Jun 2016
56,Khurda,Aiginia Mandi,Onion,Other,FAQ,950,1050,1000,01 Jun 2016
57,Khurda,Aiginia Mandi,Onion,Other,FAQ,950,1050,1000,07 May 2016
58,Khurda,Aiginia Mandi,Onion,Other,FAQ,1000,1100,1050,06 Jun 2016
59,Khurda,Aiginia Mandi,Onion,Other,FAQ,1000,1100,1050,23 Jun 2016
60,Khurda,Aiginia Mandi,Onion,Other,FAQ,1000,1200,1100,31 Aug 2016
61,Khurda,Aiginia Mandi,Onion,Other,FAQ,1100,1200,1150,25 Mar 2016
62,Khurda,Aiginia Mandi,Onion,Other,FAQ,1300,1400,1350,30 Jan 2016
63,Khurda,Aiginia Mandi,Onion,Other,FAQ,1300,1500,1400,01 Aug 2016
64,Khurda,Aiginia Mandi,Onion,Other,FAQ,1600,1700,1650,18 Jul 2016
65,Khurda,Aiginia Mandi,Onion,Other,FAQ,1600,2000,1750,08 Jan 2016
66,Khurda,Aiginia Mandi,Onion,Other,FAQ,1600,2000,1800,01 Jan 2016
67,Khurda,Aiginia Mandi,Onion,Other,FAQ,4500,5000,4750,01 Oct 2015
68,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,01 May 2016
69,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,03 Jul 2016
70,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,10 Jul 2016
71,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,16 Aug 2016
72,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,20 Aug 2016
73,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,23 May 2016
74,Angul,Angul,Onion,Other,FAQ,1400,1600,1500,25 May 2016
75,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,03 Jan 2016
76,Angul,Angul,Onion,Other,FAQ,1500,2000,1800,29 Dec 2015
77,Angul,Angul,Onion,Other,FAQ,2500,3000,2800,30 Nov 2015
78,Angul,Angul(Atthamallick),Onion,Onion,FAQ,1800,2200,2000,01 Feb 2016
79,Angul,Angul(Atthamallick),Onion,Onion,FAQ,1800,2200,2000,29 Jan 2016
80,Angul,Angul(Atthamallick),Onion,Onion,FAQ,2000,2500,2300,10 Jan 2016
81,Angul,Angul(Atthamallick),Onion,Onion,FAQ,2200,2500,2400,26 Dec 2015
82,Angul,Angul(Atthamallick),Onion,Onion,FAQ,5000,5600,5400,11 Sep 2015
83,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,11 Aug 2016
84,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,12 Jul 2016
85,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,22 Jun 2016
86,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,24 Apr 2016
87,Angul,Angul(Jarapada),Onion,Other,FAQ,1400,1600,1500,29 May 2016
88,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,02 Apr 2016
89,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,06 Feb 2016
90,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,10 Mar 2016
91,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,14 Jan 2016
92,Angul,Angul(Jarapada),Onion,Other,FAQ,1500,2000,1800,31 Jan 2016
93,Angul,Angul(Jarapada),Onion,Other,FAQ,2000,3000,2500,22 Oct 2015
94,Angul,Angul(Jarapada),Onion,Other,FAQ,2500,3000,2800,07 Mar 2016
95,Angul,Angul(Jarapada),Onion,Other,FAQ,2500,3500,3000,07 Nov 2015
96,Angul,Angul(Jarapada),Onion,Other,FAQ,3000,4000,3500,12 Oct 2015
97,Angul,Angul(Jarapada),Onion,Other,FAQ,4500,5000,4800,17 Sep 2015
98,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,17 Feb 2016
99,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,23 Feb 2016
100,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,25 Feb 2016
101,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,27 Feb 2016
102,Cuttack,Athagarh,Onion,Onion,FAQ,1800,2000,1900,27 Mar 2016
103,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,04 Dec 2015
104,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,05 Jan 2016
105,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,22 Dec 2015
106,Cuttack,Athagarh,Onion,Onion,FAQ,2300,2500,2400,28 Dec 2015
107,Cuttack,Athagarh,Onion,Onion,FAQ,3300,3500,3400,18 Nov 2015
108,Cuttack,Athagarh,Onion,Onion,FAQ,4300,4500,4400,01 Oct 2015
109,Cuttack,Athagarh,Onion,Onion,FAQ,5300,5500,5400,09 Sep 2015
110,Bargarh,Attabira,Onion,Other,FAQ,1500,1600,1600,25 Jul 2016
