0,1,2,3,4,5,6,7,8,9
1,Fazilka,Abohar,Onion,Onion,FAQ,800,1200,1050,15 Mar 2018
2,Fazilka,Abohar,Onion,Onion,FAQ,800,1250,950,11 Jun 2018
3,Fazilka,Abohar,Onion,Onion,FAQ,800,1500,1200,20 Jun 2018
4,Fazilka,Abohar,Onion,Onion,FAQ,1075,1800,1650,04 Oct 2017
5,Fazilka,Abohar,Onion,Onion,FAQ,1250,1725,1450,18 Jul 2018
6,Fazilka,Abohar,Onion,Onion,FAQ,1400,1900,1800,27 Jun 2018
7,Fazilka,Abohar,Onion,Onion,FAQ,1400,2100,1750,06 Oct 2017
8,Fazilka,Abohar,Onion,Onion,FAQ,1450,1900,1675,09 Jul 2018
9,Fazilka,Abohar,Onion,Onion,FAQ,1800,2600,2300,12 Oct 2017
10,Fazilka,Abohar,Onion,Onion,FAQ,2700,3200,3000,15 Nov 2017
11,Fazilka,Abohar,Onion,Onion,FAQ,2700,3500,2950,21 Nov 2017
12,Fazilka,Abohar,Onion,Onion,FAQ,2850,3200,3100,17 Nov 2017
13,Fazilka,Abohar,Onion,Onion,FAQ,3000,3500,3300,16 Jan 2018
14,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,26 Apr 2018
15,Jalandhar,Adampur,Onion,Other,FAQ,1300,1400,1400,18 Aug 2018
16,Jalandhar,Adampur,Onion,Other,FAQ,1300,1500,1500,17 Aug 2018
17,Jalandhar,Adampur,Onion,Other,FAQ,1300,1500,1500,24 Aug 2018
18,Jalandhar,Adampur,Onion,Other,FAQ,1300,1500,1500,25 Aug 2018
19,Jalandhar,Adampur,Onion,Other,FAQ,1400,1600,1600,11 Jul 2018
20,Jalandhar,Adampur,Onion,Other,FAQ,1600,1800,1800,23 Sep 2017
21,Jalandhar,Adampur,Onion,Other,FAQ,1600,2000,2000,27 Sep 2017
22,Jalandhar,Adampur,Onion,Other,FAQ,1700,1800,1800,05 Mar 2018
23,Jalandhar,Adampur,Onion,Other,FAQ,1800,2000,2000,03 Oct 2017
24,Jalandhar,Adampur,Onion,Other,FAQ,1800,2000,2000,25 Sep 2017
25,Jalandhar,Adampur,Onion,Other,FAQ,2500,2600,2600,11 Oct 2017
26,Jalandhar,Adampur,Onion,Other,FAQ,2700,3000,3000,17 Nov 2017
27,Jalandhar,Adampur,Onion,Other,FAQ,2900,3200,3200,01 Jan 2018
28,Jalandhar,Adampur,Onion,Other,FAQ,3000,3500,3500,16 Dec 2017
29,Amritsar,Ajnala,Onion,Red,FAQ,600,800,700,22 May 2018
30,Amritsar,Ajnala,Onion,Red,FAQ,700,800,800,07 Jun 2018
31,Amritsar,Ajnala,Onion,Red,FAQ,800,900,900,12 Apr 2018
32,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,16 Apr 2018
33,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,25 Jun 2018
34,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,27 Apr 2018
35,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,28 Jun 2018
36,Amritsar,Ajnala,Onion,Red,FAQ,900,1000,1000,15 Apr 2018
37,Amritsar,Ajnala,Onion,Red,FAQ,900,1200,1000,14 Apr 2018
38,Amritsar,Ajnala,Onion,Red,FAQ,1200,1400,1300,09 Aug 2018
39,Amritsar,Ajnala,Onion,Red,FAQ,1300,1500,1400,14 Aug 2018
40,Amritsar,Ajnala,Onion,Red,FAQ,1400,1500,1500,05 Sep 2017
41,Amritsar,Ajnala,Onion,Red,FAQ,1400,1600,1600,03 Jul 2018
42,Amritsar,Ajnala,Onion,Red,FAQ,1600,1800,1700,24 Feb 2018
43,Amritsar,Ajnala,Onion,Red,FAQ,1600,1800,1800,05 Jan 2018
44,Amritsar,Ajnala,Onion,Red,FAQ,1700,2000,1800,02 Feb 2018
45,Amritsar,Ajnala,Onion,Red,FAQ,1800,2000,2000,17 Dec 2017
46,Amritsar,Ajnala,Onion,Red,FAQ,2400,2500,2500,15 Jan 2018
47,Amritsar,Ajnala,Onion,Red,FAQ,2600,3000,2800,14 Jan 2018
48,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,500,700,600,08 Aug 2018
49,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,600,800,700,12 May 2018
50,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,600,800,700,14 May 2018
51,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,600,800,700,26 Apr 2018
52,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,800,1200,1000,29 Aug 2018
53,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,1600,3100,2300,30 Nov 2017
54,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Onion,FAQ,1700,2500,2000,31 Jan 2018
55,Amritsar,Amritsar(Amritsar Mewa Mandi),Onion,Other,FAQ,700,2400,1400,09 Oct 2017
56,Fazilka,Abohar,Onion,Onion,FAQ,500,900,750,11 May 2018
57,Fazilka,Abohar,Onion,Onion,FAQ,600,1200,850,05 Apr 2018
58,Fazilka,Abohar,Onion,Onion,FAQ,600,1300,800,27 Mar 2018
59,Fazilka,Abohar,Onion,Onion,FAQ,650,1050,750,19 Apr 2018
60,Fazilka,Abohar,Onion,Onion,FAQ,650,1050,775,25 Apr 2018
61,Fazilka,Abohar,Onion,Onion,FAQ,700,1300,1050,17 Mar 2018
62,Fazilka,Abohar,Onion,Onion,FAQ,750,1000,900,28 May 2018
63,Fazilka,Abohar,Onion,Onion,FAQ,1050,1500,1175,28 Aug 2018
64,Fazilka,Abohar,Onion,Onion,FAQ,1150,1450,1250,01 Sep 2018
65,Fazilka,Abohar,Onion,Onion,FAQ,1150,1600,1450,20 Aug 2018
66,Fazilka,Abohar,Onion,Onion,FAQ,1200,1550,1400,16 Aug 2018
67,Fazilka,Abohar,Onion,Onion,FAQ,1200,1650,1550,30 Jul 2018
68,Fazilka,Abohar,Onion,Onion,FAQ,1250,1710,1475,10 Aug 2018
69,Fazilka,Abohar,Onion,Onion,FAQ,1250,1750,1475,27 Jul 2018
70,Fazilka,Abohar,Onion,Onion,FAQ,1600,1950,1800,14 Sep 2017
71,Fazilka,Abohar,Onion,Onion,FAQ,1700,2050,1850,13 Sep 2017
72,Fazilka,Abohar,Onion,Onion,FAQ,2000,2300,2200,26 Feb 2018
73,Fazilka,Abohar,Onion,Onion,FAQ,2000,2500,2300,06 Feb 2018
74,Fazilka,Abohar,Onion,Onion,FAQ,2500,3000,2800,01 Nov 2017
75,Fazilka,Abohar,Onion,Onion,FAQ,2850,3200,3100,14 Nov 2017
76,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,01 May 2018
77,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,03 May 2018
78,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,20 Apr 2018
79,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,30 Apr 2018
80,Jalandhar,Adampur,Onion,Other,FAQ,1000,1200,1200,05 Apr 2018
81,Jalandhar,Adampur,Onion,Other,FAQ,1000,1500,1500,26 Mar 2018
82,Jalandhar,Adampur,Onion,Other,FAQ,1200,1300,1300,17 Mar 2018
83,Jalandhar,Adampur,Onion,Other,FAQ,1300,1400,1400,15 Mar 2018
84,Jalandhar,Adampur,Onion,Other,FAQ,1300,1500,1500,09 Aug 2018
85,Jalandhar,Adampur,Onion,Other,FAQ,1500,1700,1700,25 Jul 2018
86,Jalandhar,Adampur,Onion,Other,FAQ,1600,1700,1700,13 Mar 2018
87,Jalandhar,Adampur,Onion,Other,FAQ,1600,1800,1800,07 Mar 2018
88,Jalandhar,Adampur,Onion,Other,FAQ,1800,2200,2200,06 Sep 2017
89,Jalandhar,Adampur,Onion,Other,FAQ,1800,2200,2200,08 Sep 2017
90,Jalandhar,Adampur,Onion,Other,FAQ,2000,2200,2200,24 Feb 2018
91,Jalandhar,Adampur,Onion,Other,FAQ,2300,2600,2600,10 Oct 2017
92,Jalandhar,Adampur,Onion,Other,FAQ,2400,2600,2600,19 Oct 2017
93,Jalandhar,Adampur,Onion,Other,FAQ,2500,2800,2800,31 Jan 2018
94,Jalandhar,Adampur,Onion,Other,FAQ,2500,2900,2900,03 Nov 2017
95,Jalandhar,Adampur,Onion,Other,FAQ,2800,3000,3000,18 Nov 2017
96,Jalandhar,Adampur,Onion,Other,FAQ,2800,3000,3000,20 Nov 2017
97,Jalandhar,Adampur,Onion,Other,FAQ,3000,3400,3400,18 Jan 2018
98,Jalandhar,Adampur,Onion,Other,FAQ,3000,3500,3500,22 Nov 2017
99,Jalandhar,Adampur,Onion,Other,FAQ,3200,3400,3400,22 Dec 2017
100,Jalandhar,Adampur,Onion,Other,FAQ,3200,3500,3500,29 Nov 2017
101,Jalandhar,Adampur,Onion,Other,FAQ,3500,3500,3500,25 Dec 2017
102,Amritsar,Ajnala,Onion,Red,FAQ,700,900,800,04 Jun 2018
103,Amritsar,Ajnala,Onion,Red,FAQ,700,900,800,12 Jun 2018
104,Amritsar,Ajnala,Onion,Red,FAQ,700,900,800,30 Jun 2018
105,Amritsar,Ajnala,Onion,Red,FAQ,800,900,900,02 Jul 2018
106,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,08 Jun 2018
107,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,17 Apr 2018
108,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,20 Apr 2018
109,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,27 Jul 2018
110,Amritsar,Ajnala,Onion,Red,FAQ,800,1000,900,30 Apr 2018
111,Amritsar,Ajnala,Onion,Red,FAQ,1100,1200,1200,27 Mar 2018
112,Fazilka,Abohar,Onion,Onion,FAQ,650,800,720,12 Apr 2018
113,Fazilka,Abohar,Onion,Onion,FAQ,800,1200,900,07 Jun 2018
114,Fazilka,Abohar,Onion,Onion,FAQ,950,1450,1125,19 Jun 2018
115,Fazilka,Abohar,Onion,Onion,FAQ,1150,1650,1375,22 Aug 2018
116,Fazilka,Abohar,Onion,Onion,FAQ,1200,1700,1450,17 Aug 2018
117,Fazilka,Abohar,Onion,Onion,FAQ,1200,1900,1500,22 Jun 2018
118,Fazilka,Abohar,Onion,Onion,FAQ,1250,1700,1475,08 Aug 2018
119,Fazilka,Abohar,Onion,Onion,FAQ,1250,1750,1675,06 Aug 2018
120,Fazilka,Abohar,Onion,Onion,FAQ,1500,1950,1800,15 Sep 2017
121,Fazilka,Abohar,Onion,Onion,FAQ,1800,2300,2150,19 Feb 2018
122,Fazilka,Abohar,Onion,Onion,FAQ,1800,2500,2200,05 Feb 2018
123,Fazilka,Abohar,Onion,Onion,FAQ,2200,2650,2500,30 Oct 2017
124,Fazilka,Abohar,Onion,Onion,FAQ,2500,3200,3000,31 Jan 2018
125,Fazilka,Abohar,Onion,Onion,FAQ,2850,3200,3050,03 Jan 2018
126,Fazilka,Abohar,Onion,Onion,FAQ,3200,3500,3350,24 Jan 2018
127,Fazilka,Abohar,Onion,Onion,FAQ,3500,4000,3650,10 Jan 2018
128,Jalandhar,Adampur,Onion,Other,FAQ,800,900,900,31 May 2018
129,Jalandhar,Adampur,Onion,Other,FAQ,900,1000,1000,24 Mar 2018
130,Jalandhar,Adampur,Onion,Other,FAQ,1000,1100,1100,14 Apr 2018
131,Jalandhar,Adampur,Onion,Other,FAQ,1000,1200,1200,14 Jun 2018
132,Jalandhar,Adampur,Onion,Other,FAQ,1000,1200,1200,18 Jun 2018
133,Jalandhar,Adampur,Onion,Other,FAQ,1300,1400,1400,22 Aug 2018
134,Jalandhar,Adampur,Onion,Other,FAQ,1400,1600,1600,02 Aug 2018
135,Jalandhar,Adampur,Onion,Other,FAQ,1400,1600,1600,06 Aug 2018
136,Jalandhar,Adampur,Onion,Other,FAQ,1500,1700,1700,28 Jul 2018
137,Jalandhar,Adampur,Onion,Other,FAQ,1600,1700,1700,09 Mar 2018
138,Jalandhar,Adampur,Onion,Other,FAQ,1700,2200,2200,07 Sep 2017
139,Jalandhar,Adampur,Onion,Other,FAQ,1800,2000,2000,26 Sep 2017
140,Jalandhar,Adampur,Onion,Other,FAQ,2000,2200,2200,17 Feb 2018
141,Jalandhar,Adampur,Onion,Other,FAQ,2000,2200,2200,27 Feb 2018
142,Jalandhar,Adampur,Onion,Other,FAQ,2300,2600,2600,12 Oct 2017
143,Jalandhar,Adampur,Onion,Other,FAQ,2300,3000,3000,07 Feb 2018
144,Jalandhar,Adampur,Onion,Other,FAQ,2500,2600,2600,18 Oct 2017
145,Jalandhar,Adampur,Onion,Other,FAQ,2500,3000,3000,04 Nov 2017
146,Jalandhar,Adampur,Onion,Other,FAQ,2800,3000,3000,30 Jan 2018
147,Jalandhar,Adampur,Onion,Other,FAQ,3000,3200,3200,04 Jan 2018
148,Amritsar,Ajnala,Onion,Red,FAQ,700,800,800,19 May 2018
149,Amritsar,Ajnala,Onion,Red,FAQ,700,1000,800,31 May 2018
