0,1,2,3,4,5,6,7,8,9
1,Alipurduar,Alipurduar,Onion,Other,FAQ,4400,4600,4500,05 Dec 2024
2,Alipurduar,Alipurduar,Onion,Other,FAQ,4400,4800,4600,04 Dec 2024
3,Alipurduar,Alipurduar,Onion,Other,FAQ,4500,4700,4600,06 Dec 2024
4,Paschim Bardhaman,Asansol,Onion,Nasik,FAQ,4000,4250,4200,04 Dec 2024
5,Paschim Bardhaman,Asansol,Onion,Nasik,FAQ,4200,4400,4300,05 Dec 2024
6,Paschim Bardhaman,Asansol,Onion,Nasik,FAQ,4200,4400,4300,06 Dec 2024
7,Puruliya,Balarampur,Onion,Other,FAQ,4000,4500,4200,06 Dec 2024
8,Puruliya,Balarampur,Onion,Other,FAQ,4500,5000,4800,05 Dec 2024
9,Dakshin Dinajpur,Balurghat,Onion,1st Sort,FAQ,4400,4600,4500,06 Dec 2024
10,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4200,4700,4500,06 Dec 2024
11,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4200,4700,4500,07 Dec 2024
12,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4200,4800,4500,04 Dec 2024
13,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4200,4800,4500,05 Dec 2024
14,Kolkata,Bara Bazar (Posta Bazar),Onion,Nasik,FAQ,4750,5000,4850,05 Dec 2024
15,Kolkata,Bara Bazar (Posta Bazar),Onion,Nasik,FAQ,4750,5000,4900,04 Dec 2024
16,North 24 Parganas,Barasat,Onion,Other,FAQ,4700,4700,4700,04 Dec 2024
17,North 24 Parganas,Barasat,Onion,Other,FAQ,4700,4700,4700,05 Dec 2024
18,North 24 Parganas,Barasat,Onion,Other,FAQ,4700,4700,4700,06 Dec 2024
19,North 24 Parganas,Barasat,Onion,Other,FAQ,4700,4700,4700,07 Dec 2024
20,North 24 Parganas,Barasat,Onion,Other,FAQ,4700,4700,4700,08 Dec 2024
21,Sounth 24 Parganas,Baruipur(Canning),Onion,Other,FAQ,4100,4300,4200,04 Dec 2024
22,Sounth 24 Parganas,Baruipur(Canning),Onion,Other,FAQ,4100,4300,4200,05 Dec 2024
23,Sounth 24 Parganas,Baruipur(Canning),Onion,Other,FAQ,4400,4500,4450,06 Dec 2024
24,Sounth 24 Parganas,Baruipur(Canning),Onion,Other,FAQ,4400,4500,4450,07 Dec 2024
25,Jalpaiguri,Belacoba,Onion,Other,FAQ,4400,4600,4500,04 Dec 2024
26,Jalpaiguri,Belacoba,Onion,Other,FAQ,4400,4600,4500,05 Dec 2024
27,Jalpaiguri,Belacoba,Onion,Other,FAQ,4400,4600,4500,06 Dec 2024
28,Nadia,Bethuadahari,Onion,Dry F.A.Q.,FAQ,4600,4800,4700,04 Dec 2024
29,Birbhum,Birbhum,Onion,Other,FAQ,4100,4300,4200,06 Dec 2024
30,Birbhum,Birbhum,Onion,Other,FAQ,4100,4300,4200,07 Dec 2024
31,Birbhum,Birbhum,Onion,Other,FAQ,4100,4300,4200,08 Dec 2024
32,Birbhum,Birbhum,Onion,Other,FAQ,4200,4400,4300,04 Dec 2024
33,Birbhum,Birbhum,Onion,Other,FAQ,4200,4400,4300,05 Dec 2024
34,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,2800,4000,3800,05 Dec 2024
35,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,2800,4000,3800,06 Dec 2024
36,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,2800,4000,3800,07 Dec 2024
37,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,2800,4000,3800,08 Dec 2024
38,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,2800,4200,4000,04 Dec 2024
39,Birbhum,Bolpur,Onion,Onion,FAQ,4200,4400,4300,04 Dec 2024
40,Birbhum,Bolpur,Onion,Onion,FAQ,4200,4400,4300,05 Dec 2024
41,Birbhum,Bolpur,Onion,Onion,FAQ,4200,4400,4300,06 Dec 2024
42,Birbhum,Bolpur,Onion,Onion,FAQ,4200,4400,4300,07 Dec 2024
43,Purba Bardhaman,Burdwan,Onion,Nasik,FAQ,3700,4000,3800,05 Dec 2024
44,Purba Bardhaman,Burdwan,Onion,Nasik,FAQ,3700,4200,4000,04 Dec 2024
45,Purba Bardhaman,Burdwan,Onion,Nasik,FAQ,3700,4200,4000,07 Dec 2024
46,Purba Bardhaman,Burdwan,Onion,Nasik,FAQ,3800,4200,4000,06 Dec 2024
47,Nadia,Chakdah,Onion,Other,FAQ,4200,4350,4300,04 Dec 2024
48,Nadia,Chakdah,Onion,Other,FAQ,4200,4350,4300,05 Dec 2024
49,Nadia,Chakdah,Onion,Other,FAQ,4200,4350,4300,07 Dec 2024
50,Hooghly,Champadanga,Onion,Nasik,FAQ,3600,4000,3900,05 Dec 2024
51,Hooghly,Champadanga,Onion,Nasik,FAQ,3600,4000,3900,06 Dec 2024
52,Hooghly,Champadanga,Onion,Nasik,FAQ,3800,4200,4000,04 Dec 2024
53,Coochbehar,Coochbehar,Onion,Other,FAQ,4200,4500,4400,04 Dec 2024
54,Coochbehar,Coochbehar,Onion,Other,FAQ,4200,4500,4400,05 Dec 2024
55,Coochbehar,Coochbehar,Onion,Other,FAQ,4200,4500,4400,06 Dec 2024
56,Darjeeling,Darjeeling,Onion,Other,FAQ,4400,4600,4500,04 Dec 2024
57,Darjeeling,Darjeeling,Onion,Other,FAQ,4400,4600,4500,05 Dec 2024
58,Darjeeling,Darjeeling,Onion,Other,FAQ,4400,4600,4500,06 Dec 2024
59,Darjeeling,Darjeeling,Onion,Other,FAQ,4400,4600,4500,07 Dec 2024
60,Darjeeling,Darjeeling,Onion,Other,FAQ,4400,4600,4500,08 Dec 2024
61,Jalpaiguri,Dhupguri,Onion,Other,FAQ,4400,4600,4500,04 Dec 2024
62,Jalpaiguri,Dhupguri,Onion,Other,FAQ,4400,4600,4500,05 Dec 2024
63,Jalpaiguri,Dhupguri,Onion,Other,FAQ,4400,4600,4500,06 Dec 2024
64,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4100,4300,4200,04 Dec 2024
65,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4100,4300,4200,05 Dec 2024
66,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4400,4500,4450,06 Dec 2024
67,Coochbehar,Dinhata,Onion,Onion,FAQ,4200,4400,4300,04 Dec 2024
68,Coochbehar,Dinhata,Onion,Onion,FAQ,4300,4500,4400,05 Dec 2024
69,Paschim Bardhaman,Durgapur,Onion,Other,FAQ,4000,4400,4200,04 Dec 2024
70,Paschim Bardhaman,Durgapur,Onion,Other,FAQ,4200,4500,4300,06 Dec 2024
71,Paschim Bardhaman,Durgapur,Onion,Other,FAQ,4200,4550,4500,05 Dec 2024
72,Medinipur(E),Egra/contai,Onion,Onion,FAQ,4000,4400,4200,04 Dec 2024
73,Medinipur(E),Egra/contai,Onion,Onion,FAQ,4000,4400,4200,05 Dec 2024
74,Malda,English Bazar,Onion,Other,FAQ,4000,4500,4200,05 Dec 2024
75,Malda,English Bazar,Onion,Other,FAQ,4000,4500,4200,06 Dec 2024
76,Malda,English Bazar,Onion,Other,FAQ,4000,4500,4300,04 Dec 2024
77,Alipurduar,Falakata,Onion,Other,FAQ,4400,4600,4500,05 Dec 2024
78,Alipurduar,Falakata,Onion,Other,FAQ,4500,4600,4550,04 Dec 2024
79,Alipurduar,Falakata,Onion,Other,FAQ,4500,4700,4600,06 Dec 2024
80,Malda,Gajol,Onion,Other,FAQ,3900,4500,4200,04 Dec 2024
81,Malda,Gajol,Onion,Other,FAQ,4000,4500,4200,06 Dec 2024
82,Malda,Gajol,Onion,Other,FAQ,4000,4500,4200,07 Dec 2024
83,Dakshin Dinajpur,Gangarampur(Dakshin Dinajpur),Onion,1st Sort,FAQ,4500,4800,4600,04 Dec 2024
84,Dakshin Dinajpur,Gangarampur(Dakshin Dinajpur),Onion,1st Sort,FAQ,4500,4800,4600,05 Dec 2024
85,Dakshin Dinajpur,Gangarampur(Dakshin Dinajpur),Onion,1st Sort,FAQ,4500,4800,4600,06 Dec 2024
