0,1,2,3,4,5,6,7,8,9
1,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,7000,10000,8000,19 Sep 2024
2,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,8000,12000,10000,29 Aug 2024
3,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,10000,14000,12000,08 Oct 2024
4,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,10000,14000,13000,20 Aug 2024
5,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,10000,16000,12000,23 Jul 2024
6,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,80,120,100,18 Sep 2024
7,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,80,120,100,30 Oct 2024
8,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,100,140,120,12 Sep 2024
9,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,100,150,120,13 Nov 2024
10,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,100,150,120,29 Nov 2024
11,North and Middle Andaman,Mayabandar,Tomato,Tomato,FAQ,120,150,130,04 Nov 2024
