0,1,2,3,4,5,6,7,8,9
1,Nicobar,Car Nicobar,Tomato,Other,FAQ,10000,12000,11000,23 Jun 2023
2,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,13000,12000,12 Jun 2023
3,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,13000,12000,16 Jun 2023
4,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,13000,12000,19 Jun 2023
5,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,02 Jun 2023
6,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,03 Feb 2023
7,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,05 Jun 2023
8,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,06 Feb 2023
9,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,06 Jan 2023
10,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,08 May 2023
11,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,09 Jan 2023
12,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,09 Jun 2023
13,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,10 Feb 2023
14,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,12 May 2023
15,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,13 Feb 2023
16,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,13 Jan 2023
17,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,15 May 2023
18,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,17 Feb 2023
19,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,19 May 2023
20,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,20 Feb 2023
21,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,20 Jan 2023
22,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,22 May 2023
23,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,23 Jan 2023
24,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,26 May 2023
25,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,27 Jan 2023
26,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,29 May 2023
27,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,12000,30 Jan 2023
28,Nicobar,Car Nicobar,Tomato,Other,FAQ,12000,14000,13000,30 Jun 2023
