0,1,2,3,4,5,6,7,8,9
1,Nagaon,Ambagan,Tomato,Tomato,Local,2700,3200,3000,24 Oct 2024
2,Nagaon,Ambagan,Tomato,Tomato,Local,3000,3500,3500,12 Sep 2024
3,Nagaon,Ambagan,Tomato,Tomato,Local,3200,3500,3400,14 Nov 2024
4,Nagaon,Ambagan,Tomato,Tomato,Local,3500,3800,3800,26 Sep 2024
5,Nagaon,Ambagan,Tomato,Tomato,Local,3500,4200,4000,05 Sep 2024
6,Nagaon,Ambagan,Tomato,Tomato,Local,4000,4200,4200,28 Nov 2024
7,Nagaon,Ambagan,Tomato,Tomato,Local,4000,4500,4200,03 Oct 2024
8,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,2200,2300,2300,04 Nov 2024
9,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,2800,3200,3000,21 Oct 2024
10,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,3000,3200,3200,09 Sep 2024
11,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,3200,3400,3200,16 Sep 2024
12,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,3200,3400,3400,23 Sep 2024
13,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,3400,3500,3500,28 Oct 2024
14,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,4000,4200,4200,14 Oct 2024
15,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,4000,4200,4200,30 Sep 2024
16,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,4200,4500,4500,07 Oct 2024
17,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,4500,5000,4800,02 Dec 2024
18,Lakhimpur,Anand Bazar,Tomato,Tomato,Local,4700,5000,4800,25 Nov 2024
19,Lakhimpur,Baginadi,Tomato,Tomato,Local,2400,2600,2600,05 Nov 2024
20,Lakhimpur,Baginadi,Tomato,Tomato,Local,2700,3000,3000,22 Oct 2024
21,Lakhimpur,Baginadi,Tomato,Tomato,Local,2700,3000,3000,24 Sep 2024
22,Lakhimpur,Baginadi,Tomato,Tomato,Local,3000,3200,3200,17 Sep 2024
23,Lakhimpur,Baginadi,Tomato,Tomato,Local,3000,3408,3400,29 Oct 2024
24,Lakhimpur,Baginadi,Tomato,Tomato,Local,3000,3500,3500,10 Sep 2024
25,Lakhimpur,Baginadi,Tomato,Tomato,Local,3700,4000,4000,01 Oct 2024
26,Lakhimpur,Baginadi,Tomato,Tomato,Local,4300,4500,4500,15 Oct 2024
27,Lakhimpur,Baginadi,Tomato,Tomato,Local,4500,4700,4500,19 Nov 2024
28,Lakhimpur,Baginadi,Tomato,Tomato,Local,4500,5000,5000,26 Nov 2024
29,Lakhimpur,Baginadi,Tomato,Tomato,Local,4800,5000,4800,03 Dec 2024
30,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,3000,3700,3500,13 Sep 2024
31,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,3700,4000,3800,20 Sep 2024
32,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,3800,4000,4000,06 Sep 2024
33,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,4000,4000,4000,25 Oct 2024
34,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,4500,4600,4500,27 Sep 2024
35,Kokrajhar,Balajan Tiniali,Tomato,Tomato,Local,4600,5000,4800,04 Oct 2024
