0,1,2,3,4,5,6,7,8,9
1,Bilaspur,Bilaspur,Tomato,Local,Local,1800,2000,1900,21 Nov 2024
2,Bilaspur,Bilaspur,Tomato,Local,Local,2000,2200,2100,19 Nov 2024
3,Bilaspur,Bilaspur,Tomato,Local,Local,2000,2200,2100,28 Nov 2024
4,Bilaspur,Bilaspur,Tomato,Local,Local,2100,2400,2300,26 Nov 2024
5,Bilaspur,Bilaspur,Tomato,Local,Local,2200,2400,2300,14 Nov 2024
6,Bilaspur,Bilaspur,Tomato,Local,Local,2200,2400,2300,18 Nov 2024
7,Bilaspur,Bilaspur,Tomato,Local,Local,2200,2400,2300,27 Nov 2024
8,Bilaspur,Bilaspur,Tomato,Local,Local,2200,2500,2300,16 Nov 2024
9,Bilaspur,Bilaspur,Tomato,Local,Local,2500,2700,2600,02 Nov 2024
10,Bilaspur,Bilaspur,Tomato,Local,Local,2500,2700,2600,20 Nov 2024
11,Bilaspur,Bilaspur,Tomato,Local,Local,2500,2700,2600,22 Nov 2024
12,Bilaspur,Bilaspur,Tomato,Local,Local,2500,2700,2600,23 Nov 2024
13,Bilaspur,Bilaspur,Tomato,Local,Local,2500,2800,2600,25 Oct 2024
14,Bilaspur,Bilaspur,Tomato,Local,Local,2700,3000,2800,26 Oct 2024
15,Bilaspur,Bilaspur,Tomato,Local,Local,2800,3000,2900,03 Nov 2024
16,Bilaspur,Bilaspur,Tomato,Local,Local,2800,3000,2900,15 Nov 2024
17,Bilaspur,Bilaspur,Tomato,Local,Local,3000,3200,3100,17 Nov 2024
18,Bilaspur,Bilaspur,Tomato,Local,Local,3000,3200,3100,25 Nov 2024
19,Bilaspur,Bilaspur,Tomato,Local,Local,3000,3200,3100,29 Oct 2024
20,Bilaspur,Bilaspur,Tomato,Local,Local,3000,3300,3100,27 Oct 2024
21,Bilaspur,Bilaspur,Tomato,Local,Local,3200,3400,3300,24 Nov 2024
22,Bilaspur,Bilaspur,Tomato,Local,Local,3200,3400,3300,28 Oct 2024
23,Bilaspur,Bilaspur,Tomato,Local,Local,3300,3500,3400,03 Dec 2024
