0,1,2,3,4,5,6,7,8,9
1,Durg,Durg,Tomato,Local,FAQ,200,400,300,02 Feb 2019
2,Durg,Durg,Tomato,Local,FAQ,200,400,300,25 Feb 2019
3,Durg,Durg,Tomato,Local,FAQ,400,600,500,12 Mar 2019
4,Durg,Durg,Tomato,Local,FAQ,400,600,500,27 Feb 2019
5,Durg,Durg,Tomato,Local,FAQ,500,700,600,15 Jan 2019
6,Durg,Durg,Tomato,Local,FAQ,600,800,700,24 Jan 2019
7,Durg,Durg,Tomato,Local,FAQ,600,1000,800,07 Oct 2018
8,Durg,Durg,Tomato,Local,FAQ,600,1000,800,16 Mar 2019
9,Durg,Durg,Tomato,Local,FAQ,800,900,850,11 Dec 2018
10,Durg,Durg,Tomato,Local,FAQ,1000,1200,1100,28 Mar 2019
11,Durg,Durg,Tomato,Local,FAQ,1000,1400,1200,06 Dec 2018
12,Durg,Durg,Tomato,Local,FAQ,1000,1400,1200,06 Jan 2019
13,Durg,Durg,Tomato,Local,FAQ,1000,1500,1250,03 Oct 2018
14,Durg,Durg,Tomato,Local,FAQ,1500,1600,1550,04 Nov 2018
15,Durg,Durg,Tomato,Local,FAQ,1500,1700,1600,31 Oct 2018
16,Durg,Durg,Tomato,Local,FAQ,2000,2500,2250,23 Aug 2019
17,Durg,Durg,Tomato,Local,FAQ,2500,2600,2550,08 Aug 2019
18,Durg,Durg,Tomato,Local,FAQ,2500,3500,3000,20 Jul 2019
19,Durg,Durg,Tomato,Local,FAQ,2600,3000,2800,15 Jun 2019
20,Durg,Durg,Tomato,Local,FAQ,2800,3000,2900,21 May 2019
21,Durg,Durg,Tomato,Local,FAQ,3000,3500,3250,03 Aug 2019
22,Durg,Durg,Tomato,Local,FAQ,3000,4000,3500,18 Jul 2019
23,Durg,Durg,Tomato,Other,FAQ,1700,2000,1850,16 Aug 2019
24,Durg,Durg,Tomato,Other,FAQ,3000,3500,3250,09 Jul 2019
25,Raigarh,Raigarh,Tomato,Other,FAQ,300,400,300,11 Feb 2019
26,Raigarh,Raigarh,Tomato,Other,FAQ,400,500,400,19 Feb 2019
27,Raigarh,Raigarh,Tomato,Other,FAQ,500,600,500,30 Jan 2019
28,Raigarh,Raigarh,Tomato,Other,FAQ,800,900,800,12 Mar 2019
29,Raigarh,Raigarh,Tomato,Other,FAQ,900,1000,900,05 Apr 2019
30,Raigarh,Raigarh,Tomato,Other,FAQ,900,1000,900,06 Apr 2019
31,Raigarh,Raigarh,Tomato,Other,FAQ,1200,1300,1200,03 Jan 2019
32,Raigarh,Raigarh,Tomato,Other,FAQ,1400,1500,1400,26 Jun 2019
33,Raigarh,Raigarh,Tomato,Other,FAQ,1500,1600,1500,10 Jan 2019
34,Raigarh,Raigarh,Tomato,Other,FAQ,1500,1800,1500,20 Jun 2019
35,Raigarh,Raigarh,Tomato,Other,FAQ,1600,1700,1600,21 Nov 2018
36,Raigarh,Raigarh,Tomato,Other,FAQ,1600,1700,1600,28 Sep 2018
37,Raigarh,Raigarh,Tomato,Other,FAQ,1800,2000,1800,20 Sep 2018
38,Raigarh,Raigarh,Tomato,Other,FAQ,2000,2200,2000,13 Jun 2019
39,Raigarh,Raigarh,Tomato,Other,FAQ,2000,2200,2000,16 Jun 2019
40,Raigarh,Raigarh,Tomato,Other,FAQ,3000,3500,3000,11 Jul 2019
41,Raigarh,Raigarh,Tomato,Other,FAQ,3000,3500,3000,18 Jul 2019
42,Raigarh,Raigarh,Tomato,Other,FAQ,3500,4000,3500,01 Jun 2019
43,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,700,700,700,26 Sep 2018
44,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,1000,1000,1000,03 Jan 2019
45,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,1300,1300,1300,13 Sep 2018
46,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,1400,1400,1400,20 Nov 2018
47,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,1500,1500,1500,09 Aug 2019
48,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,2000,2000,2000,28 May 2019
49,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,2500,2500,2500,14 Jun 2019
50,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,3000,3000,3000,12 Jul 2019
51,Rajnandgaon,Rajnandgaon,Tomato,Local,FAQ,3000,3000,3000,21 Jul 2019
52,Bilaspur,Tiphra,Tomato,Other,FAQ,500,600,550,25 Feb 2019
53,Bilaspur,Tiphra,Tomato,Other,FAQ,500,680,600,17 Feb 2019
54,Bilaspur,Tiphra,Tomato,Other,FAQ,500,700,600,03 Mar 2019
55,Bilaspur,Tiphra,Tomato,Other,FAQ,700,800,750,14 Jan 2019
56,Durg,Durg,Tomato,Local,FAQ,200,300,250,08 Feb 2019
57,Durg,Durg,Tomato,Local,FAQ,200,400,300,05 Mar 2019
58,Durg,Durg,Tomato,Local,FAQ,200,400,300,31 Jan 2019
59,Durg,Durg,Tomato,Local,FAQ,300,500,400,05 Feb 2019
60,Durg,Durg,Tomato,Local,FAQ,400,500,450,22 Feb 2019
61,Durg,Durg,Tomato,Local,FAQ,400,500,450,26 Feb 2019
62,Durg,Durg,Tomato,Local,FAQ,400,500,450,28 Dec 2018
63,Durg,Durg,Tomato,Local,FAQ,800,1000,900,15 Mar 2019
64,Durg,Durg,Tomato,Local,FAQ,1000,1200,1100,13 Dec 2018
65,Durg,Durg,Tomato,Local,FAQ,1000,1200,1100,19 Sep 2018
66,Durg,Durg,Tomato,Local,FAQ,1000,1400,1200,05 Apr 2019
67,Durg,Durg,Tomato,Local,FAQ,1000,1400,1200,10 Jan 2019
68,Durg,Durg,Tomato,Local,FAQ,1400,1600,1500,04 May 2019
69,Durg,Durg,Tomato,Local,FAQ,1400,1600,1500,18 Apr 2019
70,Durg,Durg,Tomato,Local,FAQ,2000,2400,2200,25 May 2019
71,Durg,Durg,Tomato,Local,FAQ,2400,2600,2500,08 Jun 2019
