0,1,2,3,4,5,6,7,8,9
1,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,200,800,600,25 May 2024
2,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,200,800,600,26 May 2024
3,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,02 Jun 2024
4,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,04 Jun 2024
5,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,05 Jun 2024
6,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,06 Jun 2024
7,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,14 May 2024
8,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,15 May 2024
9,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,16 May 2024
10,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,17 May 2024
11,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,21 May 2024
12,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,22 May 2024
13,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,23 May 2024
14,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,24 May 2024
15,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,29 May 2024
16,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,30 May 2024
17,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1000,800,31 May 2024
18,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1200,1000,11 Jun 2024
19,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1200,1000,26 Jun 2024
20,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1200,1000,27 Jun 2024
21,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1400,1000,24 Sep 2023
22,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1400,1000,26 Sep 2023
23,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1400,1000,27 Sep 2023
24,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1400,1000,29 Sep 2023
25,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1400,1000,30 Sep 2023
26,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1200,13 Jun 2024
27,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1200,15 Jun 2024
28,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1200,17 Sep 2023
29,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1200,19 Sep 2023
30,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1200,22 Sep 2023
31,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1400,10 Oct 2023
32,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1400,11 Oct 2023
33,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1400,12 Oct 2023
34,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1400,13 Oct 2023
35,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1600,1400,14 Oct 2023
36,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1800,1500,18 Jun 2024
37,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1800,1600,15 Dec 2023
38,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1800,1600,16 Dec 2023
39,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,1800,1600,19 Dec 2023
40,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,01 Oct 2023
41,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,03 Oct 2023
42,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,04 Oct 2023
43,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,05 Oct 2023
44,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,06 Oct 2023
45,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,07 Oct 2023
46,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,12 Dec 2023
47,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,13 Dec 2023
48,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,13 Sep 2023
49,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,14 Dec 2023
50,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,14 Sep 2023
51,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,15 Sep 2023
52,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,17 Oct 2023
53,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,20 Oct 2023
54,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,21 Oct 2023
55,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,22 Oct 2023
56,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1600,28 Oct 2023
57,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,26 Dec 2023
58,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,27 Dec 2023
59,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,28 Dec 2023
60,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,29 Dec 2023
61,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,29 Oct 2023
62,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2000,1800,30 Dec 2023
63,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2200,1800,25 Oct 2023
64,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2200,1800,26 Oct 2023
65,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2200,1800,27 Oct 2023
66,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2200,2000,22 Dec 2023
67,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2200,2000,23 Dec 2023
68,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2400,2000,01 Nov 2023
69,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2400,2000,02 Nov 2023
70,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2400,2000,03 Nov 2023
71,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2400,2000,04 Nov 2023
72,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2400,2000,05 Nov 2023
73,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,05 Dec 2023
74,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,06 Dec 2023
75,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,07 Dec 2023
76,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,07 Nov 2023
77,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,08 Dec 2023
78,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,09 Dec 2023
79,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,10 Dec 2023
80,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,16 Nov 2023
81,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,2800,2400,31 Oct 2023
82,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,3200,2400,14 Nov 2023
83,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,3200,2800,09 Nov 2023
84,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,3200,2800,10 Nov 2023
85,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,400,3200,2800,11 Nov 2023
86,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1600,1200,07 Jun 2024
87,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1600,1200,08 Jun 2024
88,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1800,1500,20 Jun 2024
89,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1800,1500,21 Jun 2024
90,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1800,1500,22 Jun 2024
91,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1800,1600,06 Jan 2024
92,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,1800,1600,09 Jan 2024
93,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,2000,1500,25 Jun 2024
94,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,2000,1600,07 Jan 2024
95,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,2000,1600,16 Sep 2023
96,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,600,2000,1600,28 Jun 2024
97,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,1800,1600,09 Apr 2024
98,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,1800,1600,28 May 2024
99,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,06 Mar 2024
100,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,07 Mar 2024
101,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,08 Mar 2024
102,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,10 Apr 2024
103,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,10 Jan 2024
104,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,10 May 2024
105,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,11 Apr 2024
106,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,11 Jan 2024
107,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,11 May 2024
108,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,12 Apr 2024
109,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,12 Jan 2024
110,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,12 May 2024
111,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,13 Apr 2024
112,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,13 Jan 2024
113,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,14 Apr 2024
114,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,16 Jan 2024
115,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,19 Apr 2024
116,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,25 Apr 2024
117,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,1600,26 Apr 2024
118,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2000,2000,05 Sep 2023
119,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2200,2000,01 May 2024
120,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2200,2000,02 May 2024
121,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2200,2000,03 May 2024
122,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2200,2000,04 May 2024
123,Chandigarh,Chandigarh(Grain/Fruit),Tomato,Other,FAQ,800,2200,2000,05 Jan 2024
