0,1,2,3,4,5,6,7,8,9
1,Delhi,Azadpur,Tomato,Tomato,FAQ,100,400,264,05 Jun 2020
2,Delhi,Azadpur,Tomato,Tomato,FAQ,100,440,264,04 Jun 2020
3,Delhi,Azadpur,Tomato,Tomato,FAQ,100,520,304,21 May 2020
4,Delhi,Azadpur,Tomato,Tomato,FAQ,100,520,304,22 May 2020
5,Delhi,Azadpur,Tomato,Tomato,FAQ,100,520,304,23 May 2020
6,Delhi,Azadpur,Tomato,Tomato,FAQ,100,520,304,25 May 2020
7,Delhi,Azadpur,Tomato,Tomato,FAQ,120,480,304,01 Jun 2020
8,Delhi,Azadpur,Tomato,Tomato,FAQ,120,480,304,02 Jun 2020
9,Delhi,Azadpur,Tomato,Tomato,FAQ,120,480,304,03 Jun 2020
10,Delhi,Azadpur,Tomato,Tomato,FAQ,120,480,304,06 Jun 2020
11,Delhi,Azadpur,Tomato,Tomato,FAQ,120,520,320,11 Jun 2020
12,Delhi,Azadpur,Tomato,Tomato,FAQ,120,560,344,08 Jun 2020
13,Delhi,Azadpur,Tomato,Tomato,FAQ,120,560,344,09 Jun 2020
14,Delhi,Azadpur,Tomato,Tomato,FAQ,120,600,352,20 May 2020
15,Delhi,Azadpur,Tomato,Tomato,FAQ,120,600,360,10 Jun 2020
16,Delhi,Azadpur,Tomato,Tomato,FAQ,120,600,368,30 May 2020
17,Delhi,Azadpur,Tomato,Tomato,FAQ,120,640,384,29 May 2020
18,Delhi,Azadpur,Tomato,Tomato,FAQ,120,720,392,19 May 2020
19,Delhi,Azadpur,Tomato,Tomato,FAQ,120,720,400,28 May 2020
20,Delhi,Azadpur,Tomato,Tomato,FAQ,120,800,416,26 May 2020
21,Delhi,Azadpur,Tomato,Tomato,FAQ,120,800,448,27 May 2020
22,Delhi,Azadpur,Tomato,Tomato,FAQ,120,1400,589,15 Jun 2020
23,Delhi,Azadpur,Tomato,Tomato,FAQ,120,1400,594,16 Jun 2020
24,Delhi,Azadpur,Tomato,Tomato,FAQ,120,1480,634,12 Jun 2020
25,Delhi,Azadpur,Tomato,Tomato,FAQ,120,1480,634,13 Jun 2020
26,Delhi,Azadpur,Tomato,Tomato,FAQ,120,1800,789,17 Jun 2020
