0,1,2,3,4,5,6,7,8,9
1,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,400,1800,1100,24 Apr 2024
2,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,500,1300,1050,02 Apr 2024
3,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,600,1000,850,16 Sep 2023
4,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,700,1200,1050,09 Sep 2023
5,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,700,1200,1050,25 Sep 2023
6,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,700,1600,1350,01 Jan 2024
7,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,800,2200,1650,08 May 2024
8,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,1000,2500,1750,07 Jun 2024
9,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,1500,3000,2300,09 Dec 2023
10,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,2000,3000,2800,29 Jan 2024
11,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,2000,3800,3300,06 Aug 2024
12,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,2000,3800,3400,02 Aug 2024
13,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,2000,4700,3950,23 Nov 2023
14,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,2000,6000,4000,28 Jun 2024
15,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,3000,4500,3850,29 Jul 2024
16,Ahmedabad,Ahmedabad,Tomato,Other,FAQ,3500,6500,5500,09 Jul 2024
17,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,500,750,600,16 Apr 2024
18,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,600,800,700,11 Sep 2023
19,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,600,800,700,23 Sep 2023
20,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,800,1000,900,25 Oct 2023
21,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1000,1500,1250,30 Apr 2024
22,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1200,1500,1300,27 Oct 2023
23,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1250,1500,1300,01 Jun 2024
24,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1250,1500,1400,30 Oct 2023
25,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1500,1600,1550,03 Nov 2023
26,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1500,2000,1700,25 May 2024
27,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,1500,2000,1800,07 Jun 2024
28,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,2500,3000,2800,11 Nov 2023
29,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,3000,3500,3200,07 Dec 2023
30,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,3500,4000,3750,01 Jul 2024
31,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,3500,4000,3800,22 Jun 2024
32,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,3500,4000,3800,25 Nov 2023
33,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,3500,4500,3900,10 Jul 2024
34,Anand,"Anand(Veg,Yard,Anand)",Tomato,Other,FAQ,4500,5000,4750,09 Jul 2024
35,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,400,800,500,13 May 2024
36,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,700,1000,900,22 Apr 2024
37,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,800,1000,900,06 Apr 2024
38,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,800,1000,900,08 Apr 2024
39,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,1000,1500,1200,03 Jun 2024
40,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,1000,1500,1200,03 Nov 2023
41,Bharuch,Ankleshwar,Tomato,Tomato,FAQ,1000,3000,2000,23 Nov 2023
