0,1,2,3,4,5,6,7,8,9
1,Jammu,Akhnoor,Tomato,Other,FAQ,1000,1500,1250,06 Dec 2018
2,Jammu,Akhnoor,Tomato,Other,FAQ,1200,1300,1250,08 Dec 2018
3,Jammu,Akhnoor,Tomato,Other,FAQ,1200,1400,1300,10 Dec 2018
4,Jammu,Akhnoor,Tomato,Other,FAQ,1300,1500,1400,07 Dec 2018
5,Jammu,Akhnoor,Tomato,Other,FAQ,1300,1500,1400,15 Dec 2018
6,Jammu,Akhnoor,Tomato,Other,FAQ,1300,1500,1400,17 Nov 2018
7,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,01 Feb 2019
8,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,02 Jan 2019
9,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,04 Sep 2018
10,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,07 Sep 2018
11,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,09 Feb 2019
12,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,10 Sep 2018
13,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,11 Sep 2018
14,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,16 Jan 2019
15,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,16 Nov 2018
16,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,18 Jan 2019
17,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,21 Dec 2018
18,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,24 Dec 2018
19,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,24 Sep 2018
20,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,26 Dec 2018
21,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,28 Nov 2018
22,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,29 Dec 2018
23,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,29 Jan 2019
24,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,29 Nov 2018
25,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1500,1450,30 Jan 2019
26,Jammu,Akhnoor,Tomato,Other,FAQ,1400,1600,1500,03 Dec 2018
27,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,01 Aug 2019
28,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,01 Dec 2018
29,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,01 Jan 2019
30,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,01 Oct 2018
31,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,01 Sep 2018
32,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,03 Jan 2019
33,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,03 Nov 2018
34,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,04 Feb 2019
35,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,04 Oct 2018
36,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,05 Sep 2018
37,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,06 Nov 2018
38,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,06 Sep 2018
39,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,08 Feb 2019
40,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,09 Nov 2018
41,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,12 Dec 2018
42,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,12 Nov 2018
43,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,13 Nov 2018
44,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,13 Sep 2018
45,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,14 Nov 2018
46,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,15 Nov 2018
47,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,17 Jan 2019
48,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,18 Dec 2018
49,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,19 Jan 2019
50,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,19 Nov 2018
51,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,20 Dec 2018
52,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,20 Nov 2018
53,Jammu,Akhnoor,Tomato,Other,FAQ,1500,1600,1550,22 Dec 2018
