0,1,2,3,4,5,6,7,8,9
1,Garhwa,Gadhwah,Tomato,Other,FAQ,2360,2500,2450,08 Nov 2019
2,Lohardaga,Lohardaga,Tomato,Other,FAQ,800,1000,900,09 Jun 2020
3,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,05 Jun 2020
4,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,06 Jun 2020
5,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,10 Jun 2020
6,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,11 Jun 2020
7,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,12 Jun 2020
8,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,13 Jun 2020
9,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,15 Jun 2020
10,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,16 Jun 2020
11,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,17 Jun 2020
12,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,18 Jun 2020
13,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,19 Jun 2020
14,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,800,1000,900,20 Jun 2020
15,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,1000,1400,1200,08 Jun 2020
16,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,1200,1500,1300,22 Jun 2020
17,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,1300,1500,1400,24 Jun 2020
18,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,1800,2000,1900,25 Jun 2020
19,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,1800,2000,1900,26 Jun 2020
20,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,2000,2500,2200,01 Jul 2020
21,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,2000,2500,2200,29 Jun 2020
22,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,2800,3000,2900,02 Jul 2020
23,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,2800,3000,2900,03 Jul 2020
24,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,3500,4000,3800,04 Jul 2020
25,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,4500,5000,4800,10 Jul 2020
26,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,4500,5000,4800,11 Jul 2020
27,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,4500,5000,4800,21 Jul 2020
28,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,4500,5000,4800,22 Jul 2020
29,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,06 Jul 2020
30,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,08 Jul 2020
31,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,09 Jul 2020
32,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,16 Jul 2020
33,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,17 Jul 2020
34,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,20 Jul 2020
35,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5000,6000,5500,24 Jul 2020
36,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5500,6000,5800,07 Jul 2020
37,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5500,6000,5800,13 Jul 2020
38,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5500,6000,5800,14 Jul 2020
39,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5500,6000,5800,15 Jul 2020
40,Lohardaga,Lohardaga,Tomato,Tomato,FAQ,5500,6000,5800,23 Jul 2020
