0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Tomato,Tomato,FAQ,500,500,500,21 Dec 2017
2,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,185,480,335,04 Jan 2018
3,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,510,385,24 Jan 2018
4,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,225,645,540,09 Apr 2018
5,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,240,655,515,10 Apr 2018
6,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,680,540,08 May 2018
7,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,320,940,755,23 May 2018
8,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,340,580,435,29 Aug 2018
9,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,380,1020,810,19 Jun 2018
10,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,425,950,748,20 Dec 2017
11,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,500,700,600,07 Aug 2018
12,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,550,1700,1060,26 Jul 2018
13,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,600,1550,980,31 Jul 2018
14,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,650,1680,1206,11 Oct 2017
15,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,658,1680,1150,07 Oct 2017
16,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,680,1350,1054,06 Dec 2017
17,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,745,2100,1512,31 Oct 2017
18,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,785,1900,1451,21 Oct 2017
19,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,800,1980,1265,18 Jul 2018
20,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,860,2800,1685,20 Nov 2017
21,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,320,280,26 Feb 2018
22,Kolar,Bangarpet,Tomato,Tomato,FAQ,200,600,400,30 Aug 2018
23,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,400,300,27 Apr 2018
24,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,850,350,14 Dec 2017
25,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,850,530,16 Dec 2017
26,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1200,750,18 Sep 2017
27,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1500,850,31 Jul 2018
28,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1700,950,08 Sep 2017
29,Kolar,Bangarpet,Tomato,Tomato,FAQ,250,1800,950,06 Sep 2017
30,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,650,450,13 Apr 2018
31,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,950,600,21 Jun 2018
32,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,1250,750,24 Jul 2018
33,Kolar,Bangarpet,Tomato,Tomato,FAQ,300,2200,1350,30 Nov 2017
34,Kolar,Bangarpet,Tomato,Tomato,FAQ,450,2750,1550,17 Oct 2017
35,Kolar,Bangarpet,Tomato,Tomato,FAQ,450,2850,1750,14 Oct 2017
36,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2890,1850,16 Oct 2017
37,Kolar,Bangarpet,Tomato,Tomato,FAQ,500,2980,1550,06 Dec 2017
38,Kolar,Bangarpet,Tomato,Tomato,FAQ,550,3200,1580,15 Nov 2017
39,Kolar,Bangarpet,Tomato,Tomato,FAQ,550,3500,2000,10 Nov 2017
40,Hassan,Belur,Tomato,Hybrid,FAQ,1000,1000,1000,12 Apr 2018
41,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,03 Feb 2018
42,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,16 Feb 2018
43,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,20 Feb 2018
44,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,500,700,600,28 Feb 2018
45,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,24 Jan 2018
46,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,600,800,700,27 Mar 2018
47,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,700,1000,900,09 Feb 2018
48,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,800,1200,1000,03 Jul 2018
49,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1000,1500,1300,26 Apr 2018
50,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,1650,2250,2150,20 Jul 2018
51,Bangalore,"Binny Mill (F&V), Bangalore",Tomato,Tomato,FAQ,3500,5000,4000,25 Oct 2017
52,Bangalore,Channapatana,Tomato,Tomato,FAQ,200,400,300,20 Feb 2018
53,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,180,510,410,21 Feb 2018
54,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,195,485,386,28 Feb 2018
55,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,200,480,415,19 Feb 2018
56,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,210,540,415,27 Feb 2018
57,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,300,680,540,09 May 2018
58,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,1000,755,28 May 2018
59,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,350,1200,740,21 Jun 2018
60,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,400,680,520,08 Aug 2018
61,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,450,1400,955,30 Jun 2018
62,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,455,1850,1010,12 Jul 2018
63,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,480,1450,1040,28 Jun 2018
64,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,485,1850,1020,11 Jul 2018
65,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,495,1252,958,05 Sep 2017
