0,1,2,3,4,5,6,7,8,9
1,South West Garo Hills,Ampati,Tomato,Local,FAQ,1000,1500,1200,02 Mar 2024
2,South West Garo Hills,Ampati,Tomato,Local,FAQ,1000,3000,2000,23 Mar 2024
3,South West Garo Hills,Ampati,Tomato,Local,FAQ,2500,4000,3000,06 Apr 2024
4,South West Garo Hills,Ampati,Tomato,Local,FAQ,3000,4000,3500,27 Apr 2024
5,South West Garo Hills,Ampati,Tomato,Local,FAQ,3000,5000,4000,04 May 2024
6,South West Garo Hills,Ampati,Tomato,Local,FAQ,3000,5000,4000,11 May 2024
7,South West Garo Hills,Ampati,Tomato,Local,FAQ,3000,5000,4000,25 May 2024
8,South West Garo Hills,Ampati,Tomato,Local,FAQ,4000,6000,5000,15 Jun 2024
9,South West Garo Hills,Ampati,Tomato,Local,FAQ,5000,6000,5500,07 Oct 2023
10,South West Garo Hills,Ampati,Tomato,Local,FAQ,5000,7000,6000,08 Jun 2024
11,South West Garo Hills,Ampati,Tomato,Local,FAQ,6000,8000,7000,02 Sep 2023
12,South West Garo Hills,Ampati,Tomato,Local,FAQ,6000,8000,7000,09 Sep 2023
13,South West Garo Hills,Ampati,Tomato,Local,FAQ,6000,8000,7000,23 Sep 2023
14,South West Garo Hills,Ampati,Tomato,Local,FAQ,7000,8000,7500,25 Nov 2023
15,South Garo Hills,Baghmara,Tomato,Local,FAQ,6000,7000,6500,11 Jul 2024
16,South Garo Hills,Baghmara,Tomato,Local,FAQ,7000,8000,7500,14 Dec 2023
17,South Garo Hills,Baghmara,Tomato,Local,FAQ,9000,10000,9500,01 Aug 2024
18,South Garo Hills,Baghmara,Tomato,Local,FAQ,9000,10000,9500,05 Aug 2024
19,South Garo Hills,Baghmara,Tomato,Local,FAQ,9000,10000,9500,05 Oct 2023
20,South Garo Hills,Baghmara,Tomato,Local,FAQ,9000,10000,9500,12 Oct 2023
21,South Garo Hills,Baghmara,Tomato,Local,FAQ,10000,11000,10500,04 Sep 2023
22,South Garo Hills,Baghmara,Tomato,Local,FAQ,10000,11000,10500,07 Sep 2023
23,South Garo Hills,Baghmara,Tomato,Local,FAQ,10000,11000,10500,11 Sep 2023
24,South Garo Hills,Baghmara,Tomato,Local,FAQ,10000,11000,10500,14 Sep 2023
25,South Garo Hills,Baghmara,Tomato,Local,FAQ,10000,11000,10500,18 Sep 2023
26,South Garo Hills,Baghmara,Tomato,Other,FAQ,3000,4000,3500,26 Feb 2024
27,South Garo Hills,Baghmara,Tomato,Other,FAQ,4000,5000,4500,14 Mar 2024
28,South Garo Hills,Baghmara,Tomato,Other,FAQ,4000,5000,4500,25 Mar 2024
29,South Garo Hills,Baghmara,Tomato,Other,FAQ,4000,5000,4500,27 May 2024
30,South Garo Hills,Baghmara,Tomato,Other,FAQ,4000,5000,4500,29 Feb 2024
31,South Garo Hills,Baghmara,Tomato,Other,FAQ,4000,5000,4500,30 May 2024
32,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,01 Feb 2024
33,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,03 Jun 2024
34,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,05 Feb 2024
35,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,06 Jun 2024
36,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,10 Jun 2024
37,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,19 Feb 2024
38,South Garo Hills,Baghmara,Tomato,Other,FAQ,5000,6000,5500,22 Jan 2024
39,South Garo Hills,Baghmara,Tomato,Other,FAQ,6000,7000,6500,01 Jul 2024
40,South Garo Hills,Baghmara,Tomato,Other,FAQ,6000,7000,6500,20 Jun 2024
41,South Garo Hills,Baghmara,Tomato,Other,FAQ,6000,7000,6500,24 Jun 2024
42,South Garo Hills,Baghmara,Tomato,Other,FAQ,6000,7000,6500,28 Dec 2023
43,South Garo Hills,Baghmara,Tomato,Other,FAQ,7000,8000,7500,18 Dec 2023
44,West Garo Hills,Dadengiri,Tomato,Local,FAQ,2500,3000,2800,03 Apr 2024
45,West Garo Hills,Dadengiri,Tomato,Local,FAQ,2500,3000,2800,06 Mar 2024
46,West Garo Hills,Dadengiri,Tomato,Local,FAQ,2500,3000,2800,10 Apr 2024
47,West Garo Hills,Dadengiri,Tomato,Local,FAQ,2500,3000,2800,24 Apr 2024
48,West Garo Hills,Dadengiri,Tomato,Local,FAQ,2500,3000,2800,27 Mar 2024
49,West Garo Hills,Dadengiri,Tomato,Local,FAQ,3000,3500,3200,20 Mar 2024
50,South West Garo Hills,Garobadha,Tomato,Local,FAQ,5000,8000,6000,25 Jun 2024
51,South Garo Hills,Gasuapara,Tomato,Hybrid,FAQ,5000,6000,5500,01 May 2024
52,South Garo Hills,Gasuapara,Tomato,Hybrid,FAQ,5000,6000,5500,08 May 2024
53,South Garo Hills,Gasuapara,Tomato,Hybrid,FAQ,5000,6000,5500,24 Apr 2024
54,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1200,2000,1500,01 Nov 2023
55,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,2500,2000,05 Oct 2023
56,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,2500,2000,08 Nov 2023
57,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,2500,2000,10 Oct 2023
58,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,2500,2000,11 Nov 2023
59,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,2500,2000,30 Oct 2023
60,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,3000,2000,27 Sep 2023
61,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1500,3000,2000,28 Sep 2023
62,West Jaintia Hills,Jowai,Tomato,Local,FAQ,1800,2500,2000,11 Oct 2023
63,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,2500,2300,05 Jun 2024
64,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,03 Jun 2024
65,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,03 Oct 2023
66,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,04 Oct 2023
67,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,07 May 2024
68,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,07 Sep 2023
69,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,08 Jun 2024
70,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,11 Sep 2023
71,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,12 Sep 2023
72,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,14 Sep 2023
73,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,20 Sep 2023
74,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,21 Oct 2023
75,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,21 Sep 2023
76,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,25 Sep 2023
77,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,26 Oct 2023
78,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,3000,2500,28 Feb 2024
79,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2000,4000,3000,01 Aug 2024
80,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2300,3000,2500,06 Jun 2024
81,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2400,3000,2500,06 Mar 2024
82,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,02 Aug 2024
83,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,04 Jun 2024
84,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,06 Apr 2024
85,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,07 Aug 2024
86,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,08 Sep 2023
87,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,09 Aug 2024
88,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,10 Jun 2024
89,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,11 Jun 2024
90,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,13 Jun 2024
91,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,14 Jun 2024
92,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,15 May 2024
93,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,17 Jun 2024
94,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,19 Mar 2024
95,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,24 May 2024
96,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,24 Oct 2023
97,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,25 Jun 2024
98,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,25 Mar 2024
99,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,26 Apr 2024
100,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,26 Jun 2024
101,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,27 Jun 2024
102,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,27 May 2024
103,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,27 Oct 2023
104,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,28 Mar 2024
105,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,29 Apr 2024
106,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,29 May 2024
107,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,3500,3000,31 May 2024
108,West Jaintia Hills,Jowai,Tomato,Local,FAQ,2500,4000,3500,10 Aug 2024
109,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,3500,3300,21 Jun 2024
110,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,01 Apr 2024
111,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,01 Jun 2024
112,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,01 May 2024
113,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,03 May 2024
114,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,09 Feb 2024
115,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,15 Apr 2024
116,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,18 Jun 2024
117,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,18 Sep 2023
118,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,19 Jun 2024
119,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,19 Sep 2023
120,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,23 Nov 2023
121,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,24 Jun 2024
122,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,25 May 2024
123,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,29 Jul 2024
124,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,4000,3500,30 May 2024
125,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,5000,4000,15 Dec 2023
126,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3000,5000,4000,18 Dec 2023
127,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,03 Aug 2024
128,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,05 Aug 2024
129,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,06 Aug 2024
130,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,06 Jul 2024
131,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,25 Jul 2024
132,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,30 Jul 2024
133,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,4500,4000,31 Jul 2024
134,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,5000,4000,02 Jul 2024
135,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,5000,4000,08 Dec 2023
136,West Jaintia Hills,Jowai,Tomato,Local,FAQ,3500,5000,4000,24 Jul 2024
137,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,03 Jul 2024
138,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,04 Dec 2023
139,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,04 Jul 2024
140,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,09 Dec 2023
141,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,11 Dec 2023
142,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,12 Aug 2024
143,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,17 Jul 2024
144,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,22 Jul 2024
145,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,23 Jul 2024
146,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,28 Nov 2023
147,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5000,4500,30 Nov 2023
148,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,5500,5000,01 Dec 2023
149,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4000,6000,5000,09 Jul 2024
150,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4500,5500,5000,02 Dec 2023
151,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4500,5500,5000,06 Sep 2023
152,West Jaintia Hills,Jowai,Tomato,Local,FAQ,4500,5500,5000,08 Jul 2024
