0,1,2,3,4,5,6,7,8,9
1,Alirajpur,Alirajpur(F&V),Tomato,Deshi,FAQ,1300,1450,1400,19 Aug 2021
2,Alirajpur,Alirajpur(F&V),Tomato,Deshi,FAQ,1300,1500,1400,15 Aug 2021
3,Anupur,Anuppur,Tomato,Deshi,FAQ,600,700,600,03 Apr 2021
4,Anupur,Anuppur,Tomato,Deshi,FAQ,1000,1200,1200,25 Nov 2020
5,Anupur,Anuppur,Tomato,Deshi,FAQ,1200,1200,1200,06 Dec 2020
6,Anupur,Anuppur,Tomato,Deshi,FAQ,1200,1200,1200,12 Feb 2021
7,Anupur,Anuppur,Tomato,Deshi,FAQ,1200,1500,1200,11 Oct 2020
8,Anupur,Anuppur,Tomato,Deshi,FAQ,1500,1500,1500,06 Jan 2021
9,Khargone,Badwaha,Tomato,Deshi,FAQ,800,1100,1000,07 Mar 2021
10,Khargone,Badwaha,Tomato,Deshi,FAQ,800,1150,1000,04 Mar 2021
11,Khargone,Badwaha,Tomato,Deshi,FAQ,850,1150,900,08 Mar 2021
12,Khargone,Badwaha,Tomato,Deshi,FAQ,880,1190,1050,26 Mar 2021
13,Khargone,Badwaha,Tomato,Deshi,FAQ,950,1240,1000,05 Mar 2021
14,Khargone,Badwaha,Tomato,Deshi,FAQ,1050,1500,1200,30 Aug 2021
15,Khargone,Badwaha,Tomato,Deshi,FAQ,1110,1700,1200,30 Jun 2021
16,Khargone,Badwaha,Tomato,Deshi,FAQ,1150,1475,1275,25 Aug 2021
17,Khargone,Badwaha,Tomato,Deshi,FAQ,1200,1600,1400,08 Jul 2021
18,Khargone,Badwaha,Tomato,Deshi,FAQ,1475,2000,1600,23 Jun 2021
19,Khargone,Badwaha,Tomato,Deshi,FAQ,1540,1905,1850,15 Feb 2021
20,Khargone,Badwaha,Tomato,Deshi,FAQ,1560,1970,1700,29 Jul 2021
21,Betul,Betul,Tomato,Deshi,FAQ,400,500,450,23 Mar 2021
22,Betul,Betul,Tomato,Deshi,FAQ,400,600,500,03 Mar 2021
23,Betul,Betul,Tomato,Deshi,FAQ,500,700,650,28 Jan 2021
24,Betul,Betul,Tomato,Deshi,FAQ,500,700,700,10 Feb 2021
25,Betul,Betul,Tomato,Deshi,FAQ,600,800,650,17 Feb 2021
26,Betul,Betul,Tomato,Deshi,FAQ,600,800,700,29 Dec 2020
27,Betul,Betul,Tomato,Deshi,FAQ,800,2000,1200,21 Aug 2021
28,Betul,Betul,Tomato,Deshi,FAQ,1000,1850,1500,19 Jul 2021
29,Betul,Betul,Tomato,Deshi,FAQ,1550,1800,1650,12 Jul 2021
30,Betul,Betul,Tomato,Deshi,FAQ,2200,2800,2500,11 Nov 2020
31,Betul,Betul,Tomato,Deshi,FAQ,2200,2800,2500,12 Nov 2020
32,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,300,600,400,11 Mar 2021
33,Bhopal,Bhopal(F&V),Tomato,Other,FAQ,300,600,400,13 Mar 2021
