0,1,2,3,4,5,6,7,8,9
1,Lungli,Lungli,Tomato,Other,FAQ,3000,8000,7000,16 Jun 2015
2,Lungli,Lungli,Tomato,Other,FAQ,3500,5500,4000,18 May 2015
3,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,05 Jun 2015
4,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,08 Aug 2015
5,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,11 Aug 2015
6,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,22 Aug 2015
7,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,24 Aug 2015
8,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,25 Aug 2015
9,Lungli,Lungli,Tomato,Other,FAQ,4000,6000,5000,30 May 2015
10,Lungli,Lungli,Tomato,Other,FAQ,5000,6000,5500,01 Jun 2015
11,Lungli,Lungli,Tomato,Other,FAQ,5000,6000,5500,02 Jun 2015
12,Lungli,Lungli,Tomato,Other,FAQ,5000,7000,6000,04 Jun 2015
13,Lungli,Lungli,Tomato,Other,FAQ,5000,7000,6000,10 Aug 2015
14,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,03 Jun 2015
15,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,05 Aug 2015
16,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,06 Aug 2015
17,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,06 Jun 2015
18,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,07 Aug 2015
19,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,08 Jun 2015
20,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,09 Jun 2015
21,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,10 Jun 2015
22,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,11 Jun 2015
23,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,12 Aug 2015
24,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,12 Jun 2015
25,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,13 Aug 2015
26,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,13 Jun 2015
27,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,14 Aug 2015
28,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,15 Jun 2015
29,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,17 Aug 2015
30,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,17 Jun 2015
31,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,18 Aug 2015
32,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,18 Jun 2015
33,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,19 Aug 2015
34,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,19 Jun 2015
35,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,20 Aug 2015
36,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,20 Jun 2015
37,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,21 Aug 2015
38,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,22 Jun 2015
39,Lungli,Lungli,Tomato,Other,FAQ,6000,8000,7000,23 Jun 2015
40,Lungli,Lungli,Tomato,Other,FAQ,7000,8000,7500,01 Sep 2015
41,Aizawl,New Market Aizawl,Tomato,Other,FAQ,900,1200,1050,10 Jul 2015
42,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1100,1500,1300,02 Jun 2015
43,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1500,2000,1750,17 Jun 2015
44,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1700,1700,1700,21 Aug 2015
45,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2000,2100,2050,18 May 2015
