0,1,2,3,4,5,6,7,8,9
1,Fazilka,Abohar,Tomato,Tomato,FAQ,0,0,3300,06 Jul 2016
2,Fazilka,Abohar,Tomato,Tomato,FAQ,0,0,3900,02 Jul 2016
3,Fazilka,Abohar,Tomato,Tomato,FAQ,275,500,400,14 May 2016
4,Fazilka,Abohar,Tomato,Tomato,FAQ,850,1200,1050,04 Apr 2016
5,Fazilka,Abohar,Tomato,Tomato,FAQ,850,1300,1050,10 Feb 2016
6,Fazilka,Abohar,Tomato,Tomato,FAQ,850,1300,1100,11 Mar 2016
7,Fazilka,Abohar,Tomato,Tomato,FAQ,1000,1800,1600,29 Dec 2015
8,Fazilka,Abohar,Tomato,Tomato,FAQ,1050,1400,1200,29 Feb 2016
9,Fazilka,Abohar,Tomato,Tomato,FAQ,1100,2050,1450,01 Sep 2015
10,Fazilka,Abohar,Tomato,Tomato,FAQ,1150,1600,1450,13 Jun 2016
11,Fazilka,Abohar,Tomato,Tomato,FAQ,1200,1800,1450,22 Oct 2015
12,Fazilka,Abohar,Tomato,Tomato,FAQ,1350,2550,2000,24 Sep 2015
13,Fazilka,Abohar,Tomato,Tomato,FAQ,1500,2400,1800,06 Oct 2015
14,Fazilka,Abohar,Tomato,Tomato,FAQ,1500,2400,2000,09 Oct 2015
15,Fazilka,Abohar,Tomato,Tomato,FAQ,1950,2500,2175,21 Jun 2016
16,Fazilka,Abohar,Tomato,Tomato,FAQ,3300,4150,3750,13 Jul 2016
17,Jalandhar,Adampur,Tomato,Other,FAQ,600,800,600,16 May 2016
18,Jalandhar,Adampur,Tomato,Other,FAQ,1100,1200,1100,27 Apr 2016
19,Jalandhar,Adampur,Tomato,Other,FAQ,1100,1200,1200,05 May 2016
20,Jalandhar,Adampur,Tomato,Other,FAQ,1500,1600,1500,28 Jun 2016
21,Jalandhar,Adampur,Tomato,Other,FAQ,1500,1600,1600,23 Jun 2016
22,Jalandhar,Adampur,Tomato,Other,FAQ,1500,1800,1800,15 Jun 2016
23,Jalandhar,Adampur,Tomato,Other,FAQ,2000,2200,2000,05 Sep 2015
24,Jalandhar,Adampur,Tomato,Other,FAQ,2000,2200,2000,16 Oct 2015
25,Jalandhar,Adampur,Tomato,Other,FAQ,2000,2200,2000,27 Oct 2015
26,Jalandhar,Adampur,Tomato,Other,FAQ,2000,2200,2200,20 Oct 2015
27,Jalandhar,Adampur,Tomato,Other,FAQ,2000,2500,2000,01 Jul 2016
28,Jalandhar,Adampur,Tomato,Other,FAQ,2500,3000,3000,03 Aug 2016
29,Amritsar,Ajnala,Tomato,Other,FAQ,400,500,500,23 May 2016
30,Amritsar,Ajnala,Tomato,Other,FAQ,400,600,500,17 May 2016
