0,1,2,3,4,5,6,7,8,9
1,Sirohi,Abu Road,Tomato,Other,FAQ,375,425,400,21 Apr 2019
2,Sirohi,Abu Road,Tomato,Other,FAQ,975,1025,1000,27 Apr 2019
3,Sirohi,Abu Road,Tomato,Other,FAQ,1475,1525,1500,31 Aug 2019
4,Sirohi,Abu Road,Tomato,Other,FAQ,1775,1825,1800,13 May 2019
5,Sirohi,Abu Road,Tomato,Other,FAQ,1775,1825,1800,16 Jun 2019
6,Sirohi,Abu Road,Tomato,Other,FAQ,1775,1825,1800,26 May 2019
7,Sirohi,Abu Road,Tomato,Other,FAQ,1975,2025,2000,06 Jul 2019
8,Sirohi,Abu Road,Tomato,Other,FAQ,1975,2025,2000,19 Aug 2019
9,Sirohi,Abu Road,Tomato,Other,FAQ,2475,2525,2500,12 Aug 2019
10,Sirohi,Abu Road,Tomato,Other,FAQ,2475,2525,2500,18 Aug 2019
11,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,700,550,01 Feb 2019
12,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,400,900,650,30 Jan 2019
13,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1000,800,26 Feb 2019
14,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,500,1200,850,27 Apr 2019
15,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1000,800,29 Dec 2018
16,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1200,1000,07 Jan 2019
17,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1400,1000,04 Jun 2019
18,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,600,1400,1000,26 Jun 2019
19,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1200,950,24 May 2019
20,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1300,1000,07 Oct 2018
21,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1300,1000,27 May 2019
22,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1400,1050,29 May 2019
23,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1400,1200,02 Jun 2019
24,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1400,1200,06 Sep 2018
25,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,700,1600,1400,12 Sep 2018
26,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,800,1500,1300,16 Oct 2018
27,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,900,2600,1800,14 Jul 2019
28,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1000,2500,1800,13 Jul 2019
29,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1800,4000,2900,06 Aug 2019
30,Alwar,Alwar (F&V),Tomato,Other,FAQ,1000,1200,1100,07 Feb 2019
31,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1400,1300,24 Feb 2019
32,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1500,1350,12 Sep 2018
33,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1600,1400,10 Dec 2018
34,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1600,1400,13 Sep 2018
35,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1600,1400,19 Sep 2018
36,Alwar,Alwar (F&V),Tomato,Other,FAQ,1200,1600,1400,30 Sep 2018
37,Alwar,Alwar (F&V),Tomato,Other,FAQ,1400,1800,1600,10 Jul 2019
38,Alwar,Alwar (F&V),Tomato,Other,FAQ,1400,1800,1600,27 Jun 2019
39,Alwar,Alwar (F&V),Tomato,Other,FAQ,1600,2100,1850,26 Oct 2018
40,Alwar,Alwar (F&V),Tomato,Other,FAQ,1600,2400,2000,25 Mar 2019
41,Alwar,Alwar (F&V),Tomato,Other,FAQ,1600,2400,2000,30 Mar 2019
42,Alwar,Alwar (F&V),Tomato,Other,FAQ,1700,2400,2050,09 Mar 2019
43,Alwar,Alwar (F&V),Tomato,Other,FAQ,1800,2400,2100,13 Jul 2019
44,Alwar,Alwar (F&V),Tomato,Other,FAQ,2000,2400,2200,08 May 2019
45,Alwar,Alwar (F&V),Tomato,Other,FAQ,2000,2800,2400,23 Mar 2019
46,Bharatpur,Bayana,Tomato,Other,FAQ,500,500,500,07 Dec 2018
47,Bharatpur,Bayana,Tomato,Other,FAQ,500,500,500,27 Dec 2018
48,Bharatpur,Bayana,Tomato,Other,FAQ,600,700,700,10 Jan 2019
49,Bharatpur,Bayana,Tomato,Other,FAQ,600,1000,900,25 Feb 2019
50,Bharatpur,Bayana,Tomato,Other,FAQ,700,1000,800,06 Feb 2019
51,Bharatpur,Bayana,Tomato,Other,FAQ,700,1000,800,09 Feb 2019
