0,1,2,3,4,5,6,7,8,9
1,Sirohi,Abu Road,Tomato,Other,FAQ,1975,2025,2000,04 Dec 2024
2,Sirohi,Abu Road,Tomato,Other,FAQ,1975,2025,2000,05 Dec 2024
3,Sirohi,Abu Road,Tomato,Other,FAQ,1975,2025,2000,06 Dec 2024
4,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,1800,3400,2600,06 Dec 2024
5,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2000,3600,2800,05 Dec 2024
6,Ajmer,Ajmer(F&V),Tomato,Other,FAQ,2200,3400,3000,04 Dec 2024
7,Alwar,Alwar (F&V),Tomato,Other,FAQ,3400,4600,4000,04 Dec 2024
8,Alwar,Alwar (F&V),Tomato,Other,FAQ,3400,4800,4000,05 Dec 2024
9,Balotra,Balotra,Tomato,Deshi,FAQ,3400,3450,3425,06 Dec 2024
10,Balotra,Balotra,Tomato,Deshi,FAQ,3400,3500,3450,04 Dec 2024
11,Balotra,Balotra,Tomato,Deshi,FAQ,3400,3500,3450,07 Dec 2024
12,Balotra,Balotra,Tomato,Deshi,FAQ,3400,3500,3480,05 Dec 2024
13,Baran,Baran,Tomato,Other,FAQ,1000,1600,1400,08 Dec 2024
14,Baran,Baran,Tomato,Other,FAQ,1000,1700,1500,07 Dec 2024
15,Baran,Baran,Tomato,Other,FAQ,1000,1800,1500,05 Dec 2024
16,Baran,Baran,Tomato,Other,FAQ,1000,1800,1500,06 Dec 2024
17,Jaipur Rural,Bassi,Tomato,Other,FAQ,2800,3000,2900,07 Dec 2024
18,Jaipur Rural,Bassi,Tomato,Other,FAQ,3200,3600,3400,06 Dec 2024
19,Jaipur Rural,Bassi,Tomato,Other,FAQ,3400,3600,3500,04 Dec 2024
20,Jaipur Rural,Bassi,Tomato,Other,FAQ,3600,3800,3700,05 Dec 2024
21,Hanumangarh,Bhadara,Tomato,Deshi,FAQ,3500,4200,3700,05 Dec 2024
22,Hanumangarh,Bhadara,Tomato,Deshi,FAQ,3500,4500,4286,06 Dec 2024
23,Bhilwara,Bhilwara,Tomato,Other,FAQ,3000,3500,3250,04 Dec 2024
24,Bhilwara,Bhilwara,Tomato,Other,FAQ,3000,3500,3250,05 Dec 2024
25,Jalore,Bhinmal,Tomato,Other,FAQ,1500,1600,1550,05 Dec 2024
26,Jalore,Bhinmal,Tomato,Other,FAQ,1600,1800,1700,04 Dec 2024
27,Jalore,Bhinmal,Tomato,Other,FAQ,1600,1900,1750,07 Dec 2024
28,Jalore,Bhinmal,Tomato,Other,FAQ,1700,1800,1750,06 Dec 2024
29,Bikaner,Bikaner (F&V),Tomato,Other,FAQ,3100,3300,3200,06 Dec 2024
