0,1,2,3,4,5,6,7,8,9
1,Adilabad,Adilabad(Rythu Bazar),Tomato,Hybrid,Large,3000,3000,3000,25 Jun 2015
2,Adilabad,Adilabad(Rythu Bazar),Tomato,Local,Large,2800,2800,2800,01 Jul 2015
3,Adilabad,Adilabad(Rythu Bazar),Tomato,Tomato,Large,2500,2500,2500,31 Jul 2015
4,Adilabad,Adilabad(Rythu Bazar),Tomato,Tomato,Large,2800,2800,2800,05 Jul 2015
5,Hyderabad,Bowenpally,Tomato,Tomato,Medium,200,400,300,04 Mar 2015
6,Hyderabad,Bowenpally,Tomato,Tomato,Medium,200,800,600,10 Oct 2014
7,Hyderabad,Bowenpally,Tomato,Tomato,Medium,200,800,600,17 Apr 2015
8,Hyderabad,Bowenpally,Tomato,Tomato,Medium,300,600,500,09 Feb 2015
9,Hyderabad,Bowenpally,Tomato,Tomato,Medium,300,600,500,30 Sep 2014
10,Hyderabad,Bowenpally,Tomato,Tomato,Medium,300,800,600,06 Jan 2015
11,Hyderabad,Bowenpally,Tomato,Tomato,Medium,300,1400,1000,19 Nov 2014
12,Hyderabad,Bowenpally,Tomato,Tomato,Medium,400,1000,800,17 Jan 2015
13,Hyderabad,Bowenpally,Tomato,Tomato,Medium,800,2600,2000,07 Jul 2015
14,Hyderabad,Bowenpally,Tomato,Tomato,Medium,800,2600,2000,19 Jul 2015
15,Hyderabad,Bowenpally,Tomato,Tomato,Medium,1000,2400,1800,22 Jun 2015
16,Ranga Reddy,Chevella,Tomato,Local,Large,500,500,500,08 Jan 2015
17,Ranga Reddy,Chevella,Tomato,Local,Large,1000,1000,1000,17 Dec 2014
18,Ranga Reddy,Chevella,Tomato,Local,Medium,200,200,200,30 Mar 2015
19,Ranga Reddy,Chevella,Tomato,Local,Medium,300,300,300,14 Apr 2015
20,Ranga Reddy,Chevella,Tomato,Local,Medium,320,320,320,10 Apr 2015
21,Ranga Reddy,Chevella,Tomato,Local,Medium,400,400,400,27 Apr 2015
22,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,04 Oct 2014
23,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,08 Feb 2015
24,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,13 Oct 2014
25,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,19 Feb 2015
26,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,27 May 2015
27,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,29 Jan 2015
28,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,30 Aug 2015
29,Ranga Reddy,Chevella,Tomato,Local,Medium,500,500,500,31 Jan 2015
30,Ranga Reddy,Chevella,Tomato,Local,Medium,800,800,800,21 Jun 2015
31,Ranga Reddy,Chevella,Tomato,Local,Medium,1000,1000,1000,20 Nov 2014
