0,1,2,3,4,5,6,7,8,9
1,South District,Barpathari,Tomato,Other,FAQ,4500,5000,4750,07 Oct 2019
2,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,19 Apr 2020
3,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,20 Apr 2020
4,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,21 Apr 2020
5,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,22 Apr 2020
6,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,24 Apr 2020
7,South District,Barpathari,Tomato,Tomato,FAQ,1200,1400,1300,26 Apr 2020
8,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,10 Apr 2020
9,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,11 Apr 2020
10,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,12 Apr 2020
11,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,13 Apr 2020
12,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,14 Apr 2020
13,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,15 Apr 2020
14,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,16 Apr 2020
15,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,17 Apr 2020
16,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,18 Apr 2020
17,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,23 Apr 2020
18,South District,Barpathari,Tomato,Tomato,FAQ,1500,1700,1600,06 Mar 2020
19,South District,Barpathari,Tomato,Tomato,FAQ,1600,1800,1700,02 Apr 2020
20,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,01 Apr 2020
21,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,02 Mar 2020
22,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,05 Apr 2020
23,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,06 Apr 2020
24,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,07 Apr 2020
25,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,08 Apr 2020
26,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,09 Apr 2020
27,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,09 Mar 2020
28,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,13 Mar 2020
29,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,16 Mar 2020
30,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,23 Mar 2020
31,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,28 Feb 2020
32,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,30 Mar 2020
33,South District,Barpathari,Tomato,Tomato,FAQ,1800,2000,1900,31 Mar 2020
34,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,02 May 2020
35,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,03 Apr 2020
36,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,27 Apr 2020
37,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,27 Mar 2020
38,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,28 Apr 2020
39,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,29 Apr 2020
40,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,30 Apr 2020
41,South District,Barpathari,Tomato,Tomato,FAQ,2100,2300,2200,04 Apr 2020
42,South District,Barpathari,Tomato,Tomato,FAQ,2300,2500,2400,03 May 2020
43,South District,Barpathari,Tomato,Tomato,FAQ,2300,2500,2400,05 May 2020
44,South District,Barpathari,Tomato,Tomato,FAQ,2300,2500,2400,06 May 2020
45,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,01 May 2020
46,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,04 May 2020
47,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,07 May 2020
48,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,08 May 2020
49,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,09 May 2020
