0,1,2,3,4,5,6,7,8,9
1,South District,Barpathari,Tomato,Tomato,FAQ,5900,6100,6000,06 Dec 2024
2,Sepahijala,Bishalgarh,Tomato,Hybrid,FAQ,6500,7000,6800,04 Dec 2024
3,Sepahijala,Bishalgarh,Tomato,Hybrid,FAQ,6500,7000,6800,05 Dec 2024
4,Sepahijala,Bishalgarh,Tomato,Hybrid,FAQ,6500,7000,6800,06 Dec 2024
5,Sepahijala,Bishalgarh,Tomato,Hybrid,FAQ,6500,7000,6800,07 Dec 2024
6,Sepahijala,Bishramganj,Tomato,Hybrid,FAQ,6500,7000,6800,04 Dec 2024
7,Sepahijala,Bishramganj,Tomato,Hybrid,FAQ,6500,7000,6800,05 Dec 2024
8,Sepahijala,Boxonagar,Tomato,Hybrid,FAQ,5200,6000,5500,08 Dec 2024
9,Sepahijala,Boxonagar,Tomato,Hybrid,FAQ,5500,6000,5800,04 Dec 2024
10,Sepahijala,Boxonagar,Tomato,Hybrid,FAQ,5500,6000,5800,05 Dec 2024
11,Sepahijala,Boxonagar,Tomato,Hybrid,FAQ,5500,6000,5800,06 Dec 2024
12,North Tripura,Dasda,Tomato,Hybrid,FAQ,4000,5000,4500,06 Dec 2024
13,Dhalai,Gandacharra,Tomato,Hybrid,FAQ,7200,7500,7300,08 Dec 2024
14,Dhalai,Gandacharra,Tomato,Hybrid,FAQ,7500,7700,7600,06 Dec 2024
15,Gomati,Garjee,Tomato,Hybrid,FAQ,6000,6500,6400,04 Dec 2024
16,Gomati,Garjee,Tomato,Hybrid,FAQ,6000,6500,6400,06 Dec 2024
17,North Tripura,Kadamtala,Tomato,Tomato,FAQ,4700,6000,5350,04 Dec 2024
18,North Tripura,Kadamtala,Tomato,Tomato,FAQ,4800,5000,4900,05 Dec 2024
19,North Tripura,Kadamtala,Tomato,Tomato,FAQ,4800,5000,4900,06 Dec 2024
20,North Tripura,Kadamtala,Tomato,Tomato,FAQ,4800,5000,4900,07 Dec 2024
21,Khowai,Kalyanpur,Tomato,Hybrid,FAQ,5000,5200,5100,05 Dec 2024
22,Khowai,Kalyanpur,Tomato,Hybrid,FAQ,6000,6200,6100,06 Dec 2024
23,Khowai,Kalyanpur,Tomato,Hybrid,FAQ,6500,6700,6600,07 Dec 2024
24,North Tripura,Kanchanpur,Tomato,Hybrid,FAQ,5000,5500,5250,08 Dec 2024
25,North Tripura,Kanchanpur,Tomato,Hybrid,FAQ,5000,6000,5500,04 Dec 2024
26,North Tripura,Kanchanpur,Tomato,Hybrid,FAQ,6000,6500,6250,05 Dec 2024
27,North Tripura,Kanchanpur,Tomato,Hybrid,FAQ,6000,6500,6250,06 Dec 2024
28,North Tripura,Kanchanpur,Tomato,Hybrid,FAQ,6000,6500,6250,07 Dec 2024
29,Dhalai,Kulai,Tomato,Deshi,FAQ,8000,9000,8500,04 Dec 2024
30,Dhalai,Kulai,Tomato,Deshi,FAQ,9500,10000,9800,07 Dec 2024
31,Gomati,Nutanbazar,Tomato,Hybrid,FAQ,7850,8000,7950,04 Dec 2024
32,Gomati,Nutanbazar,Tomato,Hybrid,FAQ,7850,8000,7950,05 Dec 2024
33,Gomati,Nutanbazar,Tomato,Hybrid,FAQ,7850,8000,7950,06 Dec 2024
34,Gomati,Nutanbazar,Tomato,Hybrid,FAQ,7850,8000,7950,07 Dec 2024
35,Gomati,Nutanbazar,Tomato,Hybrid,FAQ,7850,8000,7950,08 Dec 2024
36,Unokoti,Pabiacherra,Tomato,Hybrid,FAQ,3900,4100,4000,07 Dec 2024
37,Unokoti,Pabiacherra,Tomato,Hybrid,FAQ,6300,6500,6400,05 Dec 2024
38,Unokoti,Pabiacherra,Tomato,Hybrid,FAQ,6400,6600,6500,04 Dec 2024
39,Unokoti,Pabiacherra,Tomato,Hybrid,FAQ,6400,6600,6500,06 Dec 2024
40,Unokoti,Panichowki,Tomato,Deshi,FAQ,4800,5000,4900,05 Dec 2024
41,North Tripura,Panisagar,Tomato,Tomato,FAQ,4700,6000,5350,04 Dec 2024
42,North Tripura,Panisagar,Tomato,Tomato,FAQ,4800,5000,4900,05 Dec 2024
43,North Tripura,Panisagar,Tomato,Tomato,FAQ,4800,5000,4900,06 Dec 2024
44,North Tripura,Panisagar,Tomato,Tomato,FAQ,4800,5000,4900,07 Dec 2024
45,South District,Santir Bazar,Tomato,Tomato,FAQ,6500,7500,7000,05 Dec 2024
46,Gomati,Silachhari,Tomato,Hybrid,FAQ,6000,6500,6300,05 Dec 2024
47,Gomati,Silachhari,Tomato,Hybrid,FAQ,7500,8000,7800,04 Dec 2024
48,Sepahijala,Sonamura,Tomato,Hybrid,FAQ,5200,5800,5500,06 Dec 2024
49,Sepahijala,Sonamura,Tomato,Hybrid,FAQ,5300,5800,5500,07 Dec 2024
50,Sepahijala,Sonamura,Tomato,Hybrid,FAQ,5500,6000,5800,04 Dec 2024
51,Sepahijala,Sonamura,Tomato,Hybrid,FAQ,5500,6000,5800,08 Dec 2024
52,Khowai,Teliamura,Tomato,Hybrid,FAQ,5000,5300,5200,06 Dec 2024
