0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Tomato,Hybrid,FAQ,550,650,600,16 Feb 2023
2,Auraiya,Achalda,Tomato,Hybrid,FAQ,600,800,700,11 Jan 2023
3,Auraiya,Achalda,Tomato,Hybrid,FAQ,650,750,700,03 Feb 2023
4,Auraiya,Achalda,Tomato,Hybrid,FAQ,700,900,800,27 May 2023
5,Auraiya,Achalda,Tomato,Hybrid,FAQ,750,950,850,22 May 2023
6,Auraiya,Achalda,Tomato,Hybrid,FAQ,810,1010,910,07 Jun 2023
7,Auraiya,Achalda,Tomato,Hybrid,FAQ,850,950,900,18 Apr 2023
8,Auraiya,Achalda,Tomato,Hybrid,FAQ,850,950,900,23 Dec 2022
9,Auraiya,Achalda,Tomato,Hybrid,FAQ,850,1000,900,10 Jun 2023
10,Auraiya,Achalda,Tomato,Hybrid,FAQ,900,1000,920,08 Jun 2023
11,Auraiya,Achalda,Tomato,Hybrid,FAQ,1000,1100,1020,07 Apr 2023
12,Auraiya,Achalda,Tomato,Hybrid,FAQ,1100,1250,1200,14 Dec 2022
13,Auraiya,Achalda,Tomato,Hybrid,FAQ,2200,2300,2250,08 Sep 2022
14,Auraiya,Achalda,Tomato,Hybrid,FAQ,2200,2400,2300,10 Oct 2022
15,Auraiya,Achalda,Tomato,Hybrid,FAQ,3000,3300,3200,28 Aug 2023
16,Agra,Achnera,Tomato,Deshi,FAQ,7300,7400,7350,15 Jul 2023
17,Agra,Achnera,Tomato,Deshi,FAQ,7400,7500,7450,22 Jul 2023
18,Agra,Agra,Tomato,Hybrid,FAQ,600,900,760,05 May 2023
19,Agra,Agra,Tomato,Hybrid,FAQ,750,950,850,22 Feb 2023
20,Agra,Agra,Tomato,Hybrid,FAQ,800,1100,950,29 Mar 2023
21,Agra,Agra,Tomato,Hybrid,FAQ,1000,1200,1100,13 Apr 2023
22,Agra,Agra,Tomato,Hybrid,FAQ,1050,1250,1140,24 Dec 2022
23,Agra,Agra,Tomato,Hybrid,FAQ,1150,1450,1300,17 Dec 2022
24,Agra,Agra,Tomato,Hybrid,FAQ,1300,1600,1420,22 Jun 2023
25,Agra,Agra,Tomato,Hybrid,FAQ,1950,2150,2050,07 Oct 2022
26,Agra,Agra,Tomato,Hybrid,FAQ,2100,2400,2250,09 Nov 2022
27,Agra,Agra,Tomato,Hybrid,FAQ,2200,2600,2450,31 Aug 2023
28,Agra,Agra,Tomato,Hybrid,FAQ,4000,4700,4400,19 Aug 2023
29,Agra,Agra,Tomato,Hybrid,FAQ,5400,5700,5550,04 Jul 2023
30,Agra,Agra,Tomato,Hybrid,FAQ,7400,7800,7500,23 Jul 2023
31,Agra,Agra,Tomato,Hybrid,FAQ,7400,7800,7600,20 Jul 2023
32,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,450,650,550,23 Jan 2023
33,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,560,750,660,27 Dec 2022
34,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,600,800,700,23 Dec 2022
35,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,600,820,710,18 May 2023
36,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,650,850,750,02 Jun 2023
37,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,650,850,750,22 May 2023
38,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,680,880,780,01 Apr 2023
39,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,800,1000,900,12 Dec 2022
40,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,850,1080,960,08 Jun 2023
41,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,1450,1650,1550,19 Nov 2022
42,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,1450,1680,1560,20 Nov 2022
43,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,2100,2300,2200,13 Sep 2022
44,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,2150,2380,2260,03 Nov 2022
45,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,2400,2650,2550,09 Oct 2022
46,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,6750,6960,6858,11 Jul 2023
47,Mirzapur,Ahirora,Tomato,Hybrid,FAQ,8800,9000,8900,08 Aug 2023
48,Prayagraj,Ajuha,Tomato,Deshi,FAQ,700,880,800,02 Feb 2023
49,Prayagraj,Ajuha,Tomato,Deshi,FAQ,760,950,870,22 May 2023
50,Prayagraj,Ajuha,Tomato,Deshi,FAQ,800,935,860,23 Jan 2023
51,Prayagraj,Ajuha,Tomato,Deshi,FAQ,800,950,870,24 May 2023
52,Prayagraj,Ajuha,Tomato,Deshi,FAQ,820,970,915,02 Jan 2023
53,Prayagraj,Ajuha,Tomato,Deshi,FAQ,860,1000,940,30 Mar 2023
54,Auraiya,Achalda,Tomato,Hybrid,FAQ,550,650,600,14 Feb 2023
55,Auraiya,Achalda,Tomato,Hybrid,FAQ,650,750,700,01 May 2023
56,Auraiya,Achalda,Tomato,Hybrid,FAQ,650,750,700,08 Feb 2023
57,Auraiya,Achalda,Tomato,Hybrid,FAQ,680,800,720,07 Jan 2023
58,Auraiya,Achalda,Tomato,Hybrid,FAQ,690,800,720,03 May 2023
59,Auraiya,Achalda,Tomato,Hybrid,FAQ,750,850,800,28 Dec 2022
60,Auraiya,Achalda,Tomato,Hybrid,FAQ,750,950,850,14 Mar 2023
61,Auraiya,Achalda,Tomato,Hybrid,FAQ,780,900,820,17 Mar 2023
62,Auraiya,Achalda,Tomato,Hybrid,FAQ,800,900,880,27 Jan 2023
63,Auraiya,Achalda,Tomato,Hybrid,FAQ,850,950,900,30 Jan 2023
64,Auraiya,Achalda,Tomato,Hybrid,FAQ,1000,1100,1020,08 Apr 2023
65,Auraiya,Achalda,Tomato,Hybrid,FAQ,1000,1100,1030,17 Dec 2022
66,Auraiya,Achalda,Tomato,Hybrid,FAQ,1000,1100,1050,05 Apr 2023
67,Auraiya,Achalda,Tomato,Hybrid,FAQ,1200,1300,1260,10 Dec 2022
68,Auraiya,Achalda,Tomato,Hybrid,FAQ,1500,1600,1560,25 Nov 2022
69,Auraiya,Achalda,Tomato,Hybrid,FAQ,2100,2300,2200,17 Sep 2022
70,Auraiya,Achalda,Tomato,Hybrid,FAQ,2200,2350,2280,09 Sep 2022
71,Auraiya,Achalda,Tomato,Hybrid,FAQ,5200,5400,5300,18 Aug 2023
72,Auraiya,Achalda,Tomato,Hybrid,FAQ,5500,5700,5650,06 Jul 2023
73,Auraiya,Achalda,Tomato,Hybrid,FAQ,5800,6000,5900,16 Aug 2023
74,Auraiya,Achalda,Tomato,Hybrid,FAQ,6700,7000,6900,17 Jul 2023
75,Agra,Achnera,Tomato,Deshi,FAQ,2550,2650,2600,29 Aug 2023
76,Agra,Achnera,Tomato,Deshi,FAQ,7450,7550,7500,16 Jul 2023
