0,1,2,3,4,5,6,7,8,9
1,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,375,475,425,01 Apr 2016
2,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,06 Apr 2016
3,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,07 Apr 2016
4,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,11 Apr 2016
5,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,12 Apr 2016
6,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,13 Apr 2016
7,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,29 Mar 2016
8,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,400,500,450,31 Mar 2016
9,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,450,550,500,11 Mar 2016
10,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,450,550,500,28 Mar 2016
11,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,03 Mar 2016
12,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,19 Apr 2016
13,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,20 Mar 2016
14,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,21 Apr 2016
15,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,21 Mar 2016
16,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,500,600,550,27 Mar 2016
17,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,550,650,600,13 Mar 2016
18,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,550,650,600,18 Apr 2016
19,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,550,650,600,20 Apr 2016
20,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,650,750,700,24 Feb 2016
21,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1200,1300,1250,22 Apr 2016
22,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1200,1300,1250,24 Apr 2016
23,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1200,1300,1250,25 Apr 2016
24,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1200,1300,1250,26 Apr 2016
25,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1400,1600,1500,25 Dec 2015
26,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1400,1600,1500,26 Dec 2015
27,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1500,1600,1550,23 Dec 2015
28,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1500,1600,1550,24 Dec 2015
29,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1600,1700,1650,22 Dec 2015
30,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1800,1900,1850,27 Apr 2016
31,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1800,1900,1850,28 Apr 2016
32,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1800,2000,1900,21 Dec 2015
33,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,1850,1950,1900,29 Apr 2016
34,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2000,2200,2100,20 Dec 2015
35,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2400,2500,2450,19 Dec 2015
36,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2400,2600,2500,30 May 2016
37,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2500,2700,2600,29 May 2016
38,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2500,3000,2800,11 Sep 2015
39,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,21 Jun 2016
40,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,22 Jun 2016
41,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,23 Jun 2016
42,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,26 Jun 2016
43,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,28 Jun 2016
44,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2700,2900,2800,29 Jun 2016
45,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,06 Jun 2016
46,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,08 Jun 2016
47,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,09 May 2016
48,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,13 Jun 2016
49,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,14 Jun 2016
50,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,19 Jun 2016
51,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,19 May 2016
52,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,20 May 2016
53,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,2900,2850,22 May 2016
54,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,01 Jun 2016
55,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,02 Jun 2016
56,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,03 Jun 2016
57,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,07 Jun 2016
58,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,09 Jun 2016
59,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,10 Jun 2016
60,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,12 Jun 2016
61,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,15 Jun 2016
62,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,16 Jun 2016
63,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,20 Jun 2016
64,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,23 May 2016
65,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,24 May 2016
66,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,26 May 2016
67,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,27 May 2016
68,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2800,3000,2900,31 May 2016
69,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,2850,2950,2900,10 May 2016
70,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3400,3200,10 Sep 2015
71,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3200,05 Sep 2015
72,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3200,07 Sep 2015
73,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3200,08 Sep 2015
74,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,01 Oct 2015
75,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,02 Oct 2015
76,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,03 Oct 2015
77,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,08 Oct 2015
78,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,09 Oct 2015
79,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,10 Oct 2015
80,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3500,3400,23 Sep 2015
81,Alipurduar,Alipurduar,Tomato,Hybrid,FAQ,3000,3600,3400,22 Sep 2015
