0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4400,4400,4400,11 Aug 2015
2,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6950,6950,6950,06 Jan 2015
3,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7100,8300,7500,05 Feb 2015
4,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7360,7360,7360,09 Feb 2015
5,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,8225,7950,18 Feb 2015
6,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7625,8900,8100,21 Feb 2015
7,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,7800,7800,16 Mar 2015
8,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7850,7850,7850,15 Apr 2015
9,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7850,7850,7850,25 Mar 2015
10,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,8400,8400,03 Aug 2015
11,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,8400,8400,19 Aug 2015
12,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8750,8950,8875,17 Mar 2015
13,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9155,9155,9155,17 Apr 2015
14,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9200,9200,9200,04 Aug 2015
15,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9200,9200,9200,05 Aug 2015
16,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9450,9450,9450,14 Aug 2015
17,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9500,9500,9500,25 May 2015
18,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9500,9500,9500,26 May 2015
19,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9500,9500,9500,28 May 2015
20,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9650,9650,9650,05 May 2015
21,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,2800,2800,2800,16 Jan 2015
22,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,4385,4710,4600,28 Jan 2015
23,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,4825,4825,4825,22 Jan 2015
24,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,4902,4902,4902,13 Jan 2015
25,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6570,7700,6570,23 Sep 2014
26,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6900,7650,7200,15 Oct 2014
27,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6950,6950,6950,07 Jan 2015
28,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6950,6950,6950,17 Dec 2014
29,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6950,6950,6950,25 Sep 2014
30,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,6950,7650,7650,18 Dec 2014
31,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7000,7050,7000,24 Dec 2014
32,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7000,7750,7100,27 Dec 2014
33,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7050,7100,7050,02 Feb 2015
34,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7050,8250,8100,20 Jan 2015
35,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7201,7201,7201,10 Nov 2014
36,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7201,7201,7201,11 Nov 2014
37,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7350,8000,7350,22 Nov 2014
38,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7400,7600,7500,18 Nov 2014
39,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7402,7402,7402,19 Jan 2015
40,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7500,7500,7500,05 Nov 2014
41,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7500,7600,7600,06 Nov 2014
42,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7600,7600,7600,19 Nov 2014
43,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),Medium,7800,7800,7800,11 Sep 2014
44,Belgaum,Athani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,6800,6800,28 Mar 2015
45,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,9000,7800,07 Apr 2015
46,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,9000,7800,08 Apr 2015
47,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,10000,8700,02 May 2015
48,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,10000,8700,29 Apr 2015
49,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,10000,8700,30 Apr 2015
50,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6500,10500,8800,05 May 2015
51,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6500,10500,8800,06 May 2015
52,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6500,10500,8800,07 May 2015
53,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6700,8950,7900,17 Jan 2015
54,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6700,8950,7900,19 Jan 2015
55,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6700,8950,7900,20 Jan 2015
56,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6700,8950,7900,21 Jan 2015
57,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6700,8950,7900,22 Jan 2015
58,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7800,06 Jan 2015
59,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7800,07 Jan 2015
60,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7800,08 Jan 2015
61,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7800,12 Jan 2015
62,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7800,13 Jan 2015
63,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,9000,7900,23 Jan 2015
