0,1,2,3,4,5,6,7,8,9
1,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,10500,10500,11 May 2023
2,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,01 Apr 2023
3,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,01 Jun 2023
4,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,02 Jun 2023
5,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,02 May 2023
6,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,03 Apr 2023
7,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,03 Jun 2023
8,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,03 May 2023
9,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,04 Apr 2023
10,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,04 May 2023
11,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,05 Apr 2023
12,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,05 Jun 2023
13,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,05 May 2023
14,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,06 Apr 2023
15,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,06 Jun 2023
16,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,06 May 2023
17,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,07 Apr 2023
18,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,07 Jun 2023
19,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,08 Apr 2023
20,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,08 May 2023
21,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,09 May 2023
22,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,10 Apr 2023
23,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,10 May 2023
24,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,11 Apr 2023
25,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,12 Apr 2023
26,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,12 May 2023
27,Mumbai,Mumbai,Arhar Dal(Tur Dal),Other,FAQ,7500,11500,10500,13 Apr 2023
