0,1,2,3,4,5,6,7,8,9
1,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4400,5200,4800,27 Aug 2018
2,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4500,5200,4800,23 May 2018
3,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4600,5000,4800,31 Mar 2018
4,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4800,5200,5000,11 Aug 2018
5,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4800,5200,5000,22 Aug 2018
6,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4800,5400,5000,06 Aug 2018
7,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4800,5400,5000,18 Apr 2018
8,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4800,5400,5000,20 Jan 2018
9,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5300,5200,01 Apr 2018
10,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5300,5200,01 May 2018
11,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5400,5200,18 Mar 2018
12,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5400,5200,30 May 2018
13,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5500,5200,01 Jul 2018
14,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5500,5200,15 Nov 2017
15,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5400,5300,25 Apr 2018
16,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5500,5400,06 Jun 2018
17,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5500,5400,17 Jun 2018
18,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5600,5400,10 Apr 2018
19,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5800,5500,14 Mar 2018
20,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5300,5400,5350,17 Apr 2018
21,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5300,5500,5400,09 May 2018
22,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5480,5450,11 Jun 2018
23,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5500,5460,12 Jun 2018
24,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5600,5500,23 Feb 2018
25,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5600,5500,29 Jul 2018
26,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5700,5600,08 May 2018
27,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,6000,5600,11 Jan 2018
28,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,6000,5800,10 Mar 2018
29,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,6200,5800,25 Jun 2018
30,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,6400,5600,18 Feb 2018
31,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5500,6000,5800,09 Feb 2018
32,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5500,6200,5800,25 Jan 2018
33,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,6000,5800,01 Jan 2018
34,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,6200,5800,10 May 2018
35,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6400,6000,16 Feb 2018
36,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6400,6000,24 Dec 2017
37,Ganjam,Digapahandi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6300,6600,6500,03 Feb 2018
