0,1,2,3,4,5,6,7,8,9
1,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2300,2300,2300,25 Aug 2024
2,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4000,4000,4000,24 Sep 2023
3,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5400,5400,30 Jul 2024
4,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6500,8500,6500,15 Jun 2024
5,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,7200,7200,13 Jun 2024
6,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7409,8673,8609,05 Apr 2024
7,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7550,10121,8550,21 Jun 2024
8,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7778,7778,7778,25 Apr 2024
9,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,9321,9321,18 Apr 2024
10,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8006,8571,8353,27 Mar 2024
11,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8275,8275,8275,14 Jun 2024
12,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,8615,8615,03 Apr 2024
13,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8503,10000,8503,18 Jul 2024
14,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8521,8600,8521,02 Apr 2024
15,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8540,9451,8540,19 Jun 2024
16,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8600,8600,8600,01 Apr 2024
17,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8650,8650,8650,04 Apr 2024
18,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8687,8687,8687,08 Jul 2024
19,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8700,8700,8700,12 Apr 2024
20,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8700,8700,8700,19 Apr 2024
21,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8803,8803,8803,22 Jul 2024
22,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8888,8888,8888,03 Jul 2024
23,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9130,9130,9130,10 May 2024
24,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9311,9311,9311,26 Apr 2024
25,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9321,9321,9321,09 May 2024
26,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9321,9321,9321,24 Apr 2024
27,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9330,9330,9330,29 Apr 2024
28,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9351,9351,9351,30 Apr 2024
29,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9371,9371,9371,16 May 2024
30,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9409,9409,9409,15 May 2024
31,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9700,9700,9700,10 Jun 2024
32,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9739,9739,9739,20 May 2024
33,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10000,10000,10000,05 Jun 2024
34,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10000,10000,10000,26 Jun 2024
35,Nizamabad,Nizamabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10000,10000,10000,28 May 2024
36,Ranga Reddy,Pargi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9500,9500,9500,26 Mar 2024
