0,1,2,3,4,5,6,7,8,9
1,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6560,01 Nov 2014
2,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6560,02 Nov 2014
3,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6560,03 Nov 2014
4,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6560,04 Nov 2014
5,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6565,05 Nov 2014
6,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6565,06 Nov 2014
7,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6565,08 Nov 2014
8,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6565,09 Nov 2014
9,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6570,23 Oct 2014
10,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6570,25 Oct 2014
11,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6570,26 Oct 2014
12,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6600,22 Oct 2014
13,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6700,01 Sep 2014
14,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6700,02 Sep 2014
15,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6700,03 Sep 2014
16,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6725,04 Sep 2014
17,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6735,11 Oct 2014
18,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6735,12 Oct 2014
19,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6735,13 Oct 2014
20,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6750,08 Oct 2014
21,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6750,09 Oct 2014
22,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6770,06 Oct 2014
23,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6770,07 Oct 2014
24,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6780,01 Oct 2014
25,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6780,04 Oct 2014
26,Prayagraj,Ajuha,Arhar Dal(Tur Dal),Other,FAQ,0,0,6780,05 Oct 2014
