0,1,2,3,4,5,6,7,8,9
1,Mehsana,Becharaji,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2850,5025,3937,01 Nov 2019
2,Mehsana,Becharaji,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4275,7555,5915,04 Nov 2019
3,Mehsana,Becharaji,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4310,6210,5260,06 Nov 2019
4,Junagarh,Junagadh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2550,7000,5500,12 Feb 2020
5,Junagarh,Junagadh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,4200,3500,03 Oct 2019
6,Junagarh,Junagadh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4400,5275,4750,07 Sep 2019
7,Junagarh,Junagadh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,4500,4500,11 Sep 2019
8,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,5550,4525,07 Dec 2019
9,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,5950,4975,27 Nov 2019
10,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,6755,5377,10 Dec 2019
11,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,6000,5250,14 Nov 2019
12,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,7150,5825,18 Nov 2019
13,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4710,5450,5080,06 Nov 2019
14,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4750,5875,5312,23 Nov 2019
15,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5000,6555,5777,11 Dec 2019
16,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5055,6315,5685,19 Dec 2019
17,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5500,7105,6302,19 Nov 2019
18,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,4400,4250,08 Nov 2019
19,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3750,4555,4500,13 Nov 2019
20,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,5000,4500,30 Nov 2019
21,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,5500,4750,27 Nov 2019
22,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4250,5125,4750,03 Dec 2019
23,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,5500,5150,29 Nov 2019
24,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,5925,5855,26 Dec 2019
