0,1,2,3,4,5,6,7,8,9
1,Jalgaon,Chalisgaon,Black Gram Dal (Urd Dal),Other,FAQ,4200,7700,6000,24 Sep 2024
2,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,9000,11000,10500,02 Dec 2024
3,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,9000,11000,10500,03 Dec 2024
4,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,9000,11000,10500,27 Nov 2024
5,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,9000,11000,10500,28 Nov 2024
6,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,9000,11000,10500,30 Nov 2024
7,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,01 Aug 2024
8,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,01 Jul 2024
9,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,02 Aug 2024
10,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,04 Jul 2024
11,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,05 Aug 2024
12,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,05 Jul 2024
13,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,06 Aug 2024
14,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,06 Jul 2024
15,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,07 Aug 2024
16,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,08 Aug 2024
17,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,08 Jul 2024
18,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,09 Aug 2024
19,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,09 Jul 2024
20,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,10 Jul 2024
21,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,11 Jul 2024
22,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,12 Aug 2024
23,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,12 Jul 2024
24,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,15 Jul 2024
25,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,16 Jul 2024
26,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,19 Jul 2024
27,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,22 Jul 2024
28,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,23 Jul 2024
29,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,24 Jul 2024
30,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,25 Jul 2024
31,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,26 Jul 2024
32,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,30 Jul 2024
33,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10500,12500,11800,31 Jul 2024
34,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,01 Oct 2024
35,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,03 Oct 2024
36,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,04 Oct 2024
37,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,04 Sep 2024
38,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,05 Sep 2024
39,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,06 Sep 2024
40,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,09 Oct 2024
41,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,09 Sep 2024
42,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,10 Oct 2024
43,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,10 Sep 2024
44,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,11 Oct 2024
45,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,11 Sep 2024
46,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,12 Sep 2024
47,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,13 Sep 2024
48,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,14 Oct 2024
49,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,14 Sep 2024
50,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,15 Oct 2024
51,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,16 Oct 2024
52,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,16 Sep 2024
53,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,17 Oct 2024
54,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,18 Oct 2024
55,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,18 Sep 2024
56,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,19 Sep 2024
57,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,20 Sep 2024
58,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,21 Sep 2024
59,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,23 Sep 2024
60,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,24 Sep 2024
61,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,26 Sep 2024
62,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,27 Sep 2024
63,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,10600,13500,12850,30 Sep 2024
64,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,02 Nov 2024
65,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,04 Nov 2024
66,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,06 Nov 2024
67,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,07 Nov 2024
68,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,08 Nov 2024
69,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,09 Nov 2024
70,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,11 Nov 2024
71,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,12 Nov 2024
72,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,13 Nov 2024
73,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,14 Nov 2024
74,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,15 Nov 2024
75,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,16 Nov 2024
76,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,19 Nov 2024
77,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,22 Nov 2024
78,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,23 Nov 2024
79,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,25 Nov 2024
80,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,26 Nov 2024
81,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,29 Oct 2024
82,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,13000,12200,30 Oct 2024
83,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,11000,14000,12850,02 Sep 2024
