0,1,2,3,4,5,6,7,8,9
1,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,01 Feb 2022
2,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,01 Jan 2022
3,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,02 Feb 2022
4,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,03 Feb 2022
5,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,03 Jan 2022
6,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,04 Jan 2022
7,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,05 Feb 2022
8,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,05 Jan 2022
9,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,07 Feb 2022
10,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,07 Jan 2022
11,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,08 Feb 2022
12,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,08 Jan 2022
13,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,09 Feb 2022
14,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,10 Feb 2022
15,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,10 Jan 2022
16,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,11 Feb 2022
17,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,11 Jan 2022
18,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,12 Feb 2022
19,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,12 Jan 2022
20,Mumbai,Mumbai,Black Gram Dal (Urd Dal),Other,FAQ,7500,10500,9800,14 Feb 2022
