0,1,2,3,4,5,6,7,8,9
1,Panna,Ajaygarh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3600,5600,3620,29 Mar 2019
2,Panna,Ajaygarh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3750,5680,3800,24 Jun 2019
3,Chhatarpur,Bakswaha,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3900,4100,4000,21 May 2019
4,Chhatarpur,Bakswaha,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3900,4100,4000,26 May 2019
5,Chhatarpur,Bijawar,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2750,2810,2780,19 Sep 2018
6,Seoni,Chhpara,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2700,2705,2702,28 Mar 2019
7,Seoni,Chhpara,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3334,3357,3340,08 Apr 2019
8,Rewa,Hanumana,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3100,3050,01 Nov 2018
9,Rewa,Hanumana,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3200,3400,3300,23 Feb 2019
10,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2256,3831,3040,19 Oct 2018
11,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2400,3361,3030,06 Oct 2018
12,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2450,4075,3260,24 Oct 2018
13,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2455,3800,3125,17 Oct 2018
14,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2500,3950,3225,03 Oct 2018
15,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2551,4101,3500,17 Nov 2018
16,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2580,3766,3173,09 Oct 2018
17,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2599,3676,3100,16 Oct 2018
18,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2611,2984,2798,28 Sep 2018
19,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2625,4100,3400,01 Nov 2018
20,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2690,2872,2781,27 Sep 2018
21,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2726,3863,3290,20 Oct 2018
22,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2790,3370,3080,01 Oct 2018
23,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,3700,3400,22 Nov 2018
24,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,3780,3350,13 Oct 2018
25,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,3910,3500,10 Dec 2018
26,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,4099,3500,30 Oct 2018
27,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,4120,3620,13 Nov 2018
28,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2800,4250,3500,29 Oct 2018
29,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2810,3850,3330,08 Oct 2018
30,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2813,3528,3300,05 Oct 2018
31,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2850,4119,3600,16 Nov 2018
32,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2851,4050,3500,21 Nov 2018
33,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2860,3725,3290,15 Oct 2018
34,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2861,4200,3500,10 Nov 2018
35,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2899,3799,3500,24 Dec 2018
36,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2900,3351,3125,02 Oct 2018
37,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2901,3200,3050,29 Sep 2018
38,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2946,3991,3500,26 Dec 2018
39,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2950,2950,2950,25 Dec 2018
40,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2950,4025,3690,27 Oct 2018
41,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2950,4150,3550,15 Nov 2018
42,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2972,2972,2972,17 Sep 2018
43,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2972,2972,2972,18 Sep 2018
44,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3749,3400,20 Dec 2018
45,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3821,3500,12 Dec 2018
46,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3825,3500,13 Dec 2018
47,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3900,3500,29 Dec 2018
48,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,4099,3550,23 Oct 2018
49,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3011,3671,3400,28 Dec 2018
50,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3050,4100,3550,05 Jan 2019
51,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3065,4051,3550,02 Nov 2018
52,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3075,3970,3520,04 Jan 2019
53,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3081,3565,3450,23 Feb 2019
54,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3100,3100,3100,16 Jan 2019
55,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3100,3800,3500,21 Dec 2018
56,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3100,4300,3800,03 Nov 2018
57,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3101,4095,3500,12 Nov 2018
58,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3111,3803,3500,01 Jan 2019
59,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3116,3849,3500,05 Dec 2018
60,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3125,4025,3575,25 Oct 2018
61,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3128,4000,3600,31 Oct 2018
62,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3140,3140,3140,21 Mar 2019
63,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3145,4000,3500,02 Feb 2019
64,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3150,4000,3600,20 Nov 2018
65,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3151,3699,3425,09 Jan 2019
66,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3160,3510,3330,11 Feb 2019
67,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3171,3520,3300,15 Mar 2019
68,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3190,4085,3600,03 Dec 2018
69,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3200,3200,3200,16 Mar 2019
70,Chhatarpur,Harpalpur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3200,3412,3300,28 Feb 2019
