0,1,2,3,4,5,6,7,8,9
1,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,5600,5000,09 Feb 2022
2,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5000,6000,5500,04 Feb 2022
3,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5800,6000,5900,17 Jul 2022
4,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6000,6680,6500,02 Feb 2022
5,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,7200,7000,04 Jan 2022
6,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7170,7100,10 Jan 2022
7,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7325,7200,05 Jan 2022
8,Mahbubnagar,Alampur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7374,7200,17 Jan 2022
9,Khammam,Dammapet,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5500,5500,5500,28 Jul 2022
10,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,4500,4000,23 Feb 2022
11,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5500,6700,6000,31 Jan 2022
12,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5800,6300,6000,05 Mar 2022
13,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5800,6500,6300,25 Apr 2022
14,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6000,6732,6500,17 Feb 2022
15,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6500,7125,7000,10 Jan 2022
16,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7250,7100,19 Jan 2022
17,Mahbubnagar,Gadwal(Lezza),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,7000,7250,7200,04 Jan 2022
18,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2059,2059,2059,24 May 2022
19,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2859,4259,2859,12 Apr 2022
20,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3000,3000,07 May 2022
21,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3000,3000,11 Apr 2022
22,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,3000,3000,25 Apr 2022
23,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3050,3050,3050,23 Apr 2022
24,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3559,3559,3559,07 Apr 2022
25,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3600,3600,3600,07 Jun 2022
26,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3800,4200,4200,09 May 2022
27,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3855,3855,3855,03 Jun 2022
28,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,4000,4000,08 Jun 2022
29,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,4000,4000,13 Jun 2022
30,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4001,4001,4001,19 May 2022
31,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4059,4059,4059,10 Jun 2022
32,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4170,4170,4170,11 May 2022
33,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,4500,4500,29 Apr 2022
34,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,4500,4500,30 Mar 2022
35,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4600,4600,4600,11 Jun 2022
36,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4661,5069,5069,08 Apr 2022
37,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4689,4689,4689,08 Mar 2022
38,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4800,4800,4800,15 Mar 2022
39,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4800,4800,4800,27 Apr 2022
40,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4850,4850,4850,24 Mar 2022
41,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5001,5001,5001,31 May 2022
42,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5002,5002,5002,21 Apr 2022
43,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5108,6189,6189,07 Mar 2022
44,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5159,5159,5159,09 Mar 2022
45,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5159,5159,5159,16 Feb 2022
46,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5159,5159,5159,22 Mar 2022
47,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5169,5169,5169,25 Mar 2022
48,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5169,5169,5169,26 Mar 2022
49,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5200,5200,5200,01 Jun 2022
50,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5201,5201,5201,19 Apr 2022
51,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5211,5211,5211,23 Mar 2022
52,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5251,5251,5251,04 Apr 2022
53,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5301,5301,5301,18 Apr 2022
54,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5301,5301,5301,20 Apr 2022
55,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5301,5305,5301,22 Apr 2022
56,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5389,5589,5389,22 Feb 2022
57,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5589,5589,5589,05 Mar 2022
58,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5800,5800,5800,16 Mar 2022
59,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6011,6011,6011,04 Mar 2022
60,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6011,6011,6011,21 Mar 2022
61,Karimnagar,Jagtial,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6711,6711,6711,28 Feb 2022
62,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,01 Apr 2022
63,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,01 Mar 2022
64,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,02 Mar 2022
65,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,02 May 2022
66,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,03 Apr 2022
67,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,03 Mar 2022
68,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,03 May 2022
69,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,04 Apr 2022
70,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,04 Mar 2022
71,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,04 May 2022
72,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,05 Apr 2022
73,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,05 Mar 2022
74,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,05 May 2022
75,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,06 Apr 2022
76,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,06 Mar 2022
77,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,07 Apr 2022
78,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,07 Mar 2022
79,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,08 Apr 2022
80,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,08 Mar 2022
81,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,09 Apr 2022
82,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,09 Mar 2022
83,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,10 Apr 2022
84,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,10 Mar 2022
85,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,11 Apr 2022
86,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,11 Mar 2022
87,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,12 Apr 2022
88,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,12 Mar 2022
89,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,13 Apr 2022
90,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,13 Mar 2022
91,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,14 Mar 2022
92,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,15 Mar 2022
93,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,16 Apr 2022
94,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,16 Feb 2022
95,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,16 Mar 2022
96,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,17 Apr 2022
97,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,17 Feb 2022
98,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,17 Mar 2022
99,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,18 Apr 2022
100,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,18 Feb 2022
101,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,19 Apr 2022
102,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,19 Feb 2022
103,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,19 Mar 2022
104,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,20 Apr 2022
105,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,20 Feb 2022
106,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,20 Mar 2022
107,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,21 Apr 2022
108,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,21 Feb 2022
109,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,21 Mar 2022
110,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,22 Apr 2022
111,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,22 Feb 2022
112,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,22 Mar 2022
113,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,23 Apr 2022
114,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,23 Feb 2022
115,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,23 Mar 2022
116,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,24 Apr 2022
117,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,24 Feb 2022
118,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,24 Mar 2022
119,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,25 Apr 2022
120,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,25 Feb 2022
121,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,25 Mar 2022
122,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,26 Apr 2022
123,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,26 Feb 2022
124,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,27 Apr 2022
125,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,27 Feb 2022
126,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,27 Mar 2022
127,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,28 Apr 2022
128,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,28 Mar 2022
129,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,29 Apr 2022
130,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,29 Mar 2022
131,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,30 Mar 2022
132,Mahbubnagar,Kollapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,6300,6300,6300,31 Mar 2022
133,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,960,1960,1960,26 Jun 2022
134,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,1960,1960,1960,05 Jul 2022
135,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,1960,1960,1960,12 Jul 2022
136,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,1960,1960,1960,16 Aug 2022
137,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,1960,1960,1960,16 Jun 2022
138,Karimnagar,Mallial(Cheppial),Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,1960,1960,1960,17 Jul 2022
