0,1,2,3,4,5,6,7,8,9
1,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,5970,03 Sep 2014
2,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,5970,04 Sep 2014
3,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,5980,01 Sep 2014
4,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,5980,02 Sep 2014
5,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6040,06 Sep 2014
6,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6070,07 Sep 2014
7,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6085,08 Sep 2014
8,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6120,09 Sep 2014
9,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6140,10 Sep 2014
10,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6140,11 Sep 2014
11,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6150,14 Sep 2014
12,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6155,16 Sep 2014
13,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6155,17 Sep 2014
14,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6160,18 Sep 2014
15,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6160,20 Sep 2014
16,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6160,21 Sep 2014
17,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6160,22 Sep 2014
18,Prayagraj,Ajuha,Black Gram Dal (Urd Dal),Other,FAQ,0,0,6170,23 Sep 2014
