0,1,2,3,4,5,6,7,8,9
1,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,01 Aug 2024
2,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,06 Aug 2024
3,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,07 Aug 2024
4,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,08 Aug 2024
5,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,09 Aug 2024
6,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,10 Aug 2024
7,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,11 Aug 2024
8,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,12 Aug 2024
9,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,13 Aug 2024
10,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,14 Aug 2024
11,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,15 Aug 2024
12,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,16 Aug 2024
13,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,17 Aug 2024
14,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,18 Aug 2024
15,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,19 Aug 2024
16,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13100,13300,13200,31 Jul 2024
17,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,02 Aug 2024
18,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,03 Aug 2024
19,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,04 Aug 2024
20,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,05 Aug 2024
21,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,12 Jul 2024
22,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,16 Jul 2024
23,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,18 Jul 2024
24,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,19 Jul 2024
25,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,20 Jul 2024
26,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,21 Jul 2024
27,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,25 Jul 2024
28,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,27 Jul 2024
29,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,28 Jul 2024
30,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,29 Jul 2024
31,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13200,13400,13300,30 Jul 2024
32,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,01 Jul 2024
33,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,02 Jul 2024
34,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,03 Jul 2024
35,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,04 Jul 2024
36,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,05 Jul 2024
37,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,06 Jul 2024
38,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,08 Jul 2024
39,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,09 Jul 2024
40,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,11 Jul 2024
41,Birbhum,Sainthia,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,13300,13500,13400,24 Jul 2024
